k    pk
1.000e-04    472.983 
1.047e-04    494.598 
1.097e-04    517.199 
1.149e-04    540.832 
1.203e-04    565.543 
1.260e-04    591.382 
1.320e-04    618.398 
1.383e-04    646.647 
1.448e-04    676.182 
1.517e-04    707.064 
1.589e-04    739.352 
1.664e-04    773.110 
1.743e-04    808.405 
1.825e-04    845.305 
1.912e-04    883.883 
2.002e-04    924.215 
2.097e-04    966.378 
2.196e-04    1010.455 
2.300e-04    1056.532 
2.409e-04    1104.697 
2.524e-04    1155.043 
2.643e-04    1207.668 
2.768e-04    1262.672 
2.899e-04    1320.160 
3.037e-04    1380.241 
3.181e-04    1443.029 
3.331e-04    1508.642 
3.489e-04    1577.204 
3.654e-04    1648.841 
3.827e-04    1723.687 
4.009e-04    1801.880 
4.199e-04    1883.562 
4.398e-04    1968.881 
4.606e-04    2057.992 
4.824e-04    2151.053 
5.053e-04    2248.228 
5.292e-04    2349.690 
5.543e-04    2455.613 
5.805e-04    2566.181 
6.080e-04    2681.580 
6.368e-04    2802.005 
6.670e-04    2927.655 
6.986e-04    3058.736 
7.317e-04    3195.460 
7.663e-04    3338.043 
8.026e-04    3486.708 
8.407e-04    3641.685 
8.805e-04    3803.207 
9.222e-04    3971.511 
9.659e-04    4146.841 
1.012e-03    4329.444 
1.060e-03    4519.570 
1.110e-03    4717.472 
1.162e-03    4923.405 
1.217e-03    5137.628 
1.275e-03    5360.396 
1.335e-03    5591.967 
1.399e-03    5832.594 
1.465e-03    6082.532 
1.534e-03    6342.030 
1.607e-03    6611.332 
1.683e-03    6890.673 
1.763e-03    7180.279 
1.846e-03    7480.365 
1.934e-03    7791.134 
2.026e-03    8112.775 
2.121e-03    8445.454 
2.222e-03    8789.322 
2.327e-03    9144.502 
2.437e-03    9511.097 
2.553e-03    9889.176 
2.674e-03    10278.777 
2.801e-03    10679.901 
2.933e-03    11092.509 
3.072e-03    11516.521 
3.218e-03    11951.809 
3.370e-03    12398.192 
3.530e-03    12855.426 
3.697e-03    13323.209 
3.872e-03    13801.167 
4.055e-03    14288.861 
4.248e-03    14785.763 
4.449e-03    15291.268 
4.660e-03    15804.677 
4.880e-03    16325.208 
5.111e-03    16851.971 
5.354e-03    17383.978 
5.607e-03    17920.123 
5.873e-03    18459.185 
6.151e-03    18999.810 
6.442e-03    19540.510 
6.748e-03    20079.669 
7.067e-03    20615.534 
7.402e-03    21146.214 
7.753e-03    21669.637 
8.120e-03    22183.597 
8.504e-03    22685.721 
8.907e-03    23173.503 
9.329e-03    23644.220 
9.771e-03    24095.016 
1.023e-02    24522.919 
1.072e-02    24924.861 
1.123e-02    25297.347 
1.176e-02    25636.597 
1.232e-02    25939.573 
1.290e-02    26204.086 
1.351e-02    26425.298 
1.415e-02    26594.066 
1.482e-02    26708.588 
1.552e-02    26784.840 
1.626e-02    26830.845 
1.703e-02    26817.893 
1.783e-02    26716.990 
1.868e-02    26537.635 
1.956e-02    26298.380 
2.049e-02    25989.812 
2.146e-02    25592.179 
2.248e-02    25112.699 
2.354e-02    24575.929 
2.466e-02    23994.724 
2.583e-02    23370.495 
2.705e-02    22699.979 
2.833e-02    21974.421 
2.967e-02    21196.245 
3.108e-02    20388.667 
3.255e-02    19571.863 
3.409e-02    18753.881 
3.571e-02    17941.581 
3.740e-02    17148.278 
3.917e-02    16386.859 
4.103e-02    15664.906 
4.297e-02    14987.662 
4.501e-02    14364.876 
4.714e-02    13807.243 
4.937e-02    13310.709 
5.171e-02    12862.140 
5.416e-02    12452.741 
5.672e-02    12073.612 
5.941e-02    11705.603 
6.223e-02    11329.042 
6.517e-02    10924.905 
6.826e-02    10467.560 
7.149e-02    9961.765 
7.488e-02    9413.856 
7.843e-02    8791.000 
8.214e-02    8133.961 
8.603e-02    7475.578 
9.011e-02    6845.925 
9.438e-02    6279.460 
9.885e-02    5803.505 
1.035e-01    5430.735 
1.084e-01    5150.952 
1.136e-01    4933.533 
1.190e-01    4737.285 
1.246e-01    4519.908 
1.305e-01    4249.198 
1.367e-01    3918.360 
1.431e-01    3551.544 
1.499e-01    3192.817 
1.570e-01    2889.241 
1.645e-01    2666.825 
1.723e-01    2513.051 
1.804e-01    2388.244 
1.890e-01    2246.499 
1.979e-01    2063.187 
2.073e-01    1856.832 
2.171e-01    1668.608 
2.274e-01    1527.627 
2.382e-01    1427.104 
2.495e-01    1333.248 
2.613e-01    1220.224 
2.736e-01    1098.876 
2.866e-01    995.365 
3.002e-01    917.452 
3.144e-01    846.906 
3.293e-01    769.750 
3.449e-01    695.506 
3.612e-01    634.782 
3.783e-01    581.318 
3.963e-01    527.399 
4.150e-01    477.731 
4.347e-01    435.111 
4.553e-01    395.128 
4.769e-01    357.687 
4.995e-01    324.566 
5.231e-01    294.029 
5.479e-01    266.011 
5.738e-01    240.789 
6.010e-01    217.650 
6.295e-01    196.697 
6.593e-01    177.663 
6.906e-01    160.366 
7.233e-01    144.667 
7.575e-01    130.431 
7.934e-01    117.536 
8.310e-01    105.866 
8.704e-01    95.311 
9.116e-01    85.767 
9.548e-01    77.142 
1.000e+00    69.348 
