#    L    TT             EE             BB             TE          
     2   0.161594E+04   0.341335E-01   0.998056E-06   0.133610E+01
     3   0.165447E+04   0.654052E-01   0.199656E-05   0.136098E+01
     4   0.162630E+04   0.821313E-01   0.332861E-05   0.138064E+01
     5   0.157632E+04   0.800941E-01   0.499477E-05   0.152617E+01
     6   0.152178E+04   0.649351E-01   0.699578E-05   0.182919E+01
     7   0.147040E+04   0.460027E-01   0.933250E-05   0.224058E+01
     8   0.142347E+04   0.308944E-01   0.120059E-04   0.267971E+01
     9   0.138071E+04   0.228224E-01   0.150170E-04   0.306249E+01
    10   0.134300E+04   0.209399E-01   0.183671E-04   0.333173E+01
    11   0.131148E+04   0.222236E-01   0.220574E-04   0.346610E+01
    12   0.128698E+04   0.235823E-01   0.260892E-04   0.347028E+01
    13   0.126776E+04   0.231881E-01   0.304639E-04   0.335796E+01
    14   0.125139E+04   0.207766E-01   0.351831E-04   0.315369E+01
    15   0.123763E+04   0.171764E-01   0.402481E-04   0.290056E+01
    16   0.122680E+04   0.135901E-01   0.456604E-04   0.264276E+01
    17   0.121892E+04   0.107947E-01   0.514216E-04   0.240806E+01
    18   0.121350E+04   0.929040E-02   0.575331E-04   0.221936E+01
    19   0.121092E+04   0.898213E-02   0.639963E-04   0.209002E+01
    20   0.120905E+04   0.960731E-02   0.708127E-04   0.201940E+01
    21   0.120842E+04   0.109101E-01   0.779837E-04   0.200742E+01
    22   0.120901E+04   0.126855E-01   0.855104E-04   0.204545E+01
    23   0.121039E+04   0.148518E-01   0.933940E-04   0.211382E+01
    24   0.121286E+04   0.173606E-01   0.101636E-03   0.219186E+01
    25   0.121655E+04   0.201399E-01   0.110237E-03   0.226174E+01
    26   0.122097E+04   0.231209E-01   0.119197E-03   0.231924E+01
    27   0.122649E+04   0.262446E-01   0.128519E-03   0.235878E+01
    28   0.123290E+04   0.294532E-01   0.138202E-03   0.237053E+01
    29   0.124017E+04   0.327827E-01   0.148246E-03   0.235846E+01
    30   0.124849E+04   0.362953E-01   0.158653E-03   0.231600E+01
    31   0.125710E+04   0.400566E-01   0.169422E-03   0.225477E+01
    32   0.126662E+04   0.441624E-01   0.180554E-03   0.217288E+01
    33   0.127649E+04   0.486600E-01   0.192048E-03   0.208041E+01
    34   0.128671E+04   0.536346E-01   0.203905E-03   0.198979E+01
    35   0.129798E+04   0.590340E-01   0.216123E-03   0.189385E+01
    36   0.130948E+04   0.648137E-01   0.228703E-03   0.180120E+01
