#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.161594E+04   0.341325E-01   0.000000E+00   0.133610E+01   0.224221E-07   0.355888E-02  -0.108808E-04
     3   0.165447E+04   0.654032E-01   0.000000E+00   0.136098E+01   0.259209E-07   0.398377E-02  -0.140210E-04
     4   0.162629E+04   0.821280E-01   0.000000E+00   0.138064E+01   0.290499E-07   0.419642E-02  -0.144902E-04
     5   0.157631E+04   0.800891E-01   0.000000E+00   0.152617E+01   0.318369E-07   0.429739E-02  -0.128092E-04
     6   0.152177E+04   0.649281E-01   0.000000E+00   0.182919E+01   0.343181E-07   0.433440E-02  -0.954422E-05
     7   0.147039E+04   0.459934E-01   0.000000E+00   0.224058E+01   0.365432E-07   0.433362E-02  -0.535355E-05
     8   0.142346E+04   0.308824E-01   0.000000E+00   0.267971E+01   0.385476E-07   0.430680E-02  -0.899824E-06
     9   0.138070E+04   0.228073E-01   0.000000E+00   0.306249E+01   0.403634E-07   0.426082E-02   0.324922E-05
    10   0.134297E+04   0.209215E-01   0.000000E+00   0.333173E+01   0.420090E-07   0.420246E-02   0.669027E-05
    11   0.131146E+04   0.222015E-01   0.000000E+00   0.346611E+01   0.435145E-07   0.414045E-02   0.918504E-05
    12   0.128695E+04   0.235562E-01   0.000000E+00   0.347029E+01   0.448760E-07   0.407643E-02   0.106054E-04
    13   0.126773E+04   0.231576E-01   0.000000E+00   0.335798E+01   0.461283E-07   0.401640E-02   0.109550E-04
    14   0.125135E+04   0.207414E-01   0.000000E+00   0.315371E+01   0.472626E-07   0.395341E-02   0.103866E-04
    15   0.123758E+04   0.171362E-01   0.000000E+00   0.290059E+01   0.483042E-07   0.389034E-02   0.919277E-05
    16   0.122674E+04   0.135445E-01   0.000000E+00   0.264279E+01   0.492523E-07   0.382524E-02   0.769822E-05
    17   0.121887E+04   0.107433E-01   0.000000E+00   0.240809E+01   0.501156E-07   0.375986E-02   0.612176E-05
    18   0.121343E+04   0.923294E-02   0.000000E+00   0.221941E+01   0.509061E-07   0.369672E-02   0.464425E-05
    19   0.121085E+04   0.891823E-02   0.000000E+00   0.209007E+01   0.516263E-07   0.363492E-02   0.341683E-05
    20   0.120897E+04   0.953662E-02   0.000000E+00   0.201947E+01   0.522781E-07   0.357315E-02   0.256660E-05
    21   0.120834E+04   0.108323E-01   0.000000E+00   0.200749E+01   0.528689E-07   0.351155E-02   0.215696E-05
    22   0.120892E+04   0.126002E-01   0.000000E+00   0.204555E+01   0.534064E-07   0.345060E-02   0.219394E-05
    23   0.121029E+04   0.147587E-01   0.000000E+00   0.211392E+01   0.538931E-07   0.339054E-02   0.251732E-05
    24   0.121275E+04   0.172593E-01   0.000000E+00   0.219198E+01   0.543312E-07   0.333153E-02   0.294602E-05
    25   0.121643E+04   0.200301E-01   0.000000E+00   0.226188E+01   0.547244E-07   0.327355E-02   0.337445E-05
    26   0.122084E+04   0.230023E-01   0.000000E+00   0.231940E+01   0.550768E-07   0.321659E-02   0.372856E-05
    27   0.122635E+04   0.261168E-01   0.000000E+00   0.235896E+01   0.553916E-07   0.316085E-02   0.398355E-05
    28   0.123275E+04   0.293159E-01   0.000000E+00   0.237074E+01   0.556711E-07   0.310652E-02   0.411745E-05
    29   0.124001E+04   0.326354E-01   0.000000E+00   0.235870E+01   0.559150E-07   0.305371E-02   0.407095E-05
