#    L    TT             EE             TE             PP             TP          
     2   0.161594E+04   0.341325E-01   0.133610E+01   0.465121E+06   0.331744E+05
     3   0.165447E+04   0.654032E-01   0.136098E+01   0.680525E+06   0.443110E+05
     4   0.162629E+04   0.821280E-01   0.138064E+01   0.867756E+06   0.514210E+05
     5   0.157631E+04   0.800891E-01   0.152617E+01   0.103191E+07   0.559834E+05
     6   0.152177E+04   0.649281E-01   0.182919E+01   0.117680E+07   0.589027E+05
     7   0.147039E+04   0.459934E-01   0.224058E+01   0.130585E+07   0.607420E+05
     8   0.142346E+04   0.308824E-01   0.267971E+01   0.142156E+07   0.618091E+05
     9   0.138070E+04   0.228073E-01   0.306249E+01   0.152597E+07   0.622992E+05
    10   0.134297E+04   0.209215E-01   0.333173E+01   0.162042E+07   0.623793E+05
    11   0.131146E+04   0.222015E-01   0.346611E+01   0.170659E+07   0.622287E+05
    12   0.128695E+04   0.235562E-01   0.347029E+01   0.178469E+07   0.619104E+05
    13   0.126773E+04   0.231576E-01   0.335798E+01   0.185640E+07   0.615441E+05
    14   0.125135E+04   0.207414E-01   0.315371E+01   0.192160E+07   0.610454E+05
    15   0.123758E+04   0.171362E-01   0.290059E+01   0.198153E+07   0.604743E+05
    16   0.122674E+04   0.135445E-01   0.264279E+01   0.203630E+07   0.598124E+05
    17   0.121887E+04   0.107433E-01   0.240809E+01   0.208640E+07   0.590966E+05
    18   0.121343E+04   0.923294E-02   0.221941E+01   0.213245E+07   0.583742E+05
    19   0.121085E+04   0.891823E-02   0.209007E+01   0.217466E+07   0.576377E+05
    20   0.120897E+04   0.953662E-02   0.201947E+01   0.221316E+07   0.568713E+05
    21   0.120834E+04   0.108323E-01   0.200749E+01   0.224836E+07   0.560816E+05
    22   0.120892E+04   0.126002E-01   0.204555E+01   0.228063E+07   0.552794E+05
    23   0.121029E+04   0.147587E-01   0.211392E+01   0.231014E+07   0.544716E+05
    24   0.121275E+04   0.172593E-01   0.219198E+01   0.233703E+07   0.536632E+05
    25   0.121643E+04   0.200301E-01   0.226188E+01   0.236149E+07   0.528561E+05
    26   0.122084E+04   0.230023E-01   0.231940E+01   0.238375E+07   0.520519E+05
    27   0.122635E+04   0.261168E-01   0.235896E+01   0.240396E+07   0.512552E+05
    28   0.123275E+04   0.293159E-01   0.237074E+01   0.242227E+07   0.504708E+05
    29   0.124001E+04   0.326354E-01   0.235870E+01   0.243867E+07   0.497014E+05
    30   0.124832E+04   0.361379E-01   0.231626E+01   0.245321E+07   0.489484E+05
    31   0.125692E+04   0.398886E-01   0.225506E+01   0.246608E+07   0.482111E+05
    32   0.126643E+04   0.439835E-01   0.217320E+01   0.247751E+07   0.474875E+05
    33   0.127629E+04   0.484700E-01   0.208076E+01   0.248756E+07   0.467735E+05
    34   0.128650E+04   0.534331E-01   0.199017E+01   0.249630E+07   0.460657E+05
    35   0.129776E+04   0.588207E-01   0.189426E+01   0.250379E+07   0.453669E+05
    36   0.130925E+04   0.645882E-01   0.180165E+01   0.251012E+07   0.446808E+05
    37   0.132137E+04   0.707487E-01   0.169987E+01   0.251537E+07   0.440077E+05
    38   0.133404E+04   0.772902E-01   0.158468E+01   0.251961E+07   0.433466E+05
    39   0.134716E+04   0.841905E-01   0.145616E+01   0.252286E+07   0.426951E+05
    40   0.136066E+04   0.914276E-01   0.131446E+01   0.252519E+07   0.420504E+05
    41   0.137447E+04   0.989859E-01   0.115968E+01   0.252663E+07   0.414107E+05
    42   0.138862E+04   0.106876E+00   0.991564E+00   0.252722E+07   0.407779E+05
    43   0.140311E+04   0.115114E+00   0.809400E+00   0.252703E+07   0.401553E+05
    44   0.141801E+04   0.123715E+00   0.610858E+00   0.252610E+07   0.395457E+05
    45   0.143340E+04   0.132690E+00   0.393304E+00   0.252448E+07   0.389523E+05
    46   0.144924E+04   0.142045E+00   0.155251E+00   0.252221E+07   0.383770E+05
