#    L    TT             EE             BB             TE          
     2   0.160669E+04   0.462745E-01   0.798429E-06   0.162024E+01
     3   0.163929E+04   0.771697E-01   0.159722E-05   0.165518E+01
     4   0.160516E+04   0.838542E-01   0.266281E-05   0.180546E+01
     5   0.155018E+04   0.700822E-01   0.399569E-05   0.214093E+01
     6   0.149237E+04   0.490558E-01   0.559642E-05   0.260490E+01
     7   0.143970E+04   0.321579E-01   0.746568E-05   0.307830E+01
     8   0.139286E+04   0.237635E-01   0.960422E-05   0.345389E+01
     9   0.135154E+04   0.220755E-01   0.120129E-04   0.365731E+01
    10   0.131643E+04   0.228304E-01   0.146927E-04   0.366585E+01
    11   0.128806E+04   0.225980E-01   0.176445E-04   0.351000E+01
    12   0.126693E+04   0.201802E-01   0.208695E-04   0.324285E+01
    13   0.125095E+04   0.162369E-01   0.243687E-04   0.292453E+01
    14   0.123763E+04   0.121285E-01   0.281432E-04   0.260279E+01
    15   0.122679E+04   0.896406E-02   0.321943E-04   0.231820E+01
    16   0.121859E+04   0.721026E-02   0.365231E-04   0.210454E+01
    17   0.121302E+04   0.670793E-02   0.411307E-04   0.197245E+01
    18   0.120955E+04   0.717170E-02   0.460183E-04   0.192461E+01
    19   0.120878E+04   0.833011E-02   0.511870E-04   0.194829E+01
    20   0.120880E+04   0.992050E-02   0.566379E-04   0.201537E+01
    21   0.121020E+04   0.117819E-01   0.623721E-04   0.209865E+01
    22   0.121297E+04   0.138013E-01   0.683904E-04   0.217095E+01
    23   0.121661E+04   0.158830E-01   0.746939E-04   0.222787E+01
    24   0.122136E+04   0.179669E-01   0.812833E-04   0.226928E+01
    25   0.122742E+04   0.200858E-01   0.881593E-04   0.228503E+01
    26   0.123437E+04   0.223134E-01   0.953227E-04   0.227656E+01
    27   0.124252E+04   0.247711E-01   0.102774E-03   0.224887E+01
    28   0.125156E+04   0.275545E-01   0.110513E-03   0.220322E+01
    29   0.126138E+04   0.307064E-01   0.118541E-03   0.215170E+01
    30   0.127212E+04   0.342554E-01   0.126858E-03   0.209410E+01
    31   0.128306E+04   0.382154E-01   0.135464E-03   0.204439E+01
    32   0.129487E+04   0.426103E-01   0.144358E-03   0.199853E+01
    33   0.130705E+04   0.473496E-01   0.153541E-03   0.195076E+01
    34   0.131964E+04   0.523995E-01   0.163013E-03   0.189624E+01
    35   0.133332E+04   0.577274E-01   0.172772E-03   0.181861E+01
    36   0.134723E+04   0.633373E-01   0.182819E-03   0.172324E+01
    37   0.136173E+04   0.692692E-01   0.193153E-03   0.160998E+01
    38   0.137678E+04   0.755326E-01   0.203773E-03   0.148713E+01
    39   0.139231E+04   0.821275E-01   0.214679E-03   0.135270E+01
    40   0.140834E+04   0.890543E-01   0.225869E-03   0.120112E+01
    41   0.142484E+04   0.963169E-01   0.237343E-03   0.102845E+01
    42   0.144180E+04   0.103934E+00   0.249100E-03   0.837358E+00
    43   0.145917E+04   0.111928E+00   0.261138E-03   0.631743E+00
    44   0.147698E+04   0.120320E+00   0.273458E-03   0.413901E+00
    45   0.149522E+04   0.129125E+00   0.286057E-03   0.185823E+00
    46   0.151383E+04   0.138353E+00   0.298934E-03  -0.510766E-01
