#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.160669E+04   0.462737E-01   0.000000E+00   0.162024E+01   0.226195E-07   0.355430E-02  -0.126195E-04
     3   0.163928E+04   0.771681E-01   0.000000E+00   0.165518E+01   0.261494E-07   0.397872E-02  -0.149998E-04
     4   0.160516E+04   0.838516E-01   0.000000E+00   0.180546E+01   0.293022E-07   0.418664E-02  -0.138729E-04
     5   0.155017E+04   0.700782E-01   0.000000E+00   0.214093E+01   0.321062E-07   0.428105E-02  -0.102756E-04
     6   0.149237E+04   0.490502E-01   0.000000E+00   0.260490E+01   0.345985E-07   0.431185E-02  -0.528203E-05
     7   0.143969E+04   0.321504E-01   0.000000E+00   0.307830E+01   0.368299E-07   0.430585E-02   0.647923E-07
     8   0.139285E+04   0.237539E-01   0.000000E+00   0.345389E+01   0.388367E-07   0.427430E-02   0.491338E-05
     9   0.135152E+04   0.220635E-01   0.000000E+00   0.365731E+01   0.406514E-07   0.422502E-02   0.866574E-05
    10   0.131641E+04   0.228157E-01   0.000000E+00   0.366586E+01   0.422930E-07   0.416588E-02   0.109880E-04
    11   0.128804E+04   0.225804E-01   0.000000E+00   0.351001E+01   0.437922E-07   0.410528E-02   0.118420E-04
    12   0.126689E+04   0.201593E-01   0.000000E+00   0.324286E+01   0.451451E-07   0.404323E-02   0.114628E-04
    13   0.125091E+04   0.162125E-01   0.000000E+00   0.292454E+01   0.463869E-07   0.398448E-02   0.102626E-04
    14   0.123759E+04   0.121004E-01   0.000000E+00   0.260281E+01   0.475089E-07   0.392243E-02   0.864685E-05
    15   0.122674E+04   0.893188E-02   0.000000E+00   0.231823E+01   0.485369E-07   0.386077E-02   0.693961E-05
    16   0.121854E+04   0.717376E-02   0.000000E+00   0.210457E+01   0.494699E-07   0.379725E-02   0.539679E-05
    17   0.121296E+04   0.666684E-02   0.000000E+00   0.197249E+01   0.503170E-07   0.373242E-02   0.425152E-05
    18   0.120948E+04   0.712573E-02   0.000000E+00   0.192466E+01   0.510903E-07   0.366792E-02   0.367443E-05
    19   0.120871E+04   0.827900E-02   0.000000E+00   0.194835E+01   0.517923E-07   0.360389E-02   0.360463E-05
    20   0.120871E+04   0.986396E-02   0.000000E+00   0.201544E+01   0.524251E-07   0.354028E-02   0.389996E-05
    21   0.121011E+04   0.117197E-01   0.000000E+00   0.209873E+01   0.529961E-07   0.347769E-02   0.431564E-05
    22   0.121287E+04   0.137330E-01   0.000000E+00   0.217105E+01   0.535131E-07   0.341668E-02   0.463077E-05
    23   0.121650E+04   0.158085E-01   0.000000E+00   0.222797E+01   0.539788E-07   0.335683E-02   0.481271E-05
    24   0.122124E+04   0.178859E-01   0.000000E+00   0.226940E+01   0.543953E-07   0.329774E-02   0.486913E-05
    25   0.122729E+04   0.199980E-01   0.000000E+00   0.228517E+01   0.547663E-07   0.323983E-02   0.478306E-05
    26   0.123424E+04   0.222185E-01   0.000000E+00   0.227672E+01   0.550962E-07   0.318364E-02   0.453406E-05
    27   0.124237E+04   0.246689E-01   0.000000E+00   0.224906E+01   0.553881E-07   0.312931E-02   0.411234E-05
    28   0.125141E+04   0.274446E-01   0.000000E+00   0.220344E+01   0.556442E-07   0.307675E-02   0.354139E-05
    29   0.126121E+04   0.305886E-01   0.000000E+00   0.215194E+01   0.558645E-07   0.302531E-02   0.296713E-05
    30   0.127195E+04   0.341295E-01   0.000000E+00   0.209437E+01   0.560489E-07   0.297439E-02   0.254164E-05
    31   0.128287E+04   0.380812E-01   0.000000E+00   0.204468E+01   0.562019E-07   0.292419E-02   0.232258E-05
    32   0.129467E+04   0.424674E-01   0.000000E+00   0.199885E+01   0.563279E-07   0.287503E-02   0.231461E-05
    33   0.130684E+04   0.471978E-01   0.000000E+00   0.195111E+01   0.564283E-07   0.282697E-02   0.240487E-05
    34   0.131942E+04   0.522385E-01   0.000000E+00   0.189663E+01   0.565040E-07   0.277999E-02   0.247018E-05
    35   0.133309E+04   0.575569E-01   0.000000E+00   0.181904E+01   0.565564E-07   0.273391E-02   0.246115E-05
    36   0.134699E+04   0.631572E-01   0.000000E+00   0.172370E+01   0.565872E-07   0.268855E-02   0.236517E-05
    37   0.136148E+04   0.690792E-01   0.000000E+00   0.161048E+01   0.565977E-07   0.264391E-02   0.224267E-05
    38   0.137652E+04   0.753325E-01   0.000000E+00   0.148767E+01   0.565892E-07   0.260005E-02   0.215133E-05
    39   0.139204E+04   0.819171E-01   0.000000E+00   0.135328E+01   0.565626E-07   0.255716E-02   0.206581E-05
    40   0.140805E+04   0.888333E-01   0.000000E+00   0.120173E+01   0.565186E-07   0.251549E-02   0.194022E-05
    41   0.142454E+04   0.960851E-01   0.000000E+00   0.102910E+01   0.564579E-07   0.247519E-02   0.174348E-05
    42   0.144148E+04   0.103691E+00   0.000000E+00   0.838049E+00   0.563816E-07   0.243611E-02   0.150317E-05
    43   0.145885E+04   0.111674E+00   0.000000E+00   0.632471E+00   0.562905E-07   0.239801E-02   0.126144E-05
    44   0.147664E+04   0.120054E+00   0.000000E+00   0.414665E+00   0.561857E-07   0.236067E-02   0.106026E-05
    45   0.149487E+04   0.128848E+00   0.000000E+00   0.186622E+00   0.560682E-07   0.232387E-02   0.941504E-06
    46   0.151347E+04   0.138064E+00   0.000000E+00  -0.502448E-01   0.559388E-07   0.228743E-02   0.932185E-06
    47   0.153243E+04   0.147683E+00   0.000000E+00  -0.298700E+00   0.557984E-07   0.225142E-02   0.100032E-05
    48   0.155174E+04   0.157675E+00   0.000000E+00  -0.562569E+00   0.556476E-07   0.221596E-02   0.109931E-05
    49   0.157141E+04   0.168006E+00   0.000000E+00  -0.845606E+00   0.554871E-07   0.218117E-02   0.118268E-05
    50   0.159151E+04   0.178655E+00   0.000000E+00  -0.115142E+01   0.553175E-07   0.214717E-02   0.120408E-05
    51   0.161211E+04   0.189609E+00   0.000000E+00  -0.148229E+01   0.551396E-07   0.211406E-02   0.113100E-05
    52   0.163314E+04   0.200882E+00   0.000000E+00  -0.183529E+01   0.549537E-07   0.208180E-02   0.986055E-06
    53   0.165451E+04   0.212491E+00   0.000000E+00  -0.220642E+01   0.547604E-07   0.205031E-02   0.805537E-06
    54   0.167617E+04   0.224454E+00   0.000000E+00  -0.259255E+01   0.545601E-07   0.201953E-02   0.625654E-06
    55   0.169809E+04   0.236791E+00   0.000000E+00  -0.299090E+01   0.543532E-07   0.198939E-02   0.482541E-06
    56   0.172036E+04   0.249509E+00   0.000000E+00  -0.340010E+01   0.541401E-07   0.195982E-02   0.403200E-06
    57   0.174310E+04   0.262589E+00   0.000000E+00  -0.382172E+01   0.539211E-07   0.193078E-02   0.378360E-06
    58   0.176627E+04   0.276008E+00   0.000000E+00  -0.425744E+01   0.536965E-07   0.190224E-02   0.389716E-06
    59   0.178981E+04   0.289746E+00   0.000000E+00  -0.470861E+01   0.534665E-07   0.187415E-02   0.419003E-06
    60   0.181370E+04   0.303772E+00   0.000000E+00  -0.517620E+01   0.532314E-07   0.184647E-02   0.447987E-06
    61   0.183795E+04   0.318060E+00   0.000000E+00  -0.566087E+01   0.529915E-07   0.181918E-02   0.460661E-06
    62   0.186257E+04   0.332601E+00   0.000000E+00  -0.616245E+01   0.527473E-07   0.179232E-02   0.449821E-06
    63   0.188756E+04   0.347385E+00   0.000000E+00  -0.668061E+01   0.524990E-07   0.176591E-02   0.410467E-06
    64   0.191288E+04   0.362405E+00   0.000000E+00  -0.721499E+01   0.522473E-07   0.174001E-02   0.337604E-06
    65   0.193856E+04   0.377654E+00   0.000000E+00  -0.776530E+01   0.519926E-07   0.171464E-02   0.226244E-06
    66   0.196461E+04   0.393121E+00   0.000000E+00  -0.833113E+01   0.517352E-07   0.168984E-02   0.763439E-07
    67   0.199103E+04   0.408793E+00   0.000000E+00  -0.891084E+01   0.514754E-07   0.166560E-02  -0.923718E-07
    68   0.201780E+04   0.424654E+00   0.000000E+00  -0.950246E+01   0.512135E-07   0.164187E-02  -0.255267E-06
    69   0.204488E+04   0.440690E+00   0.000000E+00  -0.101041E+02   0.509497E-07   0.161864E-02  -0.387738E-06
    70   0.207228E+04   0.456890E+00   0.000000E+00  -0.107139E+02   0.506841E-07   0.159588E-02  -0.465209E-06
    71   0.209997E+04   0.473241E+00   0.000000E+00  -0.113308E+02   0.504170E-07   0.157356E-02  -0.470583E-06
    72   0.212804E+04   0.489728E+00   0.000000E+00  -0.119558E+02   0.501485E-07   0.155165E-02  -0.416562E-06
    73   0.215656E+04   0.506332E+00   0.000000E+00  -0.125902E+02   0.498785E-07   0.153014E-02  -0.323278E-06
    74   0.218552E+04   0.523027E+00   0.000000E+00  -0.132344E+02   0.496072E-07   0.150901E-02  -0.210837E-06
    75   0.221487E+04   0.539789E+00   0.000000E+00  -0.138883E+02   0.493344E-07   0.148824E-02  -0.993197E-07
    76   0.224454E+04   0.556591E+00   0.000000E+00  -0.145517E+02   0.490605E-07   0.146782E-02  -0.599442E-08
    77   0.227442E+04   0.573410E+00   0.000000E+00  -0.152234E+02   0.487854E-07   0.144772E-02   0.630649E-07
    78   0.230454E+04   0.590225E+00   0.000000E+00  -0.159029E+02   0.485094E-07   0.142795E-02   0.104582E-06
    79   0.233495E+04   0.607014E+00   0.000000E+00  -0.165902E+02   0.482327E-07   0.140849E-02   0.115284E-06
    80   0.236571E+04   0.623756E+00   0.000000E+00  -0.172855E+02   0.479555E-07   0.138934E-02   0.918978E-07
    81   0.239687E+04   0.640430E+00   0.000000E+00  -0.179884E+02   0.476780E-07   0.137048E-02   0.333210E-07
    82   0.242842E+04   0.657019E+00   0.000000E+00  -0.186976E+02   0.474003E-07   0.135191E-02  -0.528844E-07
    83   0.246031E+04   0.673505E+00   0.000000E+00  -0.194121E+02   0.471226E-07   0.133363E-02  -0.156998E-06
    84   0.249254E+04   0.689870E+00   0.000000E+00  -0.201302E+02   0.468450E-07   0.131563E-02  -0.269308E-06
    85   0.252506E+04   0.706096E+00   0.000000E+00  -0.208508E+02   0.465677E-07   0.129790E-02  -0.380112E-06
    86   0.255785E+04   0.722167E+00   0.000000E+00  -0.215724E+02   0.462907E-07   0.128044E-02  -0.481385E-06
    87   0.259089E+04   0.738058E+00   0.000000E+00  -0.222941E+02   0.460141E-07   0.126326E-02  -0.571787E-06
    88   0.262415E+04   0.753747E+00   0.000000E+00  -0.230150E+02   0.457381E-07   0.124636E-02  -0.651649E-06
    89   0.265764E+04   0.769208E+00   0.000000E+00  -0.237344E+02   0.454627E-07   0.122975E-02  -0.721299E-06
    90   0.269137E+04   0.784414E+00   0.000000E+00  -0.244515E+02   0.451880E-07   0.121343E-02  -0.781068E-06
    91   0.272535E+04   0.799341E+00   0.000000E+00  -0.251657E+02   0.449141E-07   0.119741E-02  -0.831324E-06
    92   0.275956E+04   0.813970E+00   0.000000E+00  -0.258762E+02   0.446410E-07   0.118167E-02  -0.872600E-06
    93   0.279402E+04   0.828286E+00   0.000000E+00  -0.265824E+02   0.443688E-07   0.116622E-02  -0.905471E-06
    94   0.282871E+04   0.842273E+00   0.000000E+00  -0.272838E+02   0.440975E-07   0.115105E-02  -0.930508E-06
    95   0.286363E+04   0.855913E+00   0.000000E+00  -0.279795E+02   0.438270E-07   0.113615E-02  -0.948283E-06
    96   0.289877E+04   0.869190E+00   0.000000E+00  -0.286689E+02   0.435576E-07   0.112151E-02  -0.959369E-06
    97   0.293413E+04   0.882087E+00   0.000000E+00  -0.293512E+02   0.432892E-07   0.110713E-02  -0.964335E-06
    98   0.296969E+04   0.894586E+00   0.000000E+00  -0.300257E+02   0.430218E-07   0.109300E-02  -0.963754E-06
    99   0.300543E+04   0.906672E+00   0.000000E+00  -0.306915E+02   0.427555E-07   0.107912E-02  -0.958194E-06
   100   0.304135E+04   0.918330E+00   0.000000E+00  -0.313480E+02   0.424904E-07   0.106548E-02  -0.948225E-06
   101   0.307745E+04   0.929542E+00   0.000000E+00  -0.319943E+02   0.422264E-07   0.105207E-02  -0.934418E-06
   102   0.311370E+04   0.940286E+00   0.000000E+00  -0.326299E+02   0.419636E-07   0.103888E-02  -0.917339E-06
   103   0.315009E+04   0.950558E+00   0.000000E+00  -0.332536E+02   0.417021E-07   0.102592E-02  -0.897559E-06
   104   0.318661E+04   0.960327E+00   0.000000E+00  -0.338648E+02   0.414418E-07   0.101317E-02  -0.875645E-06
   105   0.322324E+04   0.969583E+00   0.000000E+00  -0.344626E+02   0.411829E-07   0.100062E-02  -0.852164E-06
   106   0.325997E+04   0.978309E+00   0.000000E+00  -0.350462E+02   0.409254E-07   0.988279E-03  -0.827685E-06
   107   0.329678E+04   0.986496E+00   0.000000E+00  -0.356147E+02   0.406692E-07   0.976129E-03  -0.802774E-06
   108   0.333365E+04   0.994119E+00   0.000000E+00  -0.361673E+02   0.404146E-07   0.964168E-03  -0.777998E-06
   109   0.337057E+04   0.100117E+01   0.000000E+00  -0.367030E+02   0.401614E-07   0.952388E-03  -0.753924E-06
   110   0.340752E+04   0.100762E+01   0.000000E+00  -0.372212E+02   0.399098E-07   0.940783E-03  -0.731117E-06
   111   0.344449E+04   0.101347E+01   0.000000E+00  -0.377211E+02   0.396597E-07   0.929348E-03  -0.710032E-06
   112   0.348147E+04   0.101871E+01   0.000000E+00  -0.382018E+02   0.394112E-07   0.918080E-03  -0.690675E-06
   113   0.351845E+04   0.102334E+01   0.000000E+00  -0.386628E+02   0.391643E-07   0.906978E-03  -0.672937E-06
   114   0.355541E+04   0.102735E+01   0.000000E+00  -0.391035E+02   0.389191E-07   0.896037E-03  -0.656713E-06
   115   0.359235E+04   0.103076E+01   0.000000E+00  -0.395231E+02   0.386754E-07   0.885258E-03  -0.641895E-06
   116   0.362926E+04   0.103355E+01   0.000000E+00  -0.399211E+02   0.384333E-07   0.874637E-03  -0.628377E-06
   117   0.366612E+04   0.103573E+01   0.000000E+00  -0.402969E+02   0.381929E-07   0.864173E-03  -0.616052E-06
   118   0.370292E+04   0.103730E+01   0.000000E+00  -0.406496E+02   0.379541E-07   0.853863E-03  -0.604814E-06
   119   0.373965E+04   0.103825E+01   0.000000E+00  -0.409788E+02   0.377169E-07   0.843705E-03  -0.594557E-06
   120   0.377630E+04   0.103860E+01   0.000000E+00  -0.412839E+02   0.374813E-07   0.833697E-03  -0.585173E-06
   121   0.381286E+04   0.103834E+01   0.000000E+00  -0.415640E+02   0.372474E-07   0.823838E-03  -0.576556E-06
   122   0.384930E+04   0.103746E+01   0.000000E+00  -0.418187E+02   0.370152E-07   0.814125E-03  -0.568602E-06
   123   0.388562E+04   0.103599E+01   0.000000E+00  -0.420474E+02   0.367846E-07   0.804555E-03  -0.561201E-06
   124   0.392181E+04   0.103391E+01   0.000000E+00  -0.422493E+02   0.365556E-07   0.795128E-03  -0.554250E-06
   125   0.395785E+04   0.103123E+01   0.000000E+00  -0.424238E+02   0.363284E-07   0.785841E-03  -0.547642E-06
   126   0.399373E+04   0.102795E+01   0.000000E+00  -0.425705E+02   0.361028E-07   0.776692E-03  -0.541270E-06
   127   0.402944E+04   0.102409E+01   0.000000E+00  -0.426885E+02   0.358789E-07   0.767678E-03  -0.535028E-06
   128   0.406495E+04   0.101963E+01   0.000000E+00  -0.427775E+02   0.356567E-07   0.758799E-03  -0.528811E-06
   129   0.410028E+04   0.101460E+01   0.000000E+00  -0.428367E+02   0.354361E-07   0.750051E-03  -0.522512E-06
   130   0.413539E+04   0.100898E+01   0.000000E+00  -0.428654E+02   0.352173E-07   0.741433E-03  -0.516026E-06
   131   0.417026E+04   0.100280E+01   0.000000E+00  -0.428633E+02   0.350003E-07   0.732943E-03  -0.509270E-06
   132   0.420490E+04   0.996069E+00   0.000000E+00  -0.428299E+02   0.347849E-07   0.724578E-03  -0.502256E-06
   133   0.423928E+04   0.988809E+00   0.000000E+00  -0.427649E+02   0.345712E-07   0.716337E-03  -0.495018E-06
   134   0.427339E+04   0.981059E+00   0.000000E+00  -0.426681E+02   0.343592E-07   0.708216E-03  -0.487592E-06
   135   0.430722E+04   0.972824E+00   0.000000E+00  -0.425392E+02   0.341489E-07   0.700215E-03  -0.480013E-06
   136   0.434075E+04   0.964139E+00   0.000000E+00  -0.423779E+02   0.339403E-07   0.692331E-03  -0.472315E-06
   137   0.437397E+04   0.955024E+00   0.000000E+00  -0.421839E+02   0.337333E-07   0.684561E-03  -0.464533E-06
   138   0.440685E+04   0.945513E+00   0.000000E+00  -0.419570E+02   0.335280E-07   0.676903E-03  -0.456703E-06
   139   0.443939E+04   0.935626E+00   0.000000E+00  -0.416969E+02   0.333243E-07   0.669356E-03  -0.448859E-06
   140   0.447158E+04   0.925390E+00   0.000000E+00  -0.414035E+02   0.331223E-07   0.661916E-03  -0.441036E-06
   141   0.450339E+04   0.914848E+00   0.000000E+00  -0.410765E+02   0.329219E-07   0.654583E-03  -0.433269E-06
   142   0.453481E+04   0.904011E+00   0.000000E+00  -0.407157E+02   0.327231E-07   0.647353E-03  -0.425593E-06
   143   0.456584E+04   0.892915E+00   0.000000E+00  -0.403209E+02   0.325259E-07   0.640225E-03  -0.418043E-06
   144   0.459644E+04   0.881593E+00   0.000000E+00  -0.398919E+02   0.323303E-07   0.633196E-03  -0.410654E-06
   145   0.462661E+04   0.870066E+00   0.000000E+00  -0.394283E+02   0.321364E-07   0.626263E-03  -0.403460E-06
   146   0.465631E+04   0.858376E+00   0.000000E+00  -0.389303E+02   0.319440E-07   0.619426E-03  -0.396497E-06
   147   0.468553E+04   0.846557E+00   0.000000E+00  -0.383973E+02   0.317532E-07   0.612682E-03  -0.389799E-06
   148   0.471425E+04   0.834637E+00   0.000000E+00  -0.378292E+02   0.315639E-07   0.606029E-03  -0.383400E-06
   149   0.474245E+04   0.822650E+00   0.000000E+00  -0.372259E+02   0.313762E-07   0.599463E-03  -0.377337E-06
   150   0.477011E+04   0.810631E+00   0.000000E+00  -0.365871E+02   0.311901E-07   0.592985E-03  -0.371644E-06
   151   0.479719E+04   0.798614E+00   0.000000E+00  -0.359127E+02   0.310055E-07   0.586590E-03  -0.366341E-06
   152   0.482371E+04   0.786637E+00   0.000000E+00  -0.352029E+02   0.308225E-07   0.580279E-03  -0.361395E-06
   153   0.484965E+04   0.774743E+00   0.000000E+00  -0.344579E+02   0.306410E-07   0.574050E-03  -0.356758E-06
   154   0.487502E+04   0.762976E+00   0.000000E+00  -0.336780E+02   0.304610E-07   0.567902E-03  -0.352383E-06
   155   0.489980E+04   0.751367E+00   0.000000E+00  -0.328635E+02   0.302825E-07   0.561835E-03  -0.348223E-06
   156   0.492401E+04   0.739966E+00   0.000000E+00  -0.320147E+02   0.301055E-07   0.555847E-03  -0.344228E-06
   157   0.494762E+04   0.728803E+00   0.000000E+00  -0.311317E+02   0.299300E-07   0.549938E-03  -0.340353E-06
   158   0.497064E+04   0.717937E+00   0.000000E+00  -0.302149E+02   0.297560E-07   0.544107E-03  -0.336550E-06
   159   0.499305E+04   0.707397E+00   0.000000E+00  -0.292645E+02   0.295834E-07   0.538352E-03  -0.332770E-06
   160   0.501486E+04   0.697236E+00   0.000000E+00  -0.282809E+02   0.294123E-07   0.532674E-03  -0.328967E-06
   161   0.503603E+04   0.687496E+00   0.000000E+00  -0.272644E+02   0.292427E-07   0.527070E-03  -0.325092E-06
   162   0.505657E+04   0.678224E+00   0.000000E+00  -0.262154E+02   0.290745E-07   0.521540E-03  -0.321100E-06
   163   0.507646E+04   0.669476E+00   0.000000E+00  -0.251339E+02   0.289077E-07   0.516084E-03  -0.316941E-06
   164   0.509568E+04   0.661284E+00   0.000000E+00  -0.240205E+02   0.287424E-07   0.510700E-03  -0.312568E-06
   165   0.511423E+04   0.653698E+00   0.000000E+00  -0.228755E+02   0.285785E-07   0.505387E-03  -0.307935E-06
   166   0.513210E+04   0.646770E+00   0.000000E+00  -0.216992E+02   0.284159E-07   0.500144E-03  -0.302993E-06
   167   0.514929E+04   0.640552E+00   0.000000E+00  -0.204921E+02   0.282548E-07   0.494971E-03  -0.297696E-06
   168   0.516578E+04   0.635095E+00   0.000000E+00  -0.192546E+02   0.280950E-07   0.489867E-03  -0.291995E-06
   169   0.518157E+04   0.630452E+00   0.000000E+00  -0.179872E+02   0.279367E-07   0.484830E-03  -0.285844E-06
   170   0.519665E+04   0.626665E+00   0.000000E+00  -0.166903E+02   0.277797E-07   0.479861E-03  -0.279194E-06
   171   0.521101E+04   0.623796E+00   0.000000E+00  -0.153643E+02   0.276240E-07   0.474957E-03  -0.271999E-06
   172   0.522466E+04   0.621894E+00   0.000000E+00  -0.140098E+02   0.274697E-07   0.470118E-03  -0.264211E-06
   173   0.523757E+04   0.621011E+00   0.000000E+00  -0.126271E+02   0.273167E-07   0.465343E-03  -0.255783E-06
   174   0.524973E+04   0.621201E+00   0.000000E+00  -0.112168E+02   0.271651E-07   0.460631E-03  -0.246667E-06
   175   0.526116E+04   0.622527E+00   0.000000E+00  -0.977956E+01   0.270148E-07   0.455982E-03  -0.236817E-06
   176   0.527183E+04   0.625036E+00   0.000000E+00  -0.831585E+01   0.268658E-07   0.451394E-03  -0.226198E-06
   177   0.528174E+04   0.628793E+00   0.000000E+00  -0.682639E+01   0.267181E-07   0.446867E-03  -0.214834E-06
   178   0.529088E+04   0.633848E+00   0.000000E+00  -0.531204E+01   0.265717E-07   0.442399E-03  -0.202765E-06
