#    L    TT             EE             TE             PP             TP          
     2   0.160669E+04   0.462737E-01   0.162024E+01   0.469217E+06   0.331317E+05
     3   0.163928E+04   0.771681E-01   0.165518E+01   0.686524E+06   0.442549E+05
     4   0.160516E+04   0.838516E-01   0.180546E+01   0.875291E+06   0.513012E+05
     5   0.155017E+04   0.700782E-01   0.214093E+01   0.104064E+07   0.557705E+05
     6   0.149237E+04   0.490502E-01   0.260490E+01   0.118641E+07   0.585962E+05
     7   0.143969E+04   0.321504E-01   0.307830E+01   0.131610E+07   0.603527E+05
     8   0.139285E+04   0.237539E-01   0.345389E+01   0.143222E+07   0.613426E+05
     9   0.135152E+04   0.220635E-01   0.365731E+01   0.153686E+07   0.617758E+05
    10   0.131641E+04   0.228157E-01   0.366586E+01   0.163138E+07   0.618363E+05
    11   0.128804E+04   0.225804E-01   0.351001E+01   0.171748E+07   0.617001E+05
    12   0.126689E+04   0.201593E-01   0.324286E+01   0.179539E+07   0.614061E+05
    13   0.125091E+04   0.162125E-01   0.292454E+01   0.186680E+07   0.610549E+05
    14   0.123759E+04   0.121004E-01   0.260281E+01   0.193162E+07   0.605670E+05
    15   0.122674E+04   0.893188E-02   0.231823E+01   0.199107E+07   0.600146E+05
    16   0.121854E+04   0.717376E-02   0.210457E+01   0.204529E+07   0.593747E+05
    17   0.121296E+04   0.666684E-02   0.197249E+01   0.209479E+07   0.586653E+05
    18   0.120948E+04   0.712573E-02   0.192466E+01   0.214017E+07   0.579195E+05
    19   0.120871E+04   0.827900E-02   0.194835E+01   0.218165E+07   0.571457E+05
    20   0.120871E+04   0.986396E-02   0.201544E+01   0.221939E+07   0.563482E+05
    21   0.121011E+04   0.117197E-01   0.209873E+01   0.225377E+07   0.555408E+05
    22   0.121287E+04   0.137330E-01   0.217105E+01   0.228519E+07   0.547359E+05
    23   0.121650E+04   0.158085E-01   0.222797E+01   0.231382E+07   0.539300E+05
    24   0.122124E+04   0.178859E-01   0.226940E+01   0.233978E+07   0.531189E+05
    25   0.122729E+04   0.199980E-01   0.228517E+01   0.236330E+07   0.523116E+05
    26   0.123424E+04   0.222185E-01   0.227672E+01   0.238459E+07   0.515187E+05
    27   0.124237E+04   0.246689E-01   0.224906E+01   0.240381E+07   0.507439E+05
    28   0.125141E+04   0.274446E-01   0.220344E+01   0.242110E+07   0.499872E+05
    29   0.126121E+04   0.305886E-01   0.215194E+01   0.243647E+07   0.492392E+05
    30   0.127195E+04   0.341295E-01   0.209437E+01   0.244996E+07   0.484913E+05
    31   0.128287E+04   0.380812E-01   0.204468E+01   0.246176E+07   0.477473E+05
    32   0.129467E+04   0.424674E-01   0.199885E+01   0.247211E+07   0.470134E+05
    33   0.130684E+04   0.471978E-01   0.195111E+01   0.248107E+07   0.462914E+05
    34   0.131942E+04   0.522385E-01   0.189663E+01   0.248870E+07   0.455812E+05
    35   0.133309E+04   0.575569E-01   0.181904E+01   0.249508E+07   0.448806E+05
    36   0.134699E+04   0.631572E-01   0.172370E+01   0.250030E+07   0.441872E+05
    37   0.136148E+04   0.690792E-01   0.161048E+01   0.250442E+07   0.435011E+05
    38   0.137652E+04   0.753325E-01   0.148767E+01   0.250752E+07   0.428239E+05
    39   0.139204E+04   0.819171E-01   0.135328E+01   0.250964E+07   0.421591E+05
    40   0.140805E+04   0.888333E-01   0.120173E+01   0.251082E+07   0.415110E+05
    41   0.142454E+04   0.960851E-01   0.102910E+01   0.251111E+07   0.408824E+05
    42   0.144148E+04   0.103691E+00   0.838049E+00   0.251056E+07   0.402711E+05
    43   0.145885E+04   0.111674E+00   0.632471E+00   0.250922E+07   0.396735E+05
    44   0.147664E+04   0.120054E+00   0.414665E+00   0.250714E+07   0.390861E+05
    45   0.149487E+04   0.128848E+00   0.186622E+00   0.250437E+07   0.385052E+05
    46   0.151347E+04   0.138064E+00  -0.502448E-01   0.250095E+07   0.379283E+05
    47   0.153243E+04   0.147683E+00  -0.298700E+00   0.249693E+07   0.373565E+05
    48   0.155174E+04   0.157675E+00  -0.562569E+00   0.249235E+07   0.367921E+05
    49   0.157141E+04   0.168006E+00  -0.845606E+00   0.248723E+07   0.362372E+05
    50   0.159151E+04   0.178655E+00  -0.115142E+01   0.248162E+07   0.356938E+05
    51   0.161211E+04   0.189609E+00  -0.148229E+01   0.247554E+07   0.351637E+05
    52   0.163314E+04   0.200882E+00  -0.183529E+01   0.246902E+07   0.346463E+05
    53   0.165451E+04   0.212491E+00  -0.220642E+01   0.246209E+07   0.341405E+05
    54   0.167617E+04   0.224454E+00  -0.259255E+01   0.245476E+07   0.336452E+05
    55   0.169809E+04   0.236791E+00  -0.299090E+01   0.244707E+07   0.331595E+05
    56   0.172036E+04   0.249509E+00  -0.340010E+01   0.243903E+07   0.326823E+05
    57   0.174310E+04   0.262589E+00  -0.382172E+01   0.243066E+07   0.322129E+05
    58   0.176627E+04   0.276008E+00  -0.425744E+01   0.242198E+07   0.317508E+05
    59   0.178981E+04   0.289746E+00  -0.470861E+01   0.241299E+07   0.312954E+05
    60   0.181370E+04   0.303772E+00  -0.517620E+01   0.240372E+07   0.308461E+05
    61   0.183795E+04   0.318060E+00  -0.566087E+01   0.239417E+07   0.304026E+05
    62   0.186257E+04   0.332601E+00  -0.616245E+01   0.238437E+07   0.299653E+05
    63   0.188756E+04   0.347385E+00  -0.668061E+01   0.237435E+07   0.295350E+05
    64   0.191288E+04   0.362405E+00  -0.721499E+01   0.236412E+07   0.291123E+05
    65   0.193856E+04   0.377654E+00  -0.776530E+01   0.235371E+07   0.286981E+05
    66   0.196461E+04   0.393121E+00  -0.833113E+01   0.234313E+07   0.282928E+05
    67   0.199103E+04   0.408793E+00  -0.891084E+01   0.233241E+07   0.278962E+05
    68   0.201780E+04   0.424654E+00  -0.950246E+01   0.232154E+07   0.275078E+05
    69   0.204488E+04   0.440690E+00  -0.101041E+02   0.231055E+07   0.271271E+05
    70   0.207228E+04   0.456890E+00  -0.107139E+02   0.229945E+07   0.267538E+05
    71   0.209997E+04   0.473241E+00  -0.113308E+02   0.228824E+07   0.263874E+05
    72   0.212804E+04   0.489728E+00  -0.119558E+02   0.227693E+07   0.260276E+05
    73   0.215656E+04   0.506332E+00  -0.125902E+02   0.226552E+07   0.256740E+05
    74   0.218552E+04   0.523027E+00  -0.132344E+02   0.225402E+07   0.253265E+05
    75   0.221487E+04   0.539789E+00  -0.138883E+02   0.224242E+07   0.249846E+05
    76   0.224454E+04   0.556591E+00  -0.145517E+02   0.223074E+07   0.246480E+05
    77   0.227442E+04   0.573410E+00  -0.152234E+02   0.221898E+07   0.243168E+05
    78   0.230454E+04   0.590225E+00  -0.159029E+02   0.220716E+07   0.239906E+05
    79   0.233495E+04   0.607014E+00  -0.165902E+02   0.219527E+07   0.236694E+05
    80   0.236571E+04   0.623756E+00  -0.172855E+02   0.218334E+07   0.233529E+05
    81   0.239687E+04   0.640430E+00  -0.179884E+02   0.217136E+07   0.230412E+05
    82   0.242842E+04   0.657019E+00  -0.186976E+02   0.215936E+07   0.227341E+05
    83   0.246031E+04   0.673505E+00  -0.194121E+02   0.214733E+07   0.224316E+05
    84   0.249254E+04   0.689870E+00  -0.201302E+02   0.213529E+07   0.221335E+05
    85   0.252506E+04   0.706096E+00  -0.208508E+02   0.212323E+07   0.218398E+05
    86   0.255785E+04   0.722167E+00  -0.215724E+02   0.211117E+07   0.215504E+05
    87   0.259089E+04   0.738058E+00  -0.222941E+02   0.209912E+07   0.212655E+05
    88   0.262415E+04   0.753747E+00  -0.230150E+02   0.208706E+07   0.209851E+05
    89   0.265764E+04   0.769208E+00  -0.237344E+02   0.207502E+07   0.207093E+05
    90   0.269137E+04   0.784414E+00  -0.244515E+02   0.206299E+07   0.204382E+05
    91   0.272535E+04   0.799341E+00  -0.251657E+02   0.205098E+07   0.201719E+05
    92   0.275956E+04   0.813970E+00  -0.258762E+02   0.203899E+07   0.199104E+05
    93   0.279402E+04   0.828286E+00  -0.265824E+02   0.202703E+07   0.196535E+05
    94   0.282871E+04   0.842273E+00  -0.272838E+02   0.201509E+07   0.194011E+05
    95   0.286363E+04   0.855913E+00  -0.279795E+02   0.200318E+07   0.191531E+05
    96   0.289877E+04   0.869190E+00  -0.286689E+02   0.199129E+07   0.189094E+05
    97   0.293413E+04   0.882087E+00  -0.293512E+02   0.197944E+07   0.186700E+05
    98   0.296969E+04   0.894586E+00  -0.300257E+02   0.196763E+07   0.184346E+05
    99   0.300543E+04   0.906672E+00  -0.306915E+02   0.195585E+07   0.182033E+05
   100   0.304135E+04   0.918330E+00  -0.313480E+02   0.194411E+07   0.179758E+05
   101   0.307745E+04   0.929542E+00  -0.319943E+02   0.193241E+07   0.177522E+05
   102   0.311370E+04   0.940286E+00  -0.326299E+02   0.192075E+07   0.175322E+05
   103   0.315009E+04   0.950558E+00  -0.332536E+02   0.190914E+07   0.173159E+05
