#    L    TT             EE             BB             TE          
     2   0.160266E+04   0.543306E-01   0.681910E-06   0.181625E+01
     3   0.163366E+04   0.832022E-01   0.136413E-05   0.188182E+01
     4   0.159629E+04   0.826264E-01   0.227423E-05   0.213411E+01
     5   0.153735E+04   0.630872E-01   0.341261E-05   0.257112E+01
     6   0.147612E+04   0.415137E-01   0.477978E-05   0.307014E+01
     7   0.142100E+04   0.280869E-01   0.637630E-05   0.348647E+01
     8   0.137261E+04   0.235683E-01   0.820285E-05   0.372413E+01
     9   0.133077E+04   0.234378E-01   0.102602E-04   0.374040E+01
    10   0.129585E+04   0.230896E-01   0.125490E-04   0.355858E+01
    11   0.126805E+04   0.205248E-01   0.150703E-04   0.324848E+01
    12   0.124771E+04   0.162424E-01   0.178249E-04   0.288739E+01
    13   0.123297E+04   0.117609E-01   0.208138E-04   0.254202E+01
    14   0.122118E+04   0.830573E-02   0.240380E-04   0.224597E+01
    15   0.121204E+04   0.634721E-02   0.274984E-04   0.202172E+01
    16   0.120555E+04   0.573226E-02   0.311960E-04   0.188715E+01
    17   0.120179E+04   0.609526E-02   0.351319E-04   0.183318E+01
    18   0.120045E+04   0.707638E-02   0.393070E-04   0.184341E+01
    19   0.120213E+04   0.844244E-02   0.437223E-04   0.189317E+01
    20   0.120488E+04   0.999431E-02   0.483787E-04   0.194891E+01
    21   0.120919E+04   0.116228E-01   0.532770E-04   0.199652E+01
    22   0.121492E+04   0.132778E-01   0.584182E-04   0.202522E+01
    23   0.122157E+04   0.149823E-01   0.638029E-04   0.204142E+01
    24   0.122935E+04   0.167959E-01   0.694319E-04   0.205279E+01
    25   0.123847E+04   0.188187E-01   0.753056E-04   0.205019E+01
    26   0.124847E+04   0.211511E-01   0.814248E-04   0.203481E+01
    27   0.125960E+04   0.238302E-01   0.877897E-04   0.201276E+01
    28   0.127154E+04   0.268538E-01   0.944007E-04   0.198551E+01
    29   0.128418E+04   0.302247E-01   0.101258E-03   0.196018E+01
    30   0.129770E+04   0.339472E-01   0.108362E-03   0.193027E+01
    31   0.131140E+04   0.380146E-01   0.115712E-03   0.190291E+01
    32   0.132600E+04   0.424337E-01   0.123308E-03   0.186806E+01
    33   0.134095E+04   0.471069E-01   0.131151E-03   0.181755E+01
    34   0.135625E+04   0.520065E-01   0.139239E-03   0.174695E+01
    35   0.137257E+04   0.571525E-01   0.147573E-03   0.164780E+01
    36   0.138907E+04   0.626049E-01   0.156152E-03   0.153377E+01
    37   0.140614E+04   0.684275E-01   0.164974E-03   0.140715E+01
    38   0.142379E+04   0.746401E-01   0.174041E-03   0.127674E+01
    39   0.144193E+04   0.812285E-01   0.183350E-03   0.113918E+01
    40   0.146055E+04   0.881727E-01   0.192901E-03   0.987046E+00
    41   0.147959E+04   0.954593E-01   0.202692E-03   0.814753E+00
    42   0.149902E+04   0.103100E+00   0.212724E-03   0.623946E+00
    43   0.151883E+04   0.111113E+00   0.222995E-03   0.417680E+00
    44   0.153900E+04   0.119515E+00   0.233503E-03   0.197407E+00
    45   0.155957E+04   0.128317E+00   0.244248E-03  -0.357232E-01
    46   0.158045E+04   0.137527E+00   0.255229E-03  -0.280843E+00
    47   0.160167E+04   0.147133E+00   0.266445E-03  -0.540054E+00
    48   0.162321E+04   0.157111E+00   0.277894E-03  -0.816219E+00
    49   0.164510E+04   0.167438E+00   0.289575E-03  -0.111213E+01
    50   0.166742E+04   0.178101E+00   0.301488E-03  -0.143043E+01
    51   0.169025E+04   0.189095E+00   0.313631E-03  -0.177263E+01
    52   0.171353E+04   0.200431E+00   0.326004E-03  -0.213588E+01
    53   0.173713E+04   0.212122E+00   0.338606E-03  -0.251646E+01
    54   0.176101E+04   0.224184E+00   0.351435E-03  -0.291151E+01
    55   0.178512E+04   0.236631E+00   0.364492E-03  -0.331851E+01
    56   0.180956E+04   0.249468E+00   0.377776E-03  -0.373640E+01
    57   0.183444E+04   0.262675E+00   0.391286E-03  -0.416726E+01
    58   0.185974E+04   0.276228E+00   0.405022E-03  -0.461328E+01
    59   0.188538E+04   0.290106E+00   0.418985E-03  -0.507634E+01
    60   0.191138E+04   0.304277E+00   0.433173E-03  -0.555794E+01
    61   0.193775E+04   0.318718E+00   0.447587E-03  -0.605901E+01
    62   0.196450E+04   0.333420E+00   0.462228E-03  -0.657867E+01
    63   0.199161E+04   0.348383E+00   0.477095E-03  -0.711564E+01
    64   0.201908E+04   0.363604E+00   0.492190E-03  -0.766858E+01
    65   0.204690E+04   0.379084E+00   0.507513E-03  -0.823626E+01
    66   0.207512E+04   0.394812E+00   0.523065E-03  -0.881761E+01
    67   0.210371E+04   0.410776E+00   0.538847E-03  -0.941163E+01
    68   0.213265E+04   0.426957E+00   0.554861E-03  -0.100173E+02
    69   0.216192E+04   0.443337E+00   0.571106E-03  -0.106335E+02
    70   0.219149E+04   0.459901E+00   0.587586E-03  -0.112596E+02
    71   0.222137E+04   0.476634E+00   0.604302E-03  -0.118951E+02
    72   0.225162E+04   0.493521E+00   0.621255E-03  -0.125410E+02
    73   0.228232E+04   0.510544E+00   0.638447E-03  -0.131984E+02
    74   0.231346E+04   0.527680E+00   0.655881E-03  -0.138672E+02
    75   0.234499E+04   0.544902E+00   0.673558E-03  -0.145473E+02
    76   0.237685E+04   0.562186E+00   0.691480E-03  -0.152382E+02
    77   0.240893E+04   0.579513E+00   0.709650E-03  -0.159384E+02
    78   0.244125E+04   0.596864E+00   0.728070E-03  -0.166474E+02
    79   0.247387E+04   0.614220E+00   0.746742E-03  -0.173648E+02
    80   0.250685E+04   0.631562E+00   0.765669E-03  -0.180907E+02
    81   0.254024E+04   0.648871E+00   0.784854E-03  -0.188246E+02
    82   0.257404E+04   0.666131E+00   0.804298E-03  -0.195652E+02
    83   0.260820E+04   0.683321E+00   0.824004E-03  -0.203116E+02
    84   0.264270E+04   0.700423E+00   0.843975E-03  -0.210622E+02
    85   0.267751E+04   0.717418E+00   0.864212E-03  -0.218160E+02
    86   0.271261E+04   0.734288E+00   0.884720E-03  -0.225716E+02
    87   0.274797E+04   0.751009E+00   0.905499E-03  -0.233282E+02
    88   0.278357E+04   0.767558E+00   0.926553E-03  -0.240851E+02
    89   0.281941E+04   0.783911E+00   0.947883E-03  -0.248416E+02
    90   0.285551E+04   0.800040E+00   0.969492E-03  -0.255971E+02
    91   0.289186E+04   0.815922E+00   0.991382E-03  -0.263510E+02
    92   0.292847E+04   0.831538E+00   0.101356E-02  -0.271027E+02
    93   0.296533E+04   0.846870E+00   0.103601E-02  -0.278513E+02
    94   0.300243E+04   0.861902E+00   0.105876E-02  -0.285965E+02
    95   0.303977E+04   0.876616E+00   0.108179E-02  -0.293372E+02
    96   0.307733E+04   0.890995E+00   0.110512E-02  -0.300728E+02
    97   0.311511E+04   0.905021E+00   0.112874E-02  -0.308026E+02
    98   0.315309E+04   0.918675E+00   0.115265E-02  -0.315257E+02
    99   0.319126E+04   0.931941E+00   0.117686E-02  -0.322414E+02
   100   0.322960E+04   0.944803E+00   0.120137E-02  -0.329487E+02
   101   0.326810E+04   0.957244E+00   0.122617E-02  -0.336470E+02
   102   0.330676E+04   0.969238E+00   0.125128E-02  -0.343356E+02
   103   0.334554E+04   0.980783E+00   0.127669E-02  -0.350133E+02
   104   0.338444E+04   0.991846E+00   0.130240E-02  -0.356796E+02
   105   0.342343E+04   0.100242E+01   0.132841E-02  -0.363334E+02
   106   0.346251E+04   0.101248E+01   0.135473E-02  -0.369738E+02
   107   0.350164E+04   0.102202E+01   0.138136E-02  -0.376001E+02
   108   0.354081E+04   0.103101E+01   0.140830E-02  -0.382114E+02
   109   0.358001E+04   0.103945E+01   0.143554E-02  -0.388066E+02
   110   0.361922E+04   0.104730E+01   0.146310E-02  -0.393851E+02
   111   0.365842E+04   0.105457E+01   0.149096E-02  -0.399461E+02
   112   0.369761E+04   0.106124E+01   0.151914E-02  -0.404886E+02
   113   0.373677E+04   0.106731E+01   0.154764E-02  -0.410122E+02
   114   0.377590E+04   0.107277E+01   0.157645E-02  -0.415161E+02
   115   0.381498E+04   0.107763E+01   0.160557E-02  -0.419998E+02
   116   0.385401E+04   0.108188E+01   0.163502E-02  -0.424625E+02
   117   0.389299E+04   0.108551E+01   0.166478E-02  -0.429037E+02
   118   0.393189E+04   0.108852E+01   0.169487E-02  -0.433225E+02
   119   0.397072E+04   0.109091E+01   0.172528E-02  -0.437185E+02
   120   0.400945E+04   0.109269E+01   0.175602E-02  -0.440909E+02
   121   0.404809E+04   0.109384E+01   0.178708E-02  -0.444391E+02
   122   0.408661E+04   0.109436E+01   0.181847E-02  -0.447625E+02
   123   0.412501E+04   0.109426E+01   0.185020E-02  -0.450605E+02
   124   0.416329E+04   0.109353E+01   0.188225E-02  -0.453323E+02
   125   0.420141E+04   0.109218E+01   0.191465E-02  -0.455773E+02
   126   0.423939E+04   0.109021E+01   0.194738E-02  -0.457950E+02
   127   0.427720E+04   0.108761E+01   0.198045E-02  -0.459847E+02
   128   0.431484E+04   0.108439E+01   0.201386E-02  -0.461458E+02
   129   0.435229E+04   0.108055E+01   0.204763E-02  -0.462777E+02
   130   0.438954E+04   0.107610E+01   0.208174E-02  -0.463797E+02
   131   0.442658E+04   0.107102E+01   0.211620E-02  -0.464514E+02
   132   0.446341E+04   0.106536E+01   0.215102E-02  -0.464922E+02
   133   0.449999E+04   0.105911E+01   0.218619E-02  -0.465019E+02
   134   0.453632E+04   0.105232E+01   0.222172E-02  -0.464800E+02
   135   0.457237E+04   0.104498E+01   0.225762E-02  -0.464264E+02
   136   0.460814E+04   0.103712E+01   0.229389E-02  -0.463407E+02
   137   0.464361E+04   0.102876E+01   0.233052E-02  -0.462224E+02
   138   0.467876E+04   0.101993E+01   0.236752E-02  -0.460713E+02
   139   0.471356E+04   0.101064E+01   0.240490E-02  -0.458872E+02
   140   0.474803E+04   0.100091E+01   0.244266E-02  -0.456698E+02
   141   0.478212E+04   0.990793E+00   0.248080E-02  -0.454188E+02
   142   0.481583E+04   0.980283E+00   0.251932E-02  -0.451339E+02
   143   0.484915E+04   0.969412E+00   0.255822E-02  -0.448149E+02
   144   0.488204E+04   0.958212E+00   0.259751E-02  -0.444615E+02
   145   0.491451E+04   0.946696E+00   0.263719E-02  -0.440733E+02
   146   0.494651E+04   0.934903E+00   0.267726E-02  -0.436503E+02
   147   0.497802E+04   0.922862E+00   0.271772E-02  -0.431921E+02
   148   0.500903E+04   0.910595E+00   0.275857E-02  -0.426984E+02
   149   0.503952E+04   0.898133E+00   0.279982E-02  -0.421690E+02
   150   0.506945E+04   0.885505E+00   0.284146E-02  -0.416036E+02
   151   0.509881E+04   0.872741E+00   0.288350E-02  -0.410021E+02
   152   0.512760E+04   0.859874E+00   0.292593E-02  -0.403645E+02
   153   0.515580E+04   0.846944E+00   0.296875E-02  -0.396911E+02
   154   0.518342E+04   0.833991E+00   0.301197E-02  -0.389821E+02
   155   0.521044E+04   0.821039E+00   0.305559E-02  -0.382375E+02
   156   0.523688E+04   0.808137E+00   0.309959E-02  -0.374577E+02
   157   0.526271E+04   0.795310E+00   0.314399E-02  -0.366428E+02
   158   0.528794E+04   0.782612E+00   0.318877E-02  -0.357930E+02
   159   0.531255E+04   0.770069E+00   0.323393E-02  -0.349085E+02
   160   0.533653E+04   0.757728E+00   0.327948E-02  -0.339897E+02
   161   0.535988E+04   0.745629E+00   0.332541E-02  -0.330366E+02
   162   0.538256E+04   0.733812E+00   0.337172E-02  -0.320496E+02
   163   0.540459E+04   0.722333E+00   0.341839E-02  -0.310288E+02
   164   0.542593E+04   0.711215E+00   0.346543E-02  -0.299747E+02
   165   0.544659E+04   0.700507E+00   0.351284E-02  -0.288873E+02
   166   0.546655E+04   0.690257E+00   0.356060E-02  -0.277670E+02
   167   0.548580E+04   0.680510E+00   0.360871E-02  -0.266141E+02
   168   0.550434E+04   0.671316E+00   0.365717E-02  -0.254292E+02
   169   0.552216E+04   0.662721E+00   0.370596E-02  -0.242125E+02
   170   0.553925E+04   0.654765E+00   0.375510E-02  -0.229644E+02
   171   0.555559E+04   0.647504E+00   0.380455E-02  -0.216852E+02
   172   0.557120E+04   0.640984E+00   0.385433E-02  -0.203754E+02
   173   0.558605E+04   0.635253E+00   0.390442E-02  -0.190353E+02
   174   0.560014E+04   0.630358E+00   0.395482E-02  -0.176654E+02
   175   0.561346E+04   0.626362E+00   0.400551E-02  -0.162663E+02
   176   0.562599E+04   0.623305E+00   0.405649E-02  -0.148383E+02
   177   0.563774E+04   0.621249E+00   0.410775E-02  -0.133822E+02
   178   0.564870E+04   0.620242E+00   0.415929E-02  -0.118987E+02
   179   0.565887E+04   0.620331E+00   0.421110E-02  -0.103886E+02
   180   0.566824E+04   0.621579E+00   0.426316E-02  -0.885264E+01
   181   0.567680E+04   0.624042E+00   0.431547E-02  -0.729173E+01
   182   0.568456E+04   0.627775E+00   0.436802E-02  -0.570667E+01
   183   0.569152E+04   0.632824E+00   0.442080E-02  -0.409830E+01
   184   0.569767E+04   0.639253E+00   0.447381E-02  -0.246757E+01
   185   0.570300E+04   0.647125E+00   0.452703E-02  -0.815104E+00
   186   0.570751E+04   0.656487E+00   0.458046E-02   0.858009E+00
   187   0.571120E+04   0.667394E+00   0.463409E-02   0.255099E+01
   188   0.571406E+04   0.679913E+00   0.468791E-02   0.426282E+01
   189   0.571610E+04   0.694100E+00   0.474192E-02   0.599265E+01
   190   0.571731E+04   0.710014E+00   0.479610E-02   0.773947E+01
   191   0.571768E+04   0.727713E+00   0.485044E-02   0.950228E+01
   192   0.571722E+04   0.747258E+00   0.490494E-02   0.112803E+02
   193   0.571591E+04   0.768706E+00   0.495960E-02   0.130725E+02
   194   0.571376E+04   0.792120E+00   0.501440E-02   0.148777E+02
   195   0.571077E+04   0.817559E+00   0.506933E-02   0.166950E+02
   196   0.570693E+04   0.845086E+00   0.512439E-02   0.185233E+02
   197   0.570226E+04   0.874762E+00   0.517957E-02   0.203615E+02
   198   0.569676E+04   0.906649E+00   0.523487E-02   0.222086E+02
   199   0.569041E+04   0.940807E+00   0.529028E-02   0.240635E+02
   200   0.568322E+04   0.977299E+00   0.534578E-02   0.259251E+02
   201   0.567519E+04   0.101618E+01   0.540138E-02   0.277924E+02
   202   0.566632E+04   0.105745E+01   0.545706E-02   0.296644E+02
   203   0.565660E+04   0.110113E+01   0.551283E-02   0.315405E+02
   204   0.564605E+04   0.114722E+01   0.556866E-02   0.334200E+02
   205   0.563465E+04   0.119571E+01   0.562457E-02   0.353018E+02
   206   0.562241E+04   0.124662E+01   0.568053E-02   0.371853E+02
   207   0.560934E+04   0.129995E+01   0.573655E-02   0.390698E+02
   208   0.559543E+04   0.135570E+01   0.579262E-02   0.409543E+02
   209   0.558073E+04   0.141388E+01   0.584873E-02   0.428378E+02
   210   0.556523E+04   0.147449E+01   0.590487E-02   0.447195E+02
   211   0.554896E+04   0.153753E+01   0.596104E-02   0.465985E+02
   212   0.553192E+04   0.160301E+01   0.601723E-02   0.484737E+02
   213   0.551415E+04   0.167093E+01   0.607343E-02   0.503444E+02
   214   0.549566E+04   0.174129E+01   0.612965E-02   0.522095E+02
   215   0.547645E+04   0.181410E+01   0.618587E-02   0.540681E+02
   216   0.545652E+04   0.188937E+01   0.624208E-02   0.559192E+02
   217   0.543589E+04   0.196708E+01   0.629828E-02   0.577619E+02
   218   0.541456E+04   0.204725E+01   0.635446E-02   0.595954E+02
   219   0.539254E+04   0.212987E+01   0.641061E-02   0.614184E+02
   220   0.536983E+04   0.221495E+01   0.646673E-02   0.632302E+02
   221   0.534645E+04   0.230249E+01   0.652281E-02   0.650297E+02
   222   0.532240E+04   0.239249E+01   0.657885E-02   0.668160E+02
   223   0.529769E+04   0.248495E+01   0.663482E-02   0.685880E+02
   224   0.527234E+04   0.257987E+01   0.669074E-02   0.703447E+02
   225   0.524637E+04   0.267724E+01   0.674658E-02   0.720850E+02
