#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.160266E+04   0.543299E-01   0.000000E+00   0.181625E+01   0.224344E-07   0.354638E-02  -0.135824E-04
     3   0.163366E+04   0.832008E-01   0.000000E+00   0.188182E+01   0.258863E-07   0.396735E-02  -0.152515E-04
     4   0.159629E+04   0.826242E-01   0.000000E+00   0.213411E+01   0.289658E-07   0.416736E-02  -0.129366E-04
     5   0.153734E+04   0.630838E-01   0.000000E+00   0.257112E+01   0.316992E-07   0.425202E-02  -0.812391E-05
     6   0.147611E+04   0.415089E-01   0.000000E+00   0.307014E+01   0.341230E-07   0.427286E-02  -0.224748E-05
     7   0.142099E+04   0.280805E-01   0.000000E+00   0.348647E+01   0.362882E-07   0.425782E-02   0.344471E-05
     8   0.137260E+04   0.235601E-01   0.000000E+00   0.372413E+01   0.382309E-07   0.421893E-02   0.804090E-05
     9   0.133075E+04   0.234275E-01   0.000000E+00   0.374040E+01   0.399839E-07   0.416402E-02   0.110124E-04
    10   0.129582E+04   0.230770E-01   0.000000E+00   0.355859E+01   0.415661E-07   0.410026E-02   0.122288E-04
    11   0.126802E+04   0.205097E-01   0.000000E+00   0.324849E+01   0.430078E-07   0.403537E-02   0.119485E-04
    12   0.124767E+04   0.162245E-01   0.000000E+00   0.288740E+01   0.443056E-07   0.396939E-02   0.106714E-04
    13   0.123293E+04   0.117401E-01   0.000000E+00   0.254204E+01   0.454944E-07   0.390744E-02   0.893344E-05
    14   0.122114E+04   0.828170E-02   0.000000E+00   0.224599E+01   0.465658E-07   0.384279E-02   0.713647E-05
    15   0.121199E+04   0.631973E-02   0.000000E+00   0.202174E+01   0.475453E-07   0.377837E-02   0.556509E-05
    16   0.120549E+04   0.570109E-02   0.000000E+00   0.188718E+01   0.484320E-07   0.371141E-02   0.444896E-05
    17   0.120173E+04   0.606016E-02   0.000000E+00   0.183322E+01   0.492349E-07   0.364297E-02   0.389529E-05
    18   0.120038E+04   0.703712E-02   0.000000E+00   0.184345E+01   0.499659E-07   0.357536E-02   0.391265E-05
    19   0.120205E+04   0.839878E-02   0.000000E+00   0.189323E+01   0.506277E-07   0.350911E-02   0.423609E-05
    20   0.120479E+04   0.994602E-02   0.000000E+00   0.194897E+01   0.512222E-07   0.344431E-02   0.457062E-05
    21   0.120910E+04   0.115697E-01   0.000000E+00   0.199660E+01   0.517569E-07   0.338108E-02   0.475758E-05
    22   0.121482E+04   0.132195E-01   0.000000E+00   0.202531E+01   0.522392E-07   0.331947E-02   0.471422E-05
    23   0.122146E+04   0.149187E-01   0.000000E+00   0.204153E+01   0.526718E-07   0.325920E-02   0.452249E-05
    24   0.122923E+04   0.167268E-01   0.000000E+00   0.205291E+01   0.530568E-07   0.320009E-02   0.427622E-05
    25   0.123834E+04   0.187437E-01   0.000000E+00   0.205033E+01   0.533980E-07   0.314247E-02   0.395701E-05
