#    L    TT             EE             TE             PP             TP          
     2   0.160266E+04   0.543299E-01   0.181625E+01   0.465376E+06   0.330578E+05
     3   0.163366E+04   0.832008E-01   0.188182E+01   0.679617E+06   0.441284E+05
     4   0.159629E+04   0.826242E-01   0.213411E+01   0.865243E+06   0.510648E+05
     5   0.153734E+04   0.630838E-01   0.257112E+01   0.102744E+07   0.553923E+05
     6   0.147611E+04   0.415089E-01   0.307014E+01   0.117011E+07   0.580663E+05
     7   0.142099E+04   0.280805E-01   0.348647E+01   0.129674E+07   0.596795E+05
     8   0.137260E+04   0.235601E-01   0.372413E+01   0.140988E+07   0.605479E+05
     9   0.133075E+04   0.234275E-01   0.374040E+01   0.151162E+07   0.608839E+05
    10   0.129582E+04   0.230770E-01   0.355859E+01   0.160334E+07   0.608623E+05
    11   0.126802E+04   0.205097E-01   0.324849E+01   0.168672E+07   0.606495E+05
    12   0.124767E+04   0.162245E-01   0.288740E+01   0.176200E+07   0.602847E+05
    13   0.123293E+04   0.117401E-01   0.254204E+01   0.183088E+07   0.598745E+05
    14   0.122114E+04   0.828170E-02   0.224599E+01   0.189327E+07   0.593373E+05
    15   0.121199E+04   0.631973E-02   0.202174E+01   0.195039E+07   0.587337E+05
    16   0.120549E+04   0.570109E-02   0.188718E+01   0.200238E+07   0.580325E+05
    17   0.120173E+04   0.606016E-02   0.183322E+01   0.204974E+07   0.572593E+05
    18   0.120038E+04   0.703712E-02   0.184345E+01   0.209307E+07   0.564579E+05
    19   0.120205E+04   0.839878E-02   0.189323E+01   0.213259E+07   0.556427E+05
    20   0.120479E+04   0.994602E-02   0.194897E+01   0.216846E+07   0.548207E+05
    21   0.120910E+04   0.115697E-01   0.199660E+01   0.220107E+07   0.539979E+05
    22   0.121482E+04   0.132195E-01   0.202531E+01   0.223079E+07   0.531786E+05
    23   0.122146E+04   0.149187E-01   0.204153E+01   0.225779E+07   0.523615E+05
    24   0.122923E+04   0.167268E-01   0.205291E+01   0.228221E+07   0.515460E+05
    25   0.123834E+04   0.187437E-01   0.205033E+01   0.230426E+07   0.507396E+05
    26   0.124833E+04   0.210701E-01   0.203497E+01   0.232414E+07   0.499501E+05
    27   0.125945E+04   0.237429E-01   0.201295E+01   0.234202E+07   0.491765E+05
    28   0.127138E+04   0.267600E-01   0.198572E+01   0.235803E+07   0.484148E+05
    29   0.128401E+04   0.301242E-01   0.196042E+01   0.237218E+07   0.476585E+05
    30   0.129752E+04   0.338397E-01   0.193053E+01   0.238451E+07   0.469032E+05
    31   0.131122E+04   0.378999E-01   0.190320E+01   0.239521E+07   0.461560E+05
    32   0.132580E+04   0.423116E-01   0.186838E+01   0.240450E+07   0.454250E+05
    33   0.134074E+04   0.469772E-01   0.181791E+01   0.241245E+07   0.447091E+05
    34   0.135603E+04   0.518690E-01   0.174734E+01   0.241913E+07   0.440048E+05
    35   0.137234E+04   0.570070E-01   0.164822E+01   0.242459E+07   0.433084E+05
    36   0.138882E+04   0.624511E-01   0.153423E+01   0.242893E+07   0.426177E+05
    37   0.140589E+04   0.682654E-01   0.140765E+01   0.243221E+07   0.419370E+05
    38   0.142353E+04   0.744694E-01   0.127728E+01   0.243451E+07   0.412713E+05
    39   0.144166E+04   0.810489E-01   0.113975E+01   0.243586E+07   0.406224E+05
    40   0.146026E+04   0.879842E-01   0.987659E+00   0.243631E+07   0.399911E+05
    41   0.147928E+04   0.952616E-01   0.815405E+00   0.243591E+07   0.393776E+05
    42   0.149871E+04   0.102893E+00   0.624637E+00   0.243469E+07   0.387793E+05
    43   0.151850E+04   0.110897E+00   0.418409E+00   0.243271E+07   0.381928E+05
    44   0.153866E+04   0.119288E+00   0.198175E+00   0.243001E+07   0.376149E+05
    45   0.155922E+04   0.128081E+00  -0.349186E-01   0.242665E+07   0.370423E+05
    46   0.158009E+04   0.137281E+00  -0.280003E+00   0.242268E+07   0.364727E+05
    47   0.160129E+04   0.146876E+00  -0.539180E+00   0.241812E+07   0.359082E+05
    48   0.162282E+04   0.156844E+00  -0.815314E+00   0.241302E+07   0.353518E+05
    49   0.164470E+04   0.167161E+00  -0.111119E+01   0.240740E+07   0.348065E+05
    50   0.166701E+04   0.177814E+00  -0.142947E+01   0.240131E+07   0.342754E+05
    51   0.168983E+04   0.188797E+00  -0.177164E+01   0.239477E+07   0.337607E+05
    52   0.171309E+04   0.200122E+00  -0.213488E+01   0.238782E+07   0.332606E+05
    53   0.173668E+04   0.211803E+00  -0.251545E+01   0.238046E+07   0.327726E+05
    54   0.176054E+04   0.223853E+00  -0.291048E+01   0.237273E+07   0.322942E+05
    55   0.178465E+04   0.236290E+00  -0.331748E+01   0.236464E+07   0.318227E+05
    56   0.180908E+04   0.249116E+00  -0.373538E+01   0.235623E+07   0.313563E+05
    57   0.183394E+04   0.262312E+00  -0.416625E+01   0.234749E+07   0.308950E+05
    58   0.185922E+04   0.275854E+00  -0.461228E+01   0.233846E+07   0.304394E+05
    59   0.188486E+04   0.289720E+00  -0.507537E+01   0.232914E+07   0.299902E+05
    60   0.191084E+04   0.303880E+00  -0.555699E+01   0.231954E+07   0.295481E+05
    61   0.193721E+04   0.318309E+00  -0.605810E+01   0.230968E+07   0.291135E+05
    62   0.196394E+04   0.333001E+00  -0.657782E+01   0.229959E+07   0.286871E+05
    63   0.199104E+04   0.347952E+00  -0.711484E+01   0.228928E+07   0.282690E+05
    64   0.201849E+04   0.363162E+00  -0.766786E+01   0.227877E+07   0.278597E+05
    65   0.204631E+04   0.378630E+00  -0.823561E+01   0.226809E+07   0.274596E+05
    66   0.207451E+04   0.394347E+00  -0.881706E+01   0.225726E+07   0.270688E+05
    67   0.210309E+04   0.410300E+00  -0.941118E+01   0.224628E+07   0.266868E+05
    68   0.213202E+04   0.426469E+00  -0.100169E+02   0.223518E+07   0.263129E+05
    69   0.216127E+04   0.442837E+00  -0.106333E+02   0.222396E+07   0.259463E+05
    70   0.219084E+04   0.459390E+00  -0.112596E+02   0.221263E+07   0.255864E+05
    71   0.222070E+04   0.476112E+00  -0.118952E+02   0.220120E+07   0.252326E+05
    72   0.225094E+04   0.492988E+00  -0.125413E+02   0.218968E+07   0.248844E+05
    73   0.228164E+04   0.509999E+00  -0.131988E+02   0.217807E+07   0.245418E+05
    74   0.231277E+04   0.527123E+00  -0.138679E+02   0.216638E+07   0.242045E+05
    75   0.234429E+04   0.544334E+00  -0.145482E+02   0.215459E+07   0.238723E+05
    76   0.237614E+04   0.561607E+00  -0.152394E+02   0.214273E+07   0.235451E+05
    77   0.240821E+04   0.578922E+00  -0.159398E+02   0.213080E+07   0.232226E+05
    78   0.244052E+04   0.596261E+00  -0.166490E+02   0.211881E+07   0.229049E+05
    79   0.247313E+04   0.613606E+00  -0.173668E+02   0.210676E+07   0.225918E+05
    80   0.250611E+04   0.630936E+00  -0.180930E+02   0.209468E+07   0.222832E+05
    81   0.253949E+04   0.648234E+00  -0.188272E+02   0.208256E+07   0.219790E+05
    82   0.257328E+04   0.665482E+00  -0.195682E+02   0.207041E+07   0.216794E+05
    83   0.260743E+04   0.682661E+00  -0.203149E+02   0.205825E+07   0.213845E+05
    84   0.264193E+04   0.699751E+00  -0.210659E+02   0.204607E+07   0.210944E+05
    85   0.267673E+04   0.716735E+00  -0.218201E+02   0.203389E+07   0.208095E+05
    86   0.271183E+04   0.733593E+00  -0.225762E+02   0.202171E+07   0.205297E+05
    87   0.274719E+04   0.750302E+00  -0.233332E+02   0.200954E+07   0.202550E+05
    88   0.278278E+04   0.766840E+00  -0.240906E+02   0.199738E+07   0.199852E+05
    89   0.281862E+04   0.783181E+00  -0.248476E+02   0.198523E+07   0.197203E+05
    90   0.285471E+04   0.799298E+00  -0.256036E+02   0.197310E+07   0.194600E+05
    91   0.289107E+04   0.815168E+00  -0.263581E+02   0.196099E+07   0.192043E+05
    92   0.292767E+04   0.830772E+00  -0.271103E+02   0.194891E+07   0.189530E+05
    93   0.296453E+04   0.846091E+00  -0.278596E+02   0.193686E+07   0.187062E+05
    94   0.300163E+04   0.861111E+00  -0.286053E+02   0.192484E+07   0.184635E+05
    95   0.303897E+04   0.875812E+00  -0.293467E+02   0.191285E+07   0.182251E+05
    96   0.307654E+04   0.890178E+00  -0.300830E+02   0.190089E+07   0.179907E+05
    97   0.311431E+04   0.904191E+00  -0.308134E+02   0.188897E+07   0.177604E+05
    98   0.315230E+04   0.917832E+00  -0.315372E+02   0.187708E+07   0.175339E+05
    99   0.319047E+04   0.931084E+00  -0.322536E+02   0.186524E+07   0.173112E+05
   100   0.322881E+04   0.943932E+00  -0.329617E+02   0.185344E+07   0.170923E+05
   101   0.326732E+04   0.956358E+00  -0.336608E+02   0.184169E+07   0.168769E+05
   102   0.330599E+04   0.968338E+00  -0.343501E+02   0.182998E+07   0.166651E+05
   103   0.334477E+04   0.979868E+00  -0.350287E+02   0.181833E+07   0.164568E+05
   104   0.338368E+04   0.990915E+00  -0.356957E+02   0.180672E+07   0.162518E+05
   105   0.342268E+04   0.100147E+01  -0.363504E+02   0.179517E+07   0.160500E+05
   106   0.346177E+04   0.101151E+01  -0.369917E+02   0.178367E+07   0.158514E+05
   107   0.350091E+04   0.102103E+01  -0.376189E+02   0.177224E+07   0.156558E+05
   108   0.354009E+04   0.103001E+01  -0.382311E+02   0.176086E+07   0.154632E+05
   109   0.357931E+04   0.103843E+01  -0.388273E+02   0.174954E+07   0.152735E+05
   110   0.361853E+04   0.104627E+01  -0.394067E+02   0.173829E+07   0.150866E+05
   111   0.365775E+04   0.105351E+01  -0.399686E+02   0.172711E+07   0.149024E+05
   112   0.369695E+04   0.106017E+01  -0.405121E+02   0.171600E+07   0.147209E+05
   113   0.373612E+04   0.106622E+01  -0.410367E+02   0.170495E+07   0.145420E+05
   114   0.377527E+04   0.107165E+01  -0.415417E+02   0.169397E+07   0.143656E+05
   115   0.381437E+04   0.107649E+01  -0.420264E+02   0.168306E+07   0.141919E+05
   116   0.385342E+04   0.108071E+01  -0.424902E+02   0.167222E+07   0.140207E+05
   117   0.389242E+04   0.108431E+01  -0.429324E+02   0.166145E+07   0.138520E+05
   118   0.393134E+04   0.108730E+01  -0.433523E+02   0.165075E+07   0.136858E+05
   119   0.397019E+04   0.108967E+01  -0.437494E+02   0.164012E+07   0.135220E+05
   120   0.400895E+04   0.109141E+01  -0.441229E+02   0.162957E+07   0.133606E+05
   121   0.404761E+04   0.109253E+01  -0.444722E+02   0.161908E+07   0.132017E+05
   122   0.408615E+04   0.109302E+01  -0.447967E+02   0.160867E+07   0.130450E+05
   123   0.412458E+04   0.109289E+01  -0.450958E+02   0.159833E+07   0.128907E+05
   124   0.416288E+04   0.109213E+01  -0.453687E+02   0.158807E+07   0.127387E+05
