#           k/h    P           
   0.100000E-03   0.442041E+03
   0.102020E-03   0.450958E+03
   0.104081E-03   0.460054E+03
   0.106184E-03   0.469333E+03
   0.108329E-03   0.478799E+03
   0.110517E-03   0.488456E+03
   0.112750E-03   0.498306E+03
   0.115027E-03   0.508354E+03
   0.117351E-03   0.518604E+03
   0.119722E-03   0.529060E+03
   0.122140E-03   0.539726E+03
   0.124608E-03   0.550606E+03
   0.127125E-03   0.561705E+03
   0.129693E-03   0.573026E+03
   0.132313E-03   0.584574E+03
   0.134986E-03   0.596354E+03
   0.137713E-03   0.608370E+03
   0.140495E-03   0.620627E+03
   0.143333E-03   0.633129E+03
   0.146228E-03   0.645882E+03
   0.149182E-03   0.658890E+03
   0.152196E-03   0.672159E+03
   0.155271E-03   0.685693E+03
   0.158407E-03   0.699498E+03
   0.161607E-03   0.713579E+03
   0.164872E-03   0.727941E+03
   0.168203E-03   0.742591E+03
   0.171601E-03   0.757532E+03
   0.175067E-03   0.772772E+03
   0.178604E-03   0.788316E+03
   0.182212E-03   0.804171E+03
   0.185893E-03   0.820341E+03
   0.189648E-03   0.836833E+03
   0.193479E-03   0.853653E+03
   0.197388E-03   0.870808E+03
   0.201375E-03   0.888305E+03
   0.205443E-03   0.906149E+03
   0.209594E-03   0.924347E+03
   0.213828E-03   0.942907E+03
   0.218147E-03   0.961835E+03
   0.222554E-03   0.981138E+03
   0.227050E-03   0.100082E+04
   0.231637E-03   0.102090E+04
   0.236316E-03   0.104137E+04
   0.241090E-03   0.106225E+04
   0.245960E-03   0.108354E+04
   0.250929E-03   0.110525E+04
   0.255998E-03   0.112738E+04
   0.261170E-03   0.114995E+04
   0.266446E-03   0.117297E+04
   0.271828E-03   0.119644E+04
   0.277319E-03   0.122037E+04
   0.282922E-03   0.124477E+04
   0.288637E-03   0.126965E+04
   0.294468E-03   0.129501E+04
   0.300417E-03   0.132087E+04
   0.306485E-03   0.134724E+04
   0.312677E-03   0.137412E+04
   0.318993E-03   0.140152E+04
   0.325437E-03   0.142946E+04
   0.332012E-03   0.145794E+04
   0.338719E-03   0.148697E+04
   0.345561E-03   0.151656E+04
   0.352542E-03   0.154673E+04
   0.359664E-03   0.157748E+04
   0.366930E-03   0.160882E+04
   0.374342E-03   0.164077E+04
   0.381904E-03   0.167333E+04
   0.389619E-03   0.170651E+04
   0.397490E-03   0.174034E+04
   0.405520E-03   0.177481E+04
   0.413712E-03   0.180993E+04
   0.422070E-03   0.184573E+04
   0.430596E-03   0.188221E+04
   0.439295E-03   0.191938E+04
   0.448169E-03   0.195726E+04
   0.457222E-03   0.199585E+04
   0.466459E-03   0.203518E+04
   0.475882E-03   0.207524E+04
   0.485496E-03   0.211606E+04
   0.495303E-03   0.215765E+04
   0.505309E-03   0.220002E+04
   0.515517E-03   0.224317E+04
   0.525931E-03   0.228714E+04
   0.536556E-03   0.233192E+04
   0.547395E-03   0.237754E+04
   0.558453E-03   0.242400E+04
   0.569734E-03   0.247133E+04
   0.581244E-03   0.251953E+04
   0.592986E-03   0.256862E+04
   0.604965E-03   0.261861E+04
   0.617186E-03   0.266952E+04
   0.629654E-03   0.272137E+04
   0.642374E-03   0.277416E+04
   0.655350E-03   0.282792E+04
   0.668589E-03   0.288266E+04
   0.682096E-03   0.293840E+04
   0.695875E-03   0.299515E+04
   0.709933E-03   0.305293E+04
   0.724274E-03   0.311176E+04
   0.738906E-03   0.317165E+04
   0.753832E-03   0.323263E+04
   0.769061E-03   0.329470E+04
   0.784597E-03   0.335790E+04
   0.800447E-03   0.342223E+04
   0.816617E-03   0.348772E+04
   0.833114E-03   0.355439E+04
   0.849944E-03   0.362226E+04
   0.867114E-03   0.369134E+04
   0.884631E-03   0.376166E+04
   0.902501E-03   0.383324E+04
   0.920733E-03   0.390610E+04
   0.939333E-03   0.398026E+04
   0.958309E-03   0.405575E+04
   0.977668E-03   0.413260E+04
   0.997418E-03   0.421081E+04
   0.101757E-02   0.429042E+04
   0.103812E-02   0.437145E+04
   0.105910E-02   0.445393E+04
   0.108049E-02   0.453789E+04
   0.110232E-02   0.462333E+04
   0.112459E-02   0.471031E+04
   0.114730E-02   0.479883E+04
   0.117048E-02   0.488893E+04
   0.119413E-02   0.498063E+04
   0.121825E-02   0.507397E+04
   0.124286E-02   0.516896E+04
   0.126797E-02   0.526564E+04
   0.129358E-02   0.536403E+04
   0.131971E-02   0.546416E+04
   0.134637E-02   0.556607E+04
   0.137357E-02   0.566976E+04
   0.140132E-02   0.577529E+04
   0.142963E-02   0.588266E+04
   0.145851E-02   0.599192E+04
   0.148797E-02   0.610308E+04
   0.151803E-02   0.621617E+04
   0.154870E-02   0.633122E+04
   0.157998E-02   0.644826E+04
   0.161190E-02   0.656731E+04
   0.164446E-02   0.668839E+04
   0.167768E-02   0.681154E+04
   0.171158E-02   0.693678E+04
   0.174615E-02   0.706412E+04
   0.178143E-02   0.719360E+04
   0.181741E-02   0.732524E+04
   0.185413E-02   0.745906E+04
   0.189158E-02   0.759509E+04
   0.192980E-02   0.773333E+04
   0.196878E-02   0.787383E+04
   0.200855E-02   0.801659E+04
   0.204913E-02   0.816164E+04
   0.209052E-02   0.830899E+04
   0.213276E-02   0.845867E+04
   0.217584E-02   0.861069E+04
   0.221979E-02   0.876508E+04
