#    L    TT             EE             TE             PP             TP          
     2   0.630938E+03   0.288238E-01   0.287857E+01   0.117299E+07  -0.119890E+04
     3   0.633632E+03   0.544806E-01   0.339711E+01   0.178662E+07   0.196109E+04
     4   0.632590E+03   0.723142E-01   0.351455E+01   0.232484E+07   0.435254E+04
     5   0.630293E+03   0.769948E-01   0.337323E+01   0.279726E+07   0.611375E+04
     6   0.628285E+03   0.695768E-01   0.308615E+01   0.321292E+07   0.741322E+04
     7   0.627760E+03   0.548645E-01   0.273090E+01   0.358087E+07   0.839796E+04
     8   0.628802E+03   0.384209E-01   0.236034E+01   0.390802E+07   0.911137E+04
     9   0.631414E+03   0.244385E-01   0.200669E+01   0.420043E+07   0.957906E+04
    10   0.635553E+03   0.149078E-01   0.169091E+01   0.446233E+07   0.986759E+04
    11   0.641036E+03   0.978423E-02   0.142466E+01   0.469874E+07   0.100707E+05
    12   0.648446E+03   0.781185E-02   0.121840E+01   0.491067E+07   0.102274E+05
    13   0.656423E+03   0.742458E-02   0.107069E+01   0.510323E+07   0.103864E+05
    14   0.664902E+03   0.739284E-02   0.978607E+00   0.527656E+07   0.104921E+05
    15   0.673158E+03   0.710358E-02   0.936118E+00   0.543439E+07   0.105602E+05
    16   0.682942E+03   0.648333E-02   0.936176E+00   0.557727E+07   0.105765E+05
    17   0.694016E+03   0.578345E-02   0.966819E+00   0.570675E+07   0.105698E+05
    18   0.705210E+03   0.527806E-02   0.101749E+01   0.582465E+07   0.105740E+05
    19   0.717432E+03   0.510461E-02   0.108184E+01   0.593167E+07   0.105802E+05
    20   0.729224E+03   0.530447E-02   0.114590E+01   0.602835E+07   0.105724E+05
    21   0.741276E+03   0.575150E-02   0.120790E+01   0.611583E+07   0.105475E+05
    22   0.753579E+03   0.630909E-02   0.126401E+01   0.619526E+07   0.105071E+05
    23   0.765753E+03   0.689372E-02   0.131345E+01   0.626716E+07   0.104580E+05
    24   0.778145E+03   0.746392E-02   0.135633E+01   0.633195E+07   0.104052E+05
    25   0.790964E+03   0.806211E-02   0.138867E+01   0.639024E+07   0.103429E+05
    26   0.803776E+03   0.875820E-02   0.141764E+01   0.644268E+07   0.102655E+05
    27   0.816926E+03   0.962337E-02   0.144597E+01   0.648974E+07   0.101796E+05
    28   0.830168E+03   0.106968E-01   0.147045E+01   0.653180E+07   0.100932E+05
    29   0.843419E+03   0.119869E-01   0.149773E+01   0.656892E+07   0.100073E+05
    30   0.856899E+03   0.134889E-01   0.152192E+01   0.660121E+07   0.992143E+04
    31   0.870053E+03   0.151657E-01   0.155114E+01   0.662923E+07   0.983669E+04
    32   0.883727E+03   0.170091E-01   0.157805E+01   0.665357E+07   0.975378E+04
    33   0.897360E+03   0.189907E-01   0.160382E+01   0.667447E+07   0.967018E+04
    34   0.910914E+03   0.211471E-01   0.163228E+01   0.669206E+07   0.958390E+04
    35   0.925071E+03   0.234571E-01   0.165224E+01   0.670656E+07   0.949847E+04
    36   0.939012E+03   0.259180E-01   0.167096E+01   0.671820E+07   0.941777E+04
    37   0.953144E+03   0.285480E-01   0.168060E+01   0.672717E+07   0.934164E+04
    38   0.967441E+03   0.313353E-01   0.168177E+01   0.673365E+07   0.926845E+04
    39   0.981839E+03   0.342752E-01   0.167455E+01   0.673776E+07   0.919485E+04
    40   0.996331E+03   0.373670E-01   0.165781E+01   0.673962E+07   0.911709E+04
    41   0.101089E+04   0.406133E-01   0.163098E+01   0.673934E+07   0.903252E+04
    42   0.102552E+04   0.440285E-01   0.159547E+01   0.673705E+07   0.894294E+04
    43   0.104023E+04   0.476301E-01   0.155282E+01   0.673287E+07   0.885127E+04
    44   0.105503E+04   0.514329E-01   0.150296E+01   0.672693E+07   0.876043E+04
    45   0.107000E+04   0.554495E-01   0.144551E+01   0.671937E+07   0.867332E+04
    46   0.108507E+04   0.596873E-01   0.138047E+01   0.671030E+07   0.859207E+04
    47   0.110024E+04   0.641461E-01   0.130749E+01   0.669983E+07   0.851553E+04
    48   0.111548E+04   0.688172E-01   0.122615E+01   0.668803E+07   0.844175E+04
    49   0.113079E+04   0.736911E-01   0.113607E+01   0.667500E+07   0.836880E+04
    50   0.114622E+04   0.787693E-01   0.103701E+01   0.666083E+07   0.829472E+04
    51   0.116183E+04   0.840548E-01   0.928968E+00   0.664559E+07   0.821807E+04
    52   0.117757E+04   0.895519E-01   0.812565E+00   0.662935E+07   0.813941E+04
    53   0.119337E+04   0.952620E-01   0.688382E+00   0.661216E+07   0.805983E+04
    54   0.120920E+04   0.101187E+00   0.556141E+00   0.659407E+07   0.798038E+04
    55   0.122505E+04   0.107331E+00   0.415191E+00   0.657515E+07   0.790214E+04
    56   0.124104E+04   0.113690E+00   0.264334E+00   0.655545E+07   0.782587E+04
    57   0.125727E+04   0.120266E+00   0.102731E+00   0.653499E+07   0.775111E+04
    58   0.127371E+04   0.127062E+00  -0.696869E-01   0.651381E+07   0.767710E+04
    59   0.129028E+04   0.134081E+00  -0.252700E+00   0.649195E+07   0.760309E+04
    60   0.130696E+04   0.141321E+00  -0.445675E+00   0.646944E+07   0.752830E+04
    61   0.132376E+04   0.148778E+00  -0.648044E+00   0.644630E+07   0.745232E+04
    62   0.134069E+04   0.156452E+00  -0.859871E+00   0.642260E+07   0.737613E+04
    63   0.135776E+04   0.164345E+00  -0.108139E+01   0.639838E+07   0.730107E+04
    64   0.137496E+04   0.172455E+00  -0.131283E+01   0.637370E+07   0.722845E+04
    65   0.139231E+04   0.180786E+00  -0.155447E+01   0.634861E+07   0.715962E+04
    66   0.140983E+04   0.189334E+00  -0.180665E+01   0.632317E+07   0.709544E+04
    67   0.142753E+04   0.198094E+00  -0.206895E+01   0.629740E+07   0.703503E+04
    68   0.144535E+04   0.207059E+00  -0.234081E+01   0.627132E+07   0.697701E+04
    69   0.146328E+04   0.216225E+00  -0.262169E+01   0.624497E+07   0.692005E+04
    70   0.148128E+04   0.225588E+00  -0.291121E+01   0.621837E+07   0.686278E+04
    71   0.149934E+04   0.235147E+00  -0.320938E+01   0.619155E+07   0.680410E+04
    72   0.151756E+04   0.244901E+00  -0.351730E+01   0.616451E+07   0.674386E+04
    73   0.153607E+04   0.254848E+00  -0.383617E+01   0.613724E+07   0.668217E+04
    74   0.155486E+04   0.264980E+00  -0.416613E+01   0.610977E+07   0.661911E+04
    75   0.157393E+04   0.275288E+00  -0.450696E+01   0.608208E+07   0.655480E+04
    76   0.159323E+04   0.285763E+00  -0.485830E+01   0.605419E+07   0.648942E+04
    77   0.161265E+04   0.296400E+00  -0.521859E+01   0.602611E+07   0.642358E+04
    78   0.163214E+04   0.307195E+00  -0.558720E+01   0.599787E+07   0.635796E+04
    79   0.165177E+04   0.318145E+00  -0.596382E+01   0.596950E+07   0.629326E+04
    80   0.167155E+04   0.329246E+00  -0.634827E+01   0.594101E+07   0.623018E+04
    81   0.169149E+04   0.340492E+00  -0.674023E+01   0.591243E+07   0.616930E+04
    82   0.171162E+04   0.351879E+00  -0.713963E+01   0.588378E+07   0.611074E+04
    83   0.173193E+04   0.363398E+00  -0.754662E+01   0.585507E+07   0.605453E+04
    84   0.175243E+04   0.375040E+00  -0.796108E+01   0.582632E+07   0.600069E+04
    85   0.177311E+04   0.386797E+00  -0.838322E+01   0.579754E+07   0.594924E+04
    86   0.179399E+04   0.398662E+00  -0.881285E+01   0.576874E+07   0.590009E+04
    87   0.181503E+04   0.410629E+00  -0.924965E+01   0.573994E+07   0.585277E+04
    88   0.183621E+04   0.422688E+00  -0.969326E+01   0.571115E+07   0.580667E+04
    89   0.185752E+04   0.434835E+00  -0.101434E+02   0.568238E+07   0.576120E+04
    90   0.187898E+04   0.447056E+00  -0.105998E+02   0.565363E+07   0.571579E+04
    91   0.190058E+04   0.459345E+00  -0.110623E+02   0.562491E+07   0.566993E+04
    92   0.192234E+04   0.471690E+00  -0.115307E+02   0.559623E+07   0.562361E+04
