#           k/h    P           
   0.100000E-03   0.350359E+03
   0.102020E-03   0.357173E+03
   0.104081E-03   0.364119E+03
   0.106184E-03   0.371199E+03
   0.108329E-03   0.378415E+03
   0.110517E-03   0.385771E+03
   0.112750E-03   0.393268E+03
   0.115027E-03   0.400910E+03
   0.117351E-03   0.408700E+03
   0.119722E-03   0.416639E+03
   0.122140E-03   0.424731E+03
   0.124608E-03   0.432979E+03
   0.127125E-03   0.441386E+03
   0.129693E-03   0.449954E+03
   0.132313E-03   0.458687E+03
   0.134986E-03   0.467587E+03
   0.137713E-03   0.476658E+03
   0.140495E-03   0.485903E+03
   0.143333E-03   0.495325E+03
   0.146228E-03   0.504927E+03
   0.149182E-03   0.514713E+03
   0.152196E-03   0.524686E+03
   0.155271E-03   0.534849E+03
   0.158407E-03   0.545207E+03
   0.161607E-03   0.555762E+03
   0.164872E-03   0.566518E+03
   0.168203E-03   0.577478E+03
   0.171601E-03   0.588647E+03
   0.175067E-03   0.600028E+03
   0.178604E-03   0.611624E+03
   0.182212E-03   0.623441E+03
   0.185893E-03   0.635481E+03
   0.189648E-03   0.647748E+03
   0.193479E-03   0.660247E+03
   0.197388E-03   0.672982E+03
   0.201375E-03   0.685957E+03
   0.205443E-03   0.699175E+03
   0.209594E-03   0.712642E+03
   0.213828E-03   0.726361E+03
   0.218147E-03   0.740336E+03
   0.222554E-03   0.754573E+03
   0.227050E-03   0.769076E+03
   0.231637E-03   0.783848E+03
   0.236316E-03   0.798895E+03
   0.241090E-03   0.814221E+03
   0.245960E-03   0.829831E+03
   0.250929E-03   0.845730E+03
   0.255998E-03   0.861921E+03
   0.261170E-03   0.878410E+03
   0.266446E-03   0.895202E+03
   0.271828E-03   0.912301E+03
   0.277319E-03   0.929713E+03
   0.282922E-03   0.947442E+03
   0.288637E-03   0.965493E+03
   0.294468E-03   0.983871E+03
   0.300417E-03   0.100258E+04
   0.306485E-03   0.102163E+04
   0.312677E-03   0.104102E+04
   0.318993E-03   0.106076E+04
   0.325437E-03   0.108085E+04
   0.332012E-03   0.110129E+04
   0.338719E-03   0.112210E+04
   0.345561E-03   0.114328E+04
   0.352542E-03   0.116483E+04
   0.359664E-03   0.118676E+04
   0.366930E-03   0.120907E+04
   0.374342E-03   0.123177E+04
   0.381904E-03   0.125486E+04
   0.389619E-03   0.127835E+04
   0.397490E-03   0.130225E+04
   0.405520E-03   0.132655E+04
   0.413712E-03   0.135127E+04
   0.422070E-03   0.137640E+04
   0.430596E-03   0.140196E+04
   0.439295E-03   0.142795E+04
   0.448169E-03   0.145437E+04
   0.457222E-03   0.148123E+04
   0.466459E-03   0.150854E+04
   0.475882E-03   0.153629E+04
   0.485496E-03   0.156450E+04
   0.495303E-03   0.159316E+04
   0.505309E-03   0.162229E+04
   0.515517E-03   0.165189E+04
   0.525931E-03   0.168195E+04
   0.536556E-03   0.171250E+04
   0.547395E-03   0.174352E+04
   0.558453E-03   0.177504E+04
   0.569734E-03   0.180704E+04
   0.581244E-03   0.183954E+04
   0.592986E-03   0.187254E+04
   0.604965E-03   0.190604E+04
   0.617186E-03   0.194005E+04
   0.629654E-03   0.197457E+04
   0.642374E-03   0.200962E+04
   0.655350E-03   0.204518E+04
   0.668589E-03   0.208128E+04
   0.682096E-03   0.211790E+04
   0.695875E-03   0.215506E+04
   0.709933E-03   0.219277E+04
   0.724274E-03   0.223102E+04
   0.738906E-03   0.226982E+04
   0.753832E-03   0.230918E+04
   0.769061E-03   0.234911E+04
   0.784597E-03   0.238961E+04
   0.800447E-03   0.243068E+04
   0.816617E-03   0.247233E+04
   0.833114E-03   0.251457E+04
   0.849944E-03   0.255741E+04
   0.867114E-03   0.260085E+04
   0.884631E-03   0.264490E+04
   0.902501E-03   0.268958E+04
   0.920733E-03   0.273488E+04
   0.939333E-03   0.278082E+04
   0.958309E-03   0.282741E+04
   0.977668E-03   0.287467E+04
   0.997418E-03   0.292259E+04
   0.101757E-02   0.297119E+04
   0.103812E-02   0.302049E+04
   0.105910E-02   0.307050E+04
   0.108049E-02   0.312123E+04
   0.110232E-02   0.317270E+04
   0.112459E-02   0.322492E+04
   0.114730E-02   0.327791E+04
   0.117048E-02   0.333168E+04
   0.119413E-02   0.338626E+04
   0.121825E-02   0.344165E+04
   0.124286E-02   0.349789E+04
   0.126797E-02   0.355498E+04
   0.129358E-02   0.361295E+04
   0.131971E-02   0.367182E+04
   0.134637E-02   0.373161E+04
   0.137357E-02   0.379234E+04
   0.140132E-02   0.385402E+04
   0.142963E-02   0.391669E+04
   0.145851E-02   0.398035E+04
   0.148797E-02   0.404505E+04
   0.151803E-02   0.411078E+04
   0.154870E-02   0.417758E+04
   0.157998E-02   0.424547E+04
   0.161190E-02   0.431446E+04
   0.164446E-02   0.438458E+04
   0.167768E-02   0.445584E+04
   0.171158E-02   0.452826E+04
   0.174615E-02   0.460186E+04
   0.178143E-02   0.467666E+04
   0.181741E-02   0.475268E+04
   0.185413E-02   0.482993E+04
   0.189158E-02   0.490842E+04
   0.192980E-02   0.498817E+04
   0.196878E-02   0.506919E+04
   0.200855E-02   0.515149E+04
   0.204913E-02   0.523509E+04
   0.209052E-02   0.532000E+04
   0.213276E-02   0.540623E+04
   0.217584E-02   0.549378E+04
   0.221979E-02   0.558266E+04
   0.226464E-02   0.567289E+04
   0.231039E-02   0.576447E+04
   0.235706E-02   0.585740E+04
   0.240467E-02   0.595169E+04
   0.245325E-02   0.604735E+04
   0.250281E-02   0.614438E+04
   0.255337E-02   0.624279E+04
   0.260495E-02   0.634257E+04
   0.265758E-02   0.644373E+04
   0.271126E-02   0.654626E+04
   0.276603E-02   0.665018E+04
   0.282191E-02   0.675547E+04
   0.287892E-02   0.686214E+04
   0.293708E-02   0.697018E+04
   0.299641E-02   0.707960E+04
   0.305694E-02   0.719037E+04
   0.311870E-02   0.730251E+04
   0.318170E-02   0.741599E+04
   0.324597E-02   0.753082E+04
   0.331155E-02   0.764699E+04
   0.337844E-02   0.776447E+04
   0.344669E-02   0.788327E+04
   0.351632E-02   0.800337E+04
   0.358735E-02   0.812475E+04
   0.365982E-02   0.824741E+04
   0.373376E-02   0.837131E+04
   0.380918E-02   0.849644E+04
   0.388613E-02   0.862279E+04
   0.396464E-02   0.875033E+04
   0.404473E-02   0.887904E+04
   0.412644E-02   0.900888E+04
   0.420980E-02   0.913985E+04
   0.429484E-02   0.927190E+04
   0.438160E-02   0.940500E+04
   0.447012E-02   0.953913E+04
   0.456042E-02   0.967425E+04
   0.465255E-02   0.981032E+04
   0.474653E-02   0.994731E+04
   0.484242E-02   0.100852E+05
   0.494024E-02   0.102239E+05
   0.504004E-02   0.103634E+05
   0.514186E-02   0.105036E+05
   0.524573E-02   0.106445E+05
   0.535170E-02   0.107861E+05
   0.545981E-02   0.109282E+05
   0.557011E-02   0.110709E+05
   0.568263E-02   0.112140E+05
