#    L    TT             EE             TE             PP             TP          
     2   0.130239E+04   0.537089E-01   0.260944E+01   0.792864E+06   0.354837E+05
     3   0.128465E+04   0.880896E-01   0.327514E+01   0.121163E+07   0.461388E+05
     4   0.122208E+04   0.962973E-01   0.351925E+01   0.158626E+07   0.522826E+05
     5   0.115502E+04   0.818299E-01   0.343659E+01   0.192011E+07   0.556964E+05
     6   0.109633E+04   0.574582E-01   0.314688E+01   0.221748E+07   0.574519E+05
     7   0.104901E+04   0.348792E-01   0.274922E+01   0.248349E+07   0.581809E+05
     8   0.101143E+04   0.198415E-01   0.232739E+01   0.272225E+07   0.582051E+05
     9   0.982274E+03   0.123920E-01   0.193556E+01   0.293746E+07   0.577388E+05
    10   0.960547E+03   0.969319E-02   0.160761E+01   0.313165E+07   0.569703E+05
    11   0.944717E+03   0.877541E-02   0.136523E+01   0.330807E+07   0.560736E+05
    12   0.934710E+03   0.797134E-02   0.121668E+01   0.346723E+07   0.550819E+05
    13   0.927893E+03   0.693388E-02   0.115309E+01   0.361257E+07   0.540954E+05
    14   0.924014E+03   0.597464E-02   0.114989E+01   0.374404E+07   0.530439E+05
    15   0.922052E+03   0.543290E-02   0.118017E+01   0.386418E+07   0.519896E+05
    16   0.923056E+03   0.537806E-02   0.123023E+01   0.397334E+07   0.509005E+05
    17   0.926659E+03   0.562869E-02   0.128932E+01   0.407259E+07   0.497876E+05
    18   0.931683E+03   0.599078E-02   0.134976E+01   0.416321E+07   0.486790E+05
    19   0.938824E+03   0.642289E-02   0.140987E+01   0.424565E+07   0.475820E+05
    20   0.946395E+03   0.692552E-02   0.146029E+01   0.432031E+07   0.465000E+05
    21   0.955006E+03   0.759476E-02   0.150187E+01   0.438800E+07   0.454406E+05
    22   0.964590E+03   0.854245E-02   0.153455E+01   0.444953E+07   0.444091E+05
    23   0.974649E+03   0.977557E-02   0.156818E+01   0.450528E+07   0.433985E+05
    24   0.985406E+03   0.112786E-01   0.161165E+01   0.455556E+07   0.424028E+05
    25   0.996988E+03   0.130203E-01   0.165568E+01   0.460082E+07   0.414343E+05
    26   0.100891E+04   0.149770E-01   0.169974E+01   0.464150E+07   0.405054E+05
    27   0.102155E+04   0.171486E-01   0.174348E+01   0.467799E+07   0.396115E+05
    28   0.103470E+04   0.195181E-01   0.178132E+01   0.471054E+07   0.387440E+05
    29   0.104832E+04   0.220795E-01   0.181582E+01   0.473923E+07   0.378969E+05
    30   0.106258E+04   0.248331E-01   0.183760E+01   0.476413E+07   0.370664E+05
    31   0.107680E+04   0.277870E-01   0.185539E+01   0.478566E+07   0.362559E+05
    32   0.109170E+04   0.309744E-01   0.186246E+01   0.480427E+07   0.354698E+05
