#           k/h    P           
   0.100000E-03   0.255588E-21
   0.102020E-03   0.255383E-21
   0.104081E-03   0.255179E-21
   0.106184E-03   0.254975E-21
   0.108329E-03   0.254771E-21
   0.110517E-03   0.254567E-21
   0.112750E-03   0.254364E-21
   0.115027E-03   0.254160E-21
   0.117351E-03   0.253957E-21
   0.119722E-03   0.253754E-21
   0.122140E-03   0.253551E-21
   0.124608E-03   0.253348E-21
   0.127125E-03   0.253146E-21
   0.129693E-03   0.252943E-21
   0.132313E-03   0.252741E-21
   0.134986E-03   0.252539E-21
   0.137713E-03   0.252337E-21
   0.140495E-03   0.252135E-21
   0.143333E-03   0.251933E-21
   0.146228E-03   0.251732E-21
   0.149182E-03   0.251531E-21
   0.152196E-03   0.251330E-21
   0.155271E-03   0.251129E-21
   0.158407E-03   0.250928E-21
   0.161607E-03   0.250727E-21
   0.164872E-03   0.250527E-21
   0.168203E-03   0.250326E-21
   0.171601E-03   0.250126E-21
   0.175067E-03   0.249926E-21
   0.178604E-03   0.249726E-21
   0.182212E-03   0.249526E-21
   0.185893E-03   0.528234E+04
   0.189648E-03   0.507525E+04
   0.193479E-03   0.487931E+04
   0.197388E-03   0.469391E+04
   0.201375E-03   0.451845E+04
   0.205443E-03   0.435241E+04
   0.209594E-03   0.419527E+04
   0.213828E-03   0.404653E+04
   0.218147E-03   0.390576E+04
   0.222554E-03   0.377251E+04
   0.227050E-03   0.364639E+04
   0.231637E-03   0.352700E+04
   0.236316E-03   0.341401E+04
   0.241090E-03   0.330706E+04
   0.245960E-03   0.320583E+04
   0.250929E-03   0.311004E+04
   0.255998E-03   0.301939E+04
   0.261170E-03   0.293362E+04
   0.266446E-03   0.285249E+04
   0.271828E-03   0.277574E+04
   0.277319E-03   0.270317E+04
   0.282922E-03   0.263456E+04
   0.288637E-03   0.256972E+04
   0.294468E-03   0.250846E+04
   0.300417E-03   0.245060E+04
   0.306485E-03   0.239598E+04
   0.312677E-03   0.234444E+04
   0.318993E-03   0.229585E+04
   0.325437E-03   0.225005E+04
   0.332012E-03   0.220692E+04
   0.338719E-03   0.216635E+04
   0.345561E-03   0.212820E+04
   0.352542E-03   0.209239E+04
   0.359664E-03   0.205879E+04
   0.366930E-03   0.202732E+04
   0.374342E-03   0.199790E+04
   0.381904E-03   0.197042E+04
   0.389619E-03   0.194481E+04
   0.397490E-03   0.192101E+04
   0.405520E-03   0.189892E+04
   0.413712E-03   0.187850E+04
   0.422070E-03   0.185968E+04
   0.430596E-03   0.184239E+04
   0.439295E-03   0.182659E+04
   0.448169E-03   0.181221E+04
   0.457222E-03   0.179922E+04
   0.466459E-03   0.178757E+04
   0.475882E-03   0.177721E+04
   0.485496E-03   0.176810E+04
   0.495303E-03   0.176021E+04
   0.505309E-03   0.175350E+04
   0.515517E-03   0.174793E+04
   0.525931E-03   0.174348E+04
   0.536556E-03   0.174012E+04
   0.547395E-03   0.173781E+04
   0.558453E-03   0.173654E+04
   0.569734E-03   0.173629E+04
   0.581244E-03   0.173702E+04
   0.592986E-03   0.173872E+04
   0.604965E-03   0.174137E+04
   0.617186E-03   0.174495E+04
   0.629654E-03   0.174944E+04
   0.642374E-03   0.175484E+04
   0.655350E-03   0.176113E+04
   0.668589E-03   0.176829E+04
   0.682096E-03   0.177631E+04
   0.695875E-03   0.178518E+04
   0.709933E-03   0.179490E+04
   0.724274E-03   0.180545E+04
   0.738906E-03   0.181683E+04
   0.753832E-03   0.182903E+04
   0.769061E-03   0.184204E+04
   0.784597E-03   0.185585E+04
   0.800447E-03   0.187047E+04
   0.816617E-03   0.188589E+04
   0.833114E-03   0.190211E+04
   0.849944E-03   0.191912E+04
   0.867114E-03   0.193691E+04
   0.884631E-03   0.195550E+04
   0.902501E-03   0.197488E+04
   0.920733E-03   0.199504E+04
   0.939333E-03   0.201599E+04
   0.958309E-03   0.203773E+04
   0.977668E-03   0.206026E+04
   0.997418E-03   0.208359E+04
   0.101757E-02   0.210770E+04
   0.103812E-02   0.213261E+04
   0.105910E-02   0.215832E+04
   0.108049E-02   0.218483E+04
   0.110232E-02   0.221214E+04
   0.112459E-02   0.224026E+04
   0.114730E-02   0.226920E+04
   0.117048E-02   0.229895E+04
   0.119413E-02   0.232952E+04
   0.121825E-02   0.236092E+04
   0.124286E-02   0.239316E+04
   0.126797E-02   0.242623E+04
   0.129358E-02   0.246014E+04
   0.131971E-02   0.249491E+04
   0.134637E-02   0.253053E+04
   0.137357E-02   0.256702E+04
   0.140132E-02   0.260437E+04
   0.142963E-02   0.264260E+04
   0.145851E-02   0.268172E+04
   0.148797E-02   0.272173E+04
   0.151803E-02   0.276264E+04
   0.154870E-02   0.280446E+04
