#    L    TT             EE             TE             PP             TP          
     2   0.982560E+03   0.174523E-01  -0.304966E+00   0.658489E+06   0.336831E+05
     3   0.989708E+03   0.417815E-01   0.363921E+00   0.101728E+07   0.397306E+05
     4   0.991821E+03   0.617984E-01   0.110262E+01   0.132429E+07   0.430587E+05
     5   0.981011E+03   0.714648E-01   0.167340E+01   0.159377E+07   0.449417E+05
     6   0.961950E+03   0.704101E-01   0.206564E+01   0.183016E+07   0.459264E+05
     7   0.940181E+03   0.616389E-01   0.231446E+01   0.203893E+07   0.463362E+05
     8   0.919678E+03   0.493009E-01   0.244932E+01   0.222424E+07   0.463722E+05
     9   0.902142E+03   0.370453E-01   0.249039E+01   0.238950E+07   0.461536E+05
    10   0.887655E+03   0.271585E-01   0.245741E+01   0.253753E+07   0.457517E+05
    11   0.875784E+03   0.204284E-01   0.236944E+01   0.267051E+07   0.452207E+05
    12   0.866276E+03   0.165061E-01   0.224394E+01   0.279030E+07   0.446086E+05
    13   0.859113E+03   0.144663E-01   0.209697E+01   0.289845E+07   0.439501E+05
    14   0.854278E+03   0.133231E-01   0.194229E+01   0.299624E+07   0.432636E+05
    15   0.851587E+03   0.123554E-01   0.179262E+01   0.308483E+07   0.425578E+05
    16   0.851349E+03   0.111975E-01   0.166104E+01   0.316514E+07   0.418404E+05
    17   0.851461E+03   0.985403E-02   0.154682E+01   0.323796E+07   0.411289E+05
    18   0.849950E+03   0.843148E-02   0.144958E+01   0.330404E+07   0.404380E+05
    19   0.850976E+03   0.713658E-02   0.137870E+01   0.336399E+07   0.397615E+05
    20   0.855972E+03   0.614374E-02   0.133378E+01   0.341839E+07   0.390903E+05
    21   0.863039E+03   0.547869E-02   0.131233E+01   0.346769E+07   0.384234E+05
    22   0.869092E+03   0.513442E-02   0.130711E+01   0.351233E+07   0.377626E+05
    23   0.874231E+03   0.504927E-02   0.131733E+01   0.355271E+07   0.371110E+05
    24   0.879894E+03   0.515834E-02   0.134240E+01   0.358916E+07   0.364720E+05
    25   0.886268E+03   0.540724E-02   0.137162E+01   0.362200E+07   0.358473E+05
    26   0.892683E+03   0.576259E-02   0.140505E+01   0.365152E+07   0.352371E+05
    27   0.899485E+03   0.623986E-02   0.144287E+01   0.367794E+07   0.346381E+05
    28   0.906492E+03   0.684193E-02   0.148064E+01   0.370152E+07   0.340469E+05
    29   0.913699E+03   0.757116E-02   0.152447E+01   0.372245E+07   0.334651E+05
    30   0.921362E+03   0.842696E-02   0.156762E+01   0.374094E+07   0.328955E+05
    31   0.928823E+03   0.938845E-02   0.161555E+01   0.375715E+07   0.323413E+05
    32   0.936814E+03   0.104625E-01   0.165844E+01   0.377124E+07   0.318050E+05
    33   0.944796E+03   0.116203E-01   0.169767E+01   0.378337E+07   0.312849E+05
    34   0.952767E+03   0.128945E-01   0.173844E+01   0.379364E+07   0.307782E+05
    35   0.961409E+03   0.142633E-01   0.177310E+01   0.380222E+07   0.302819E+05
    36   0.969883E+03   0.157249E-01   0.181231E+01   0.380923E+07   0.297936E+05
    37   0.978541E+03   0.173047E-01   0.184914E+01   0.381469E+07   0.293147E+05
