#           k/h    P           
   0.100000E-03   0.158698E+03
   0.102020E-03   0.161773E+03
   0.104081E-03   0.164908E+03
   0.106184E-03   0.168103E+03
   0.108329E-03   0.171360E+03
   0.110517E-03   0.174681E+03
   0.112750E-03   0.178065E+03
   0.115027E-03   0.181515E+03
   0.117351E-03   0.185032E+03
   0.119722E-03   0.188617E+03
   0.122140E-03   0.192271E+03
   0.124608E-03   0.195996E+03
   0.127125E-03   0.199793E+03
   0.129693E-03   0.203664E+03
   0.132313E-03   0.207609E+03
   0.134986E-03   0.211631E+03
   0.137713E-03   0.215730E+03
   0.140495E-03   0.219909E+03
   0.143333E-03   0.224169E+03
   0.146228E-03   0.228511E+03
   0.149182E-03   0.232937E+03
   0.152196E-03   0.237448E+03
   0.155271E-03   0.242047E+03
   0.158407E-03   0.246734E+03
   0.161607E-03   0.251513E+03
   0.164872E-03   0.256383E+03
   0.168203E-03   0.261348E+03
   0.171601E-03   0.266408E+03
   0.175067E-03   0.271566E+03
   0.178604E-03   0.276824E+03
   0.182212E-03   0.282183E+03
   0.185893E-03   0.287646E+03
   0.189648E-03   0.293214E+03
   0.193479E-03   0.298890E+03
   0.197388E-03   0.304675E+03
   0.201375E-03   0.310572E+03
   0.205443E-03   0.316583E+03
   0.209594E-03   0.322709E+03
   0.213828E-03   0.328954E+03
   0.218147E-03   0.335319E+03
   0.222554E-03   0.341807E+03
   0.227050E-03   0.348419E+03
   0.231637E-03   0.355159E+03
   0.236316E-03   0.362028E+03
   0.241090E-03   0.369030E+03
   0.245960E-03   0.376167E+03
   0.250929E-03   0.383441E+03
   0.255998E-03   0.390856E+03
   0.261170E-03   0.398414E+03
   0.266446E-03   0.406117E+03
   0.271828E-03   0.413968E+03
   0.277319E-03   0.421968E+03
   0.282922E-03   0.430119E+03
   0.288637E-03   0.438423E+03
   0.294468E-03   0.446886E+03
   0.300417E-03   0.455514E+03
   0.306485E-03   0.464316E+03
   0.312677E-03   0.473299E+03
   0.318993E-03   0.482470E+03
   0.325437E-03   0.491833E+03
   0.332012E-03   0.501394E+03
   0.338719E-03   0.511156E+03
   0.345561E-03   0.521125E+03
   0.352542E-03   0.531303E+03
   0.359664E-03   0.541693E+03
   0.366930E-03   0.552298E+03
   0.374342E-03   0.563118E+03
   0.381904E-03   0.574156E+03
   0.389619E-03   0.585411E+03
   0.397490E-03   0.596880E+03
   0.405520E-03   0.608559E+03
   0.413712E-03   0.620442E+03
   0.422070E-03   0.632524E+03
   0.430596E-03   0.644801E+03
   0.439295E-03   0.657281E+03
   0.448169E-03   0.669973E+03
   0.457222E-03   0.682888E+03
   0.466459E-03   0.696037E+03
   0.475882E-03   0.709431E+03
   0.485496E-03   0.723073E+03
   0.495303E-03   0.736965E+03
   0.505309E-03   0.751112E+03
   0.515517E-03   0.765514E+03
   0.525931E-03   0.780174E+03
   0.536556E-03   0.795097E+03
   0.547395E-03   0.810284E+03
   0.558453E-03   0.825740E+03
   0.569734E-03   0.841468E+03
   0.581244E-03   0.857471E+03
   0.592986E-03   0.873752E+03
   0.604965E-03   0.890312E+03
   0.617186E-03   0.907154E+03
   0.629654E-03   0.924279E+03
   0.642374E-03   0.941692E+03
   0.655350E-03   0.959400E+03
   0.668589E-03   0.977412E+03
   0.682096E-03   0.995736E+03
   0.695875E-03   0.101438E+04
   0.709933E-03   0.103336E+04
   0.724274E-03   0.105264E+04
   0.738906E-03   0.107224E+04
   0.753832E-03   0.109212E+04
   0.769061E-03   0.111227E+04
   0.784597E-03   0.113269E+04
   0.800447E-03   0.115337E+04
   0.816617E-03   0.117432E+04
   0.833114E-03   0.119554E+04
   0.849944E-03   0.121704E+04
   0.867114E-03   0.123881E+04
   0.884631E-03   0.126082E+04
   0.902501E-03   0.128305E+04
   0.920733E-03   0.130546E+04
   0.939333E-03   0.132801E+04
   0.958309E-03   0.135069E+04
   0.977668E-03   0.137350E+04
   0.997418E-03   0.139645E+04
   0.101757E-02   0.141957E+04
   0.103812E-02   0.144286E+04
   0.105910E-02   0.146631E+04
   0.108049E-02   0.148984E+04
   0.110232E-02   0.151337E+04
   0.112459E-02   0.153680E+04
   0.114730E-02   0.156002E+04
   0.117048E-02   0.158292E+04
   0.119413E-02   0.160526E+04
   0.121825E-02   0.162683E+04
   0.124286E-02   0.164741E+04
   0.126797E-02   0.166674E+04
   0.129358E-02   0.168478E+04
   0.131971E-02   0.170181E+04
   0.134637E-02   0.171818E+04
   0.137357E-02   0.173424E+04
   0.140132E-02   0.175034E+04
   0.142963E-02   0.176671E+04
   0.145851E-02   0.178333E+04
   0.148797E-02   0.180016E+04
   0.151803E-02   0.181715E+04
   0.154870E-02   0.183427E+04
   0.157998E-02   0.185152E+04
   0.161190E-02   0.186899E+04
   0.164446E-02   0.188679E+04
   0.167768E-02   0.190503E+04
   0.171158E-02   0.192380E+04
   0.174615E-02   0.194304E+04
   0.178143E-02   0.196246E+04
   0.181741E-02   0.198171E+04
   0.185413E-02   0.200045E+04
   0.189158E-02   0.201832E+04
   0.192980E-02   0.203521E+04
   0.196878E-02   0.205131E+04
   0.200855E-02   0.206684E+04
   0.204913E-02   0.208204E+04
   0.209052E-02   0.209716E+04
   0.213276E-02   0.211246E+04
   0.217584E-02   0.212821E+04
   0.221979E-02   0.214471E+04
   0.226464E-02   0.216225E+04
   0.231039E-02   0.218115E+04
   0.235706E-02   0.220146E+04
   0.240467E-02   0.222298E+04
   0.245325E-02   0.224547E+04
   0.250281E-02   0.226870E+04
   0.255337E-02   0.229240E+04
   0.260495E-02   0.231637E+04
   0.265758E-02   0.234048E+04
   0.271126E-02   0.236456E+04
   0.276603E-02   0.238847E+04
   0.282191E-02   0.241204E+04
   0.287892E-02   0.243518E+04
   0.293708E-02   0.245788E+04
   0.299641E-02   0.248010E+04
   0.305694E-02   0.250183E+04
   0.311870E-02   0.252307E+04
   0.318170E-02   0.254390E+04
   0.324597E-02   0.256457E+04
   0.331155E-02   0.258530E+04
   0.337844E-02   0.260635E+04
   0.344669E-02   0.262796E+04
   0.351632E-02   0.265009E+04
   0.358735E-02   0.267246E+04
   0.365982E-02   0.269476E+04
   0.373376E-02   0.271667E+04
   0.380918E-02   0.273789E+04
   0.388613E-02   0.275818E+04
   0.396464E-02   0.277741E+04
   0.404473E-02   0.279545E+04
   0.412644E-02   0.281217E+04
   0.420980E-02   0.282744E+04
   0.429484E-02   0.284130E+04
   0.438160E-02   0.285396E+04
   0.447012E-02   0.286562E+04
   0.456042E-02   0.287646E+04
   0.465255E-02   0.288670E+04
   0.474653E-02   0.289628E+04
   0.484242E-02   0.290496E+04
   0.494024E-02   0.291252E+04
   0.504004E-02   0.291872E+04
   0.514186E-02   0.292332E+04
   0.524573E-02   0.292619E+04
   0.535170E-02   0.292728E+04
   0.545981E-02   0.292653E+04
   0.557011E-02   0.292390E+04
   0.568263E-02   0.291934E+04
   0.579743E-02   0.291277E+04
   0.591455E-02   0.290410E+04
   0.603403E-02   0.289327E+04
   0.615592E-02   0.288019E+04
   0.628028E-02   0.286480E+04
   0.640715E-02   0.284712E+04
   0.653658E-02   0.282722E+04
   0.666863E-02   0.280517E+04
   0.680335E-02   0.278105E+04
   0.694078E-02   0.275494E+04
   0.708100E-02   0.272676E+04
   0.722404E-02   0.269642E+04
   0.736998E-02   0.266379E+04
   0.751886E-02   0.262880E+04
   0.767075E-02   0.259136E+04
   0.782571E-02   0.255157E+04
   0.798380E-02   0.250955E+04
   0.814509E-02   0.246546E+04
   0.830963E-02   0.241945E+04
   0.847750E-02   0.237168E+04
   0.864875E-02   0.232223E+04
   0.882347E-02   0.227116E+04
   0.900171E-02   0.221856E+04
   0.918356E-02   0.216451E+04
   0.936908E-02   0.210911E+04
   0.955835E-02   0.205252E+04
   0.975144E-02   0.199493E+04
   0.994843E-02   0.193650E+04
   0.101494E-01   0.187742E+04
