#    L    TT             EE             TE             PP             TP          
     2   0.173166E+04   0.216705E-01   0.506335E+01   0.508505E+06  -0.429917E+05
     3   0.124469E+04   0.429804E-01   0.580111E+01   0.826537E+06  -0.371601E+05
     4   0.102901E+04   0.614402E-01   0.611118E+01   0.105346E+07  -0.311609E+05
     5   0.900863E+03   0.707450E-01   0.589661E+01   0.121020E+07  -0.261596E+05
     6   0.819145E+03   0.695121E-01   0.530412E+01   0.131378E+07  -0.220989E+05
     7   0.767337E+03   0.601751E-01   0.449926E+01   0.137718E+07  -0.188285E+05
     8   0.738236E+03   0.470142E-01   0.363515E+01   0.141016E+07  -0.162821E+05
     9   0.725758E+03   0.342402E-01   0.280124E+01   0.142017E+07  -0.143067E+05
    10   0.727007E+03   0.246985E-01   0.206576E+01   0.141276E+07  -0.127759E+05
    11   0.739031E+03   0.193974E-01   0.146207E+01   0.139254E+07  -0.115557E+05
    12   0.759145E+03   0.178082E-01   0.100425E+01   0.136227E+07  -0.105181E+05
    13   0.786850E+03   0.185494E-01   0.691651E+00   0.132520E+07  -0.957722E+04
    14   0.821195E+03   0.201413E-01   0.511958E+00   0.128275E+07  -0.875391E+04
    15   0.860414E+03   0.215962E-01   0.440343E+00   0.123697E+07  -0.801041E+04
    16   0.905378E+03   0.225446E-01   0.452473E+00   0.118886E+07  -0.729375E+04
    17   0.955580E+03   0.232942E-01   0.516660E+00   0.113941E+07  -0.659290E+04
    18   0.100972E+04   0.243076E-01   0.601884E+00   0.108956E+07  -0.590571E+04
    19   0.106847E+04   0.260861E-01   0.681969E+00   0.103983E+07  -0.522263E+04
    20   0.113012E+04   0.290182E-01   0.724692E+00   0.990622E+06  -0.453569E+04
    21   0.119519E+04   0.330811E-01   0.715740E+00   0.942343E+06  -0.385061E+04
    22   0.126349E+04   0.381220E-01   0.641361E+00   0.895340E+06  -0.317506E+04
    23   0.133433E+04   0.438076E-01   0.495676E+00   0.849782E+06  -0.251089E+04
    24   0.140778E+04   0.498256E-01   0.275819E+00   0.805791E+06  -0.185845E+04
    25   0.148384E+04   0.560987E-01  -0.213655E-01   0.763469E+06  -0.121805E+04
    26   0.156192E+04   0.626556E-01  -0.386437E+00   0.722905E+06  -0.590768E+03
    27   0.164222E+04   0.696894E-01  -0.812243E+00   0.684130E+06   0.192114E+02
    28   0.172438E+04   0.774147E-01  -0.129618E+01   0.647150E+06   0.608169E+03
    29   0.180816E+04   0.860645E-01  -0.182236E+01   0.611927E+06   0.117744E+04
    30   0.189358E+04   0.958220E-01  -0.238713E+01   0.578418E+06   0.172911E+04
