#           k/h    P           
   0.100000E-03   0.513381E+03
   0.102020E-03   0.523324E+03
   0.104081E-03   0.533459E+03
   0.106184E-03   0.543790E+03
   0.108329E-03   0.554320E+03
   0.110517E-03   0.565054E+03
   0.112750E-03   0.575996E+03
   0.115027E-03   0.587148E+03
   0.117351E-03   0.598516E+03
   0.119722E-03   0.610104E+03
   0.122140E-03   0.621915E+03
   0.124608E-03   0.633954E+03
   0.127125E-03   0.646226E+03
   0.129693E-03   0.658734E+03
   0.132313E-03   0.671484E+03
   0.134986E-03   0.684480E+03
   0.137713E-03   0.697726E+03
   0.140495E-03   0.711228E+03
   0.143333E-03   0.724990E+03
   0.146228E-03   0.739018E+03
   0.149182E-03   0.753315E+03
   0.152196E-03   0.767888E+03
   0.155271E-03   0.782742E+03
   0.158407E-03   0.797882E+03
   0.161607E-03   0.813313E+03
   0.164872E-03   0.829041E+03
   0.168203E-03   0.845072E+03
   0.171601E-03   0.861411E+03
   0.175067E-03   0.878064E+03
   0.178604E-03   0.895037E+03
   0.182212E-03   0.912337E+03
   0.185893E-03   0.929969E+03
   0.189648E-03   0.947939E+03
   0.193479E-03   0.966254E+03
   0.197388E-03   0.984921E+03
   0.201375E-03   0.100395E+04
   0.205443E-03   0.102333E+04
   0.209594E-03   0.104310E+04
   0.213828E-03   0.106324E+04
   0.218147E-03   0.108376E+04
   0.222554E-03   0.110468E+04
   0.227050E-03   0.112600E+04
   0.231637E-03   0.114772E+04
   0.236316E-03   0.116986E+04
   0.241090E-03   0.119242E+04
   0.245960E-03   0.121542E+04
   0.250929E-03   0.123885E+04
   0.255998E-03   0.126273E+04
   0.261170E-03   0.128706E+04
   0.266446E-03   0.131186E+04
   0.271828E-03   0.133713E+04
   0.277319E-03   0.136288E+04
   0.282922E-03   0.138911E+04
   0.288637E-03   0.141585E+04
   0.294468E-03   0.144309E+04
   0.300417E-03   0.147085E+04
   0.306485E-03   0.149914E+04
   0.312677E-03   0.152796E+04
   0.318993E-03   0.155732E+04
   0.325437E-03   0.158724E+04
   0.332012E-03   0.161772E+04
   0.338719E-03   0.164878E+04
   0.345561E-03   0.168042E+04
   0.352542E-03   0.171266E+04
   0.359664E-03   0.174551E+04
   0.366930E-03   0.177897E+04
   0.374342E-03   0.181305E+04
   0.381904E-03   0.184778E+04
   0.389619E-03   0.188315E+04
   0.397490E-03   0.191919E+04
   0.405520E-03   0.195589E+04
   0.413712E-03   0.199328E+04
   0.422070E-03   0.203137E+04
   0.430596E-03   0.207016E+04
   0.439295E-03   0.210968E+04
   0.448169E-03   0.214992E+04
   0.457222E-03   0.219091E+04
   0.466459E-03   0.223266E+04
   0.475882E-03   0.227517E+04
   0.485496E-03   0.231847E+04
   0.495303E-03   0.236256E+04
   0.505309E-03   0.240746E+04
   0.515517E-03   0.245319E+04
   0.525931E-03   0.249975E+04
   0.536556E-03   0.254716E+04
   0.547395E-03   0.259543E+04
   0.558453E-03   0.264458E+04
   0.569734E-03   0.269463E+04
   0.581244E-03   0.274557E+04
   0.592986E-03   0.279744E+04
   0.604965E-03   0.285025E+04
   0.617186E-03   0.290401E+04
   0.629654E-03   0.295873E+04
   0.642374E-03   0.301443E+04
   0.655350E-03   0.307113E+04
   0.668589E-03   0.312884E+04
   0.682096E-03   0.318758E+04
   0.695875E-03   0.324736E+04
   0.709933E-03   0.330821E+04
   0.724274E-03   0.337013E+04
   0.738906E-03   0.343314E+04
   0.753832E-03   0.349726E+04
   0.769061E-03   0.356251E+04
   0.784597E-03   0.362891E+04
   0.800447E-03   0.369646E+04
   0.816617E-03   0.376519E+04
   0.833114E-03   0.383512E+04
   0.849944E-03   0.390627E+04
   0.867114E-03   0.397865E+04
   0.884631E-03   0.405228E+04
   0.902501E-03   0.412717E+04
   0.920733E-03   0.420336E+04
   0.939333E-03   0.428085E+04
   0.958309E-03   0.435967E+04
   0.977668E-03   0.443983E+04
   0.997418E-03   0.452135E+04
   0.101757E-02   0.460426E+04
   0.103812E-02   0.468858E+04
   0.105910E-02   0.477431E+04
   0.108049E-02   0.486149E+04
   0.110232E-02   0.495013E+04
   0.112459E-02   0.504026E+04
   0.114730E-02   0.513188E+04
   0.117048E-02   0.522503E+04
   0.119413E-02   0.531973E+04
   0.121825E-02   0.541598E+04
   0.124286E-02   0.551382E+04
   0.126797E-02   0.561327E+04
   0.129358E-02   0.571433E+04
   0.131971E-02   0.581705E+04
   0.134637E-02   0.592142E+04
   0.137357E-02   0.602748E+04
   0.140132E-02   0.613525E+04
   0.142963E-02   0.624474E+04
   0.145851E-02   0.635597E+04
   0.148797E-02   0.646896E+04
   0.151803E-02   0.658373E+04
   0.154870E-02   0.670030E+04
   0.157998E-02   0.681868E+04
   0.161190E-02   0.693890E+04
   0.164446E-02   0.706097E+04
   0.167768E-02   0.718490E+04
   0.171158E-02   0.731072E+04
   0.174615E-02   0.743844E+04
   0.178143E-02   0.756806E+04
   0.181741E-02   0.769962E+04
   0.185413E-02   0.783312E+04
   0.189158E-02   0.796856E+04
   0.192980E-02   0.810598E+04
   0.196878E-02   0.824537E+04
   0.200855E-02   0.838674E+04
   0.204913E-02   0.853011E+04
   0.209052E-02   0.867549E+04
   0.213276E-02   0.882287E+04
   0.217584E-02   0.897228E+04
   0.221979E-02   0.912371E+04
   0.226464E-02   0.927717E+04
   0.231039E-02   0.943266E+04
   0.235706E-02   0.959019E+04
   0.240467E-02   0.974975E+04
   0.245325E-02   0.991135E+04
   0.250281E-02   0.100750E+05
   0.255337E-02   0.102406E+05
   0.260495E-02   0.104083E+05
   0.265758E-02   0.105781E+05
   0.271126E-02   0.107498E+05
   0.276603E-02   0.109235E+05
   0.282191E-02   0.110993E+05
   0.287892E-02   0.112770E+05
   0.293708E-02   0.114567E+05
   0.299641E-02   0.116383E+05
   0.305694E-02   0.118219E+05
   0.311870E-02   0.120075E+05
   0.318170E-02   0.121949E+05
   0.324597E-02   0.123842E+05
   0.331155E-02   0.125753E+05
   0.337844E-02   0.127683E+05
   0.344669E-02   0.129631E+05
   0.351632E-02   0.131596E+05
   0.358735E-02   0.133579E+05
   0.365982E-02   0.135579E+05
   0.373376E-02   0.137596E+05
   0.380918E-02   0.139628E+05
   0.388613E-02   0.141676E+05
   0.396464E-02   0.143740E+05
   0.404473E-02   0.145819E+05
   0.412644E-02   0.147911E+05
   0.420980E-02   0.150018E+05
   0.429484E-02   0.152138E+05
   0.438160E-02   0.154270E+05
   0.447012E-02   0.156414E+05
   0.456042E-02   0.158569E+05
   0.465255E-02   0.160735E+05
   0.474653E-02   0.162910E+05
   0.484242E-02   0.165094E+05
   0.494024E-02   0.167287E+05
   0.504004E-02   0.169487E+05
   0.514186E-02   0.171695E+05
   0.524573E-02   0.173908E+05
   0.535170E-02   0.176127E+05
   0.545981E-02   0.178349E+05
   0.557011E-02   0.180573E+05
   0.568263E-02   0.182799E+05
   0.579743E-02   0.185024E+05
   0.591455E-02   0.187247E+05
   0.603403E-02   0.189468E+05
   0.615592E-02   0.191686E+05
   0.628028E-02   0.193899E+05
   0.640715E-02   0.196106E+05
   0.653658E-02   0.198306E+05
   0.666863E-02   0.200497E+05
   0.680335E-02   0.202677E+05
   0.694078E-02   0.204845E+05
   0.708100E-02   0.206999E+05
   0.722404E-02   0.209137E+05
   0.736998E-02   0.211258E+05
   0.751886E-02   0.213361E+05
   0.767075E-02   0.215443E+05
   0.782571E-02   0.217504E+05
   0.798380E-02   0.219541E+05
   0.814509E-02   0.221553E+05
   0.830963E-02   0.223537E+05
   0.847750E-02   0.225491E+05
   0.864875E-02   0.227413E+05
   0.882347E-02   0.229302E+05
   0.900171E-02   0.231154E+05
   0.918356E-02   0.232967E+05
   0.936908E-02   0.234740E+05
   0.955835E-02   0.236469E+05
   0.975144E-02   0.238153E+05
   0.994843E-02   0.239788E+05
   0.101494E-01   0.241373E+05
   0.103544E-01   0.242906E+05
   0.105636E-01   0.244382E+05
   0.107770E-01   0.245801E+05
   0.109947E-01   0.247158E+05
   0.112168E-01   0.248453E+05
   0.114434E-01   0.249682E+05
   0.116746E-01   0.250842E+05
   0.119104E-01   0.251930E+05
   0.121510E-01   0.252944E+05
   0.123965E-01   0.253882E+05
   0.126469E-01   0.254739E+05
   0.129024E-01   0.255514E+05
   0.131631E-01   0.256204E+05
   0.134290E-01   0.256806E+05
   0.137003E-01   0.257316E+05
   0.139770E-01   0.257733E+05
   0.142594E-01   0.258055E+05
   0.145474E-01   0.258277E+05
   0.148413E-01   0.258397E+05
   0.151411E-01   0.258414E+05
   0.154470E-01   0.258325E+05
   0.157590E-01   0.258126E+05
   0.160774E-01   0.257817E+05
   0.164022E-01   0.257395E+05
   0.167335E-01   0.256857E+05
   0.170716E-01   0.256203E+05
   0.174164E-01   0.255431E+05
   0.177683E-01   0.254538E+05
   0.181272E-01   0.253524E+05
   0.184934E-01   0.252388E+05
   0.188670E-01   0.251129E+05
   0.192481E-01   0.249746E+05
   0.196370E-01   0.248240E+05
   0.200337E-01   0.246609E+05
   0.204384E-01   0.244855E+05
   0.208513E-01   0.242978E+05
   0.212725E-01   0.240980E+05
   0.217022E-01   0.238861E+05
   0.221406E-01   0.236623E+05
   0.225879E-01   0.234269E+05
   0.230442E-01   0.231802E+05
   0.235097E-01   0.229223E+05
   0.239847E-01   0.226538E+05
   0.244692E-01   0.223750E+05
   0.249635E-01   0.220864E+05
   0.254678E-01   0.217883E+05
   0.259823E-01   0.214814E+05
   0.265072E-01   0.211663E+05
   0.270426E-01   0.208437E+05
   0.275889E-01   0.205141E+05
