#    L    TT             EE             TE             PP             TP          
     2   0.119300E+04   0.561354E-01   0.328214E+01   0.970625E+06   0.342787E+05
     3   0.111196E+04   0.897611E-01   0.414405E+01   0.149428E+07   0.412305E+05
     4   0.103140E+04   0.981878E-01   0.427700E+01   0.195920E+07   0.445200E+05
     5   0.967614E+03   0.844793E-01   0.396650E+01   0.236986E+07   0.458456E+05
     6   0.920398E+03   0.604134E-01   0.344548E+01   0.273239E+07   0.460795E+05
     7   0.886885E+03   0.372773E-01   0.286455E+01   0.305383E+07   0.457125E+05
     8   0.863541E+03   0.211308E-01   0.231526E+01   0.333988E+07   0.449626E+05
     9   0.847963E+03   0.126202E-01   0.184668E+01   0.359555E+07   0.439408E+05
    10   0.838428E+03   0.931947E-02   0.148538E+01   0.382432E+07   0.427584E+05
    11   0.833242E+03   0.829914E-02   0.123886E+01   0.403047E+07   0.415562E+05
    12   0.832583E+03   0.766143E-02   0.110250E+01   0.421486E+07   0.403782E+05
    13   0.834168E+03   0.679143E-02   0.105161E+01   0.438188E+07   0.393045E+05
    14   0.837775E+03   0.587544E-02   0.105676E+01   0.453163E+07   0.382338E+05
    15   0.842195E+03   0.526139E-02   0.109893E+01   0.466734E+07   0.371829E+05
    16   0.848956E+03   0.509958E-02   0.116322E+01   0.478955E+07   0.361186E+05
    17   0.857831E+03   0.525872E-02   0.123332E+01   0.489960E+07   0.350699E+05
    18   0.867646E+03   0.556690E-02   0.129689E+01   0.499913E+07   0.340764E+05
    19   0.879098E+03   0.593899E-02   0.135260E+01   0.508875E+07   0.331250E+05
    20   0.890520E+03   0.632613E-02   0.139399E+01   0.516898E+07   0.321946E+05
    21   0.902578E+03   0.681800E-02   0.142976E+01   0.524084E+07   0.312850E+05
    22   0.915278E+03   0.753475E-02   0.146548E+01   0.530534E+07   0.304018E+05
    23   0.928207E+03   0.850755E-02   0.150245E+01   0.536298E+07   0.295525E+05
    24   0.941653E+03   0.974449E-02   0.154119E+01   0.541416E+07   0.287429E+05
    25   0.955719E+03   0.112195E-01   0.157908E+01   0.545941E+07   0.279701E+05
    26   0.969890E+03   0.129063E-01   0.162353E+01   0.549932E+07   0.272292E+05
    27   0.984573E+03   0.147879E-01   0.167256E+01   0.553434E+07   0.265165E+05
    28   0.999606E+03   0.168360E-01   0.171741E+01   0.556480E+07   0.258302E+05
    29   0.101492E+04   0.190665E-01   0.176113E+01   0.559080E+07   0.251744E+05
    30   0.103073E+04   0.214963E-01   0.179479E+01   0.561244E+07   0.245521E+05
    31   0.104640E+04   0.240924E-01   0.182388E+01   0.563023E+07   0.239546E+05
    32   0.106271E+04   0.268513E-01   0.183889E+01   0.564470E+07   0.233726E+05
    33   0.107914E+04   0.297709E-01   0.184036E+01   0.565605E+07   0.228034E+05
    34   0.109567E+04   0.329168E-01   0.183291E+01   0.566445E+07   0.222470E+05
    35   0.111287E+04   0.362862E-01   0.181049E+01   0.567007E+07   0.217069E+05
    36   0.112985E+04   0.398880E-01   0.178513E+01   0.567314E+07   0.211873E+05
    37   0.114713E+04   0.437370E-01   0.174787E+01   0.567383E+07   0.206935E+05
    38   0.116481E+04   0.478195E-01   0.169770E+01   0.567232E+07   0.202285E+05
    39   0.118278E+04   0.521472E-01   0.163686E+01   0.566872E+07   0.197864E+05
    40   0.120095E+04   0.567411E-01   0.156739E+01   0.566313E+07   0.193589E+05
    41   0.121923E+04   0.616177E-01   0.149087E+01   0.565568E+07   0.189395E+05
    42   0.123762E+04   0.667751E-01   0.140708E+01   0.564648E+07   0.185283E+05
    43   0.125613E+04   0.722069E-01   0.131494E+01   0.563564E+07   0.181270E+05
    44   0.127484E+04   0.779042E-01   0.121176E+01   0.562329E+07   0.177371E+05
    45   0.129380E+04   0.838557E-01   0.109454E+01   0.560955E+07   0.173604E+05
    46   0.131299E+04   0.900518E-01   0.961384E+00   0.559453E+07   0.169980E+05
    47   0.133238E+04   0.965030E-01   0.812868E+00   0.557832E+07   0.166482E+05
    48   0.135196E+04   0.103218E+00   0.650183E+00   0.556101E+07   0.163087E+05
