#           k/h    P           
   0.100000E-03   0.205723E+04
   0.102020E-03   0.209687E+04
   0.104081E-03   0.213727E+04
   0.106184E-03   0.217843E+04
   0.108329E-03   0.222037E+04
   0.110517E-03   0.226311E+04
   0.112750E-03   0.230666E+04
   0.115027E-03   0.235103E+04
   0.117351E-03   0.239624E+04
   0.119722E-03   0.244231E+04
   0.122140E-03   0.248925E+04
   0.124608E-03   0.253707E+04
   0.127125E-03   0.258580E+04
   0.129693E-03   0.263544E+04
   0.132313E-03   0.268601E+04
   0.134986E-03   0.273754E+04
   0.137713E-03   0.279003E+04
   0.140495E-03   0.284350E+04
   0.143333E-03   0.289798E+04
   0.146228E-03   0.295347E+04
   0.149182E-03   0.301000E+04
   0.152196E-03   0.306758E+04
   0.155271E-03   0.312623E+04
   0.158407E-03   0.318597E+04
   0.161607E-03   0.324682E+04
   0.164872E-03   0.330879E+04
   0.168203E-03   0.337191E+04
   0.171601E-03   0.343619E+04
   0.175067E-03   0.350165E+04
   0.178604E-03   0.356832E+04
   0.182212E-03   0.363620E+04
   0.185893E-03   0.370533E+04
   0.189648E-03   0.377572E+04
   0.193479E-03   0.384739E+04
   0.197388E-03   0.392036E+04
   0.201375E-03   0.399465E+04
   0.205443E-03   0.407028E+04
   0.209594E-03   0.414727E+04
   0.213828E-03   0.422565E+04
   0.218147E-03   0.430543E+04
   0.222554E-03   0.438664E+04
   0.227050E-03   0.446929E+04
   0.231637E-03   0.455340E+04
   0.236316E-03   0.463901E+04
   0.241090E-03   0.472612E+04
   0.245960E-03   0.481476E+04
   0.250929E-03   0.490496E+04
   0.255998E-03   0.499672E+04
   0.261170E-03   0.509008E+04
   0.266446E-03   0.518505E+04
   0.271828E-03   0.528166E+04
   0.277319E-03   0.537992E+04
   0.282922E-03   0.547986E+04
   0.288637E-03   0.558150E+04
   0.294468E-03   0.568486E+04
   0.300417E-03   0.578997E+04
   0.306485E-03   0.589683E+04
   0.312677E-03   0.600547E+04
   0.318993E-03   0.611591E+04
   0.325437E-03   0.622818E+04
   0.332012E-03   0.634229E+04
   0.338719E-03   0.645825E+04
   0.345561E-03   0.657610E+04
   0.352542E-03   0.669585E+04
   0.359664E-03   0.681752E+04
   0.366930E-03   0.694113E+04
   0.374342E-03   0.706670E+04
   0.381904E-03   0.719424E+04
   0.389619E-03   0.732377E+04
   0.397490E-03   0.745532E+04
   0.405520E-03   0.758889E+04
   0.413712E-03   0.772451E+04
   0.422070E-03   0.786219E+04
   0.430596E-03   0.800196E+04
   0.439295E-03   0.814382E+04
   0.448169E-03   0.828779E+04
   0.457222E-03   0.843389E+04
   0.466459E-03   0.858214E+04
   0.475882E-03   0.873254E+04
   0.485496E-03   0.888512E+04
   0.495303E-03   0.903989E+04
   0.505309E-03   0.919687E+04
   0.515517E-03   0.935607E+04
   0.525931E-03   0.951750E+04
   0.536556E-03   0.968118E+04
   0.547395E-03   0.984713E+04
   0.558453E-03   0.100154E+05
   0.569734E-03   0.101859E+05
   0.581244E-03   0.103587E+05
   0.592986E-03   0.105339E+05
   0.604965E-03   0.107113E+05
   0.617186E-03   0.108912E+05
   0.629654E-03   0.110734E+05
   0.642374E-03   0.112579E+05
   0.655350E-03   0.114449E+05
   0.668589E-03   0.116343E+05
   0.682096E-03   0.118261E+05
   0.695875E-03   0.120203E+05
   0.709933E-03   0.122170E+05
   0.724274E-03   0.124162E+05
   0.738906E-03   0.126178E+05
   0.753832E-03   0.128219E+05
   0.769061E-03   0.130285E+05
   0.784597E-03   0.132377E+05
   0.800447E-03   0.134493E+05
   0.816617E-03   0.136635E+05
   0.833114E-03   0.138803E+05
   0.849944E-03   0.140996E+05
   0.867114E-03   0.143214E+05
   0.884631E-03   0.145459E+05
   0.902501E-03   0.147729E+05
   0.920733E-03   0.150025E+05
   0.939333E-03   0.152347E+05
   0.958309E-03   0.154695E+05
   0.977668E-03   0.157069E+05
   0.997418E-03   0.159468E+05
   0.101757E-02   0.161894E+05
   0.103812E-02   0.164345E+05
   0.105910E-02   0.166821E+05
   0.108049E-02   0.169323E+05
   0.110232E-02   0.171850E+05
   0.112459E-02   0.174403E+05
   0.114730E-02   0.176980E+05
   0.117048E-02   0.179581E+05
   0.119413E-02   0.182207E+05
   0.121825E-02   0.184857E+05
   0.124286E-02   0.187531E+05
   0.126797E-02   0.190227E+05
   0.129358E-02   0.192947E+05
   0.131971E-02   0.195689E+05
   0.134637E-02   0.198452E+05
   0.137357E-02   0.201236E+05
   0.140132E-02   0.204041E+05
   0.142963E-02   0.206866E+05
   0.145851E-02   0.209709E+05
   0.148797E-02   0.212571E+05
   0.151803E-02   0.215451E+05
   0.154870E-02   0.218347E+05
   0.157998E-02   0.221260E+05
   0.161190E-02   0.224187E+05
   0.164446E-02   0.227128E+05
   0.167768E-02   0.230083E+05
   0.171158E-02   0.233049E+05
   0.174615E-02   0.236027E+05
   0.178143E-02   0.239014E+05
   0.181741E-02   0.242010E+05
   0.185413E-02   0.245013E+05
   0.189158E-02   0.248023E+05
   0.192980E-02   0.251039E+05
   0.196878E-02   0.254057E+05
   0.200855E-02   0.257079E+05
   0.204913E-02   0.260101E+05
   0.209052E-02   0.263123E+05
   0.213276E-02   0.266143E+05
   0.217584E-02   0.269159E+05
   0.221979E-02   0.272171E+05
   0.226464E-02   0.275176E+05
   0.231039E-02   0.278173E+05
   0.235706E-02   0.281159E+05
   0.240467E-02   0.284135E+05
   0.245325E-02   0.287097E+05
   0.250281E-02   0.290044E+05
   0.255337E-02   0.292974E+05
   0.260495E-02   0.295886E+05
   0.265758E-02   0.298777E+05
   0.271126E-02   0.301646E+05
   0.276603E-02   0.304490E+05
   0.282191E-02   0.307308E+05
   0.287892E-02   0.310098E+05
   0.293708E-02   0.312857E+05
   0.299641E-02   0.315584E+05
   0.305694E-02   0.318277E+05
   0.311870E-02   0.320934E+05
   0.318170E-02   0.323553E+05
   0.324597E-02   0.326131E+05
   0.331155E-02   0.328665E+05
   0.337844E-02   0.331153E+05
   0.344669E-02   0.333592E+05
   0.351632E-02   0.335981E+05
   0.358735E-02   0.338319E+05
   0.365982E-02   0.340604E+05
   0.373376E-02   0.342835E+05
   0.380918E-02   0.345010E+05
   0.388613E-02   0.347127E+05
   0.396464E-02   0.349182E+05
   0.404473E-02   0.351169E+05
   0.412644E-02   0.353084E+05
   0.420980E-02   0.354924E+05
   0.429484E-02   0.356685E+05
   0.438160E-02   0.358366E+05
   0.447012E-02   0.359965E+05
   0.456042E-02   0.361480E+05
   0.465255E-02   0.362909E+05
   0.474653E-02   0.364250E+05
   0.484242E-02   0.365501E+05
   0.494024E-02   0.366661E+05
   0.504004E-02   0.367727E+05
   0.514186E-02   0.368699E+05
   0.524573E-02   0.369572E+05
   0.535170E-02   0.370345E+05
   0.545981E-02   0.371015E+05
   0.557011E-02   0.371579E+05
   0.568263E-02   0.372034E+05
   0.579743E-02   0.372378E+05
   0.591455E-02   0.372608E+05
   0.603403E-02   0.372722E+05
   0.615592E-02   0.372716E+05
   0.628028E-02   0.372588E+05
   0.640715E-02   0.372336E+05
   0.653658E-02   0.371957E+05
   0.666863E-02   0.371449E+05
   0.680335E-02   0.370809E+05
   0.694078E-02   0.370036E+05
   0.708100E-02   0.369127E+05
   0.722404E-02   0.368079E+05
   0.736998E-02   0.366892E+05
   0.751886E-02   0.365562E+05
   0.767075E-02   0.364090E+05
   0.782571E-02   0.362471E+05
   0.798380E-02   0.360704E+05
   0.814509E-02   0.358786E+05
   0.830963E-02   0.356716E+05
   0.847750E-02   0.354491E+05
   0.864875E-02   0.352111E+05
   0.882347E-02   0.349573E+05
   0.900171E-02   0.346877E+05
   0.918356E-02   0.344022E+05
   0.936908E-02   0.341007E+05
   0.955835E-02   0.337831E+05
   0.975144E-02   0.334492E+05
   0.994843E-02   0.330991E+05
   0.101494E-01   0.327326E+05
   0.103544E-01   0.323497E+05
   0.105636E-01   0.319505E+05
   0.107770E-01   0.315349E+05
   0.109947E-01   0.311031E+05
   0.112168E-01   0.306551E+05
   0.114434E-01   0.301912E+05
   0.116746E-01   0.297114E+05
   0.119104E-01   0.292159E+05
   0.121510E-01   0.287049E+05
   0.123965E-01   0.281787E+05
   0.126469E-01   0.276378E+05
   0.129024E-01   0.270823E+05
   0.131631E-01   0.265127E+05
   0.134290E-01   0.259295E+05
   0.137003E-01   0.253332E+05
   0.139770E-01   0.247245E+05
   0.142594E-01   0.241040E+05
   0.145474E-01   0.234722E+05
   0.148413E-01   0.228300E+05
   0.151411E-01   0.221783E+05
   0.154470E-01   0.215178E+05
   0.157590E-01   0.208497E+05
   0.160774E-01   0.201748E+05
   0.164022E-01   0.194942E+05
   0.167335E-01   0.188092E+05
   0.170716E-01   0.181210E+05
   0.174164E-01   0.174308E+05
   0.177683E-01   0.167399E+05
   0.181272E-01   0.160498E+05
   0.184934E-01   0.153618E+05
   0.188670E-01   0.146773E+05
   0.192481E-01   0.139981E+05
   0.196370E-01   0.133255E+05
   0.200337E-01   0.126612E+05
   0.204384E-01   0.120067E+05
   0.208513E-01   0.113635E+05
   0.212725E-01   0.107331E+05
   0.217022E-01   0.101171E+05
   0.221406E-01   0.951669E+04
   0.225879E-01   0.893323E+04
   0.230442E-01   0.836801E+04
   0.235097E-01   0.782273E+04
   0.239847E-01   0.729877E+04
   0.244692E-01   0.679722E+04
   0.249635E-01   0.631883E+04
   0.254678E-01   0.586428E+04
   0.259823E-01   0.543432E+04
   0.265072E-01   0.502934E+04
   0.270426E-01   0.464940E+04
   0.275889E-01   0.429425E+04
   0.281463E-01   0.396375E+04
   0.287149E-01   0.365815E+04
   0.292949E-01   0.337732E+04
   0.298867E-01   0.312073E+04
   0.304905E-01   0.288755E+04
   0.311064E-01   0.267708E+04
   0.317348E-01   0.248894E+04
   0.323759E-01   0.232253E+04
   0.330299E-01   0.217706E+04
   0.336972E-01   0.205171E+04
   0.343779E-01   0.194550E+04
   0.350724E-01   0.185729E+04
   0.357809E-01   0.178617E+04
   0.365038E-01   0.173148E+04
   0.372412E-01   0.169284E+04
   0.379935E-01   0.166925E+04
   0.387610E-01   0.165929E+04
   0.395440E-01   0.166187E+04
   0.403429E-01   0.167616E+04
   0.411579E-01   0.170154E+04
   0.419893E-01   0.173737E+04
   0.428375E-01   0.178313E+04
   0.437029E-01   0.183833E+04
   0.445858E-01   0.190206E+04
   0.454865E-01   0.197216E+04
   0.464053E-01   0.204599E+04
   0.473428E-01   0.212046E+04
   0.482992E-01   0.219245E+04
   0.492749E-01   0.225892E+04
   0.502703E-01   0.231655E+04
   0.512858E-01   0.236207E+04
   0.523219E-01   0.239291E+04
   0.533789E-01   0.240689E+04
   0.544572E-01   0.240207E+04
   0.555573E-01   0.237698E+04
   0.566796E-01   0.233070E+04
   0.578246E-01   0.226293E+04
   0.589927E-01   0.217405E+04
   0.601845E-01   0.206514E+04
   0.614003E-01   0.193824E+04
   0.626407E-01   0.179652E+04
   0.639061E-01   0.164382E+04
   0.651971E-01   0.148489E+04
   0.665142E-01   0.132564E+04
   0.678578E-01   0.117097E+04
   0.692287E-01   0.102404E+04
   0.706272E-01   0.886769E+03
   0.720539E-01   0.761955E+03
   0.735095E-01   0.653839E+03
   0.749945E-01   0.564274E+03
   0.765095E-01   0.492967E+03
   0.780551E-01   0.438452E+03
   0.796319E-01   0.399210E+03
   0.812406E-01   0.373699E+03
   0.828817E-01   0.360860E+03
   0.845561E-01   0.360139E+03
