#    L    TT             EE             TE             PP             TP          
     2   0.221139E+04   0.112620E+00   0.321311E+01   0.575115E+06   0.521240E+05
     3   0.189780E+04   0.115042E+00   0.440367E+01   0.878830E+06   0.605942E+05
     4   0.163747E+04   0.758956E-01   0.437776E+01   0.114320E+07   0.633787E+05
     5   0.144623E+04   0.395094E-01   0.368947E+01   0.137023E+07   0.633837E+05
     6   0.131135E+04   0.201686E-01   0.282631E+01   0.156419E+07   0.620915E+05
     7   0.121667E+04   0.127368E-01   0.207377E+01   0.173008E+07   0.602315E+05
     8   0.114901E+04   0.952859E-02   0.154911E+01   0.187210E+07   0.580824E+05
     9   0.110136E+04   0.710420E-02   0.124093E+01   0.199388E+07   0.557842E+05
    10   0.106879E+04   0.509875E-02   0.108487E+01   0.209806E+07   0.534524E+05
    11   0.104710E+04   0.373664E-02   0.101343E+01   0.218755E+07   0.512026E+05
    12   0.103432E+04   0.293589E-02   0.979956E+00   0.226339E+07   0.490335E+05
    13   0.102908E+04   0.248131E-02   0.965912E+00   0.232834E+07   0.469965E+05
    14   0.102903E+04   0.225039E-02   0.954858E+00   0.238279E+07   0.450319E+05
    15   0.103248E+04   0.222005E-02   0.936290E+00   0.242876E+07   0.431852E+05
    16   0.104018E+04   0.240031E-02   0.925125E+00   0.246679E+07   0.414240E+05
    17   0.105173E+04   0.275507E-02   0.931151E+00   0.249783E+07   0.397458E+05
    18   0.106595E+04   0.324109E-02   0.960673E+00   0.252292E+07   0.381605E+05
    19   0.108337E+04   0.384578E-02   0.101167E+01   0.254255E+07   0.366632E+05
    20   0.110212E+04   0.454450E-02   0.106884E+01   0.255714E+07   0.352476E+05
    21   0.112274E+04   0.531392E-02   0.111894E+01   0.256733E+07   0.339174E+05
    22   0.114511E+04   0.615483E-02   0.114923E+01   0.257374E+07   0.326741E+05
    23   0.116861E+04   0.709081E-02   0.117034E+01   0.257671E+07   0.314995E+05
    24   0.119335E+04   0.815251E-02   0.119495E+01   0.257652E+07   0.303747E+05
    25   0.121949E+04   0.934537E-02   0.121592E+01   0.257352E+07   0.292976E+05
    26   0.124657E+04   0.106758E-01   0.123364E+01   0.256803E+07   0.282710E+05
    27   0.127489E+04   0.121547E-01   0.124541E+01   0.256034E+07   0.273011E+05
    28   0.130415E+04   0.137717E-01   0.124389E+01   0.255065E+07   0.263913E+05
    29   0.133426E+04   0.155245E-01   0.123554E+01   0.253906E+07   0.255326E+05
    30   0.136538E+04   0.174165E-01   0.121535E+01   0.252566E+07   0.247145E+05
    31   0.139684E+04   0.194551E-01   0.119285E+01   0.251072E+07   0.239334E+05
    32   0.142936E+04   0.216777E-01   0.116159E+01   0.249450E+07   0.231875E+05
    33   0.146234E+04   0.240686E-01   0.112124E+01   0.247714E+07   0.224729E+05
    34   0.149573E+04   0.266649E-01   0.107413E+01   0.245871E+07   0.217869E+05
    35   0.153017E+04   0.294310E-01   0.101014E+01   0.243934E+07   0.211305E+05
    36   0.156482E+04   0.323514E-01   0.938480E+00   0.241912E+07   0.205052E+05
    37   0.160014E+04   0.354520E-01   0.854367E+00   0.239817E+07   0.199091E+05
    38   0.163611E+04   0.387356E-01   0.761125E+00   0.237656E+07   0.193395E+05
    39   0.167262E+04   0.422150E-01   0.659025E+00   0.235436E+07   0.187937E+05
    40   0.170954E+04   0.459085E-01   0.546550E+00   0.233162E+07   0.182685E+05
    41   0.174678E+04   0.498315E-01   0.422634E+00   0.230841E+07   0.177617E+05
    42   0.178432E+04   0.539863E-01   0.287939E+00   0.228478E+07   0.172729E+05
    43   0.182218E+04   0.583723E-01   0.143160E+00   0.226079E+07   0.168025E+05
    44   0.186040E+04   0.629864E-01  -0.126115E-01   0.223650E+07   0.163506E+05
    45   0.189903E+04   0.678228E-01  -0.180590E+00   0.221195E+07   0.159174E+05
    46   0.193804E+04   0.728760E-01  -0.361430E+00   0.218722E+07   0.155031E+05
    47   0.197740E+04   0.781533E-01  -0.555408E+00   0.216232E+07   0.151065E+05
    48   0.201706E+04   0.836581E-01  -0.762724E+00   0.213730E+07   0.147265E+05
    49   0.205700E+04   0.893933E-01  -0.983506E+00   0.211219E+07   0.143617E+05
    50   0.209725E+04   0.953728E-01  -0.121774E+01   0.208703E+07   0.140109E+05
    51   0.213787E+04   0.101609E+00  -0.146524E+01   0.206184E+07   0.136731E+05
    52   0.217879E+04   0.108104E+00  -0.172536E+01   0.203666E+07   0.133474E+05
    53   0.221993E+04   0.114855E+00  -0.199754E+01   0.201149E+07   0.130332E+05
    54   0.226127E+04   0.121857E+00  -0.228207E+01   0.198637E+07   0.127301E+05
    55   0.230280E+04   0.129110E+00  -0.257961E+01   0.196130E+07   0.124374E+05
    56   0.234461E+04   0.136607E+00  -0.289137E+01   0.193632E+07   0.121546E+05
    57   0.238680E+04   0.144346E+00  -0.321815E+01   0.191142E+07   0.118815E+05
    58   0.242932E+04   0.152329E+00  -0.355996E+01   0.188663E+07   0.116180E+05
    59   0.247207E+04   0.160558E+00  -0.391652E+01   0.186195E+07   0.113640E+05
    60   0.251502E+04   0.169027E+00  -0.428713E+01   0.183739E+07   0.111193E+05
    61   0.255816E+04   0.177735E+00  -0.467115E+01   0.181296E+07   0.108837E+05
    62   0.260152E+04   0.186679E+00  -0.506847E+01   0.178869E+07   0.106566E+05
    63   0.264509E+04   0.195863E+00  -0.547910E+01   0.176457E+07   0.104370E+05
    64   0.268890E+04   0.205288E+00  -0.590309E+01   0.174063E+07   0.102241E+05
    65   0.273296E+04   0.214958E+00  -0.634050E+01   0.171688E+07   0.100170E+05
    66   0.277733E+04   0.224868E+00  -0.679149E+01   0.169334E+07   0.981513E+04
    67   0.282195E+04   0.235014E+00  -0.725559E+01   0.167000E+07   0.961819E+04
    68   0.286678E+04   0.245387E+00  -0.773220E+01   0.164689E+07   0.942619E+04
    69   0.291175E+04   0.255981E+00  -0.822074E+01   0.162399E+07   0.923911E+04
    70   0.295682E+04   0.266790E+00  -0.872082E+01   0.160132E+07   0.905690E+04
    71   0.300194E+04   0.277812E+00  -0.923235E+01   0.157887E+07   0.887961E+04
    72   0.304726E+04   0.289045E+00  -0.975625E+01   0.155666E+07   0.870748E+04
    73   0.309291E+04   0.300486E+00  -0.102935E+02   0.153468E+07   0.854083E+04
    74   0.313893E+04   0.312128E+00  -0.108439E+02   0.151292E+07   0.837998E+04
    75   0.318535E+04   0.323961E+00  -0.114071E+02   0.149138E+07   0.822524E+04
    76   0.323214E+04   0.335975E+00  -0.119826E+02   0.147008E+07   0.807675E+04
    77   0.327913E+04   0.348164E+00  -0.125687E+02   0.144900E+07   0.793397E+04
    78   0.332626E+04   0.360522E+00  -0.131650E+02   0.142816E+07   0.779618E+04
