#           k/h    P           
   0.100000E-03   0.414589E+03
   0.102020E-03   0.422614E+03
   0.104081E-03   0.430795E+03
   0.106184E-03   0.439134E+03
   0.108329E-03   0.447633E+03
   0.110517E-03   0.456296E+03
   0.112750E-03   0.465127E+03
   0.115027E-03   0.474128E+03
   0.117351E-03   0.483302E+03
   0.119722E-03   0.492653E+03
   0.122140E-03   0.502184E+03
   0.124608E-03   0.511899E+03
   0.127125E-03   0.521801E+03
   0.129693E-03   0.531894E+03
   0.132313E-03   0.542181E+03
   0.134986E-03   0.552666E+03
   0.137713E-03   0.563353E+03
   0.140495E-03   0.574245E+03
   0.143333E-03   0.585346E+03
   0.146228E-03   0.596661E+03
   0.149182E-03   0.608194E+03
   0.152196E-03   0.619948E+03
   0.155271E-03   0.631927E+03
   0.158407E-03   0.644137E+03
   0.161607E-03   0.656581E+03
   0.164872E-03   0.669263E+03
   0.168203E-03   0.682189E+03
   0.171601E-03   0.695362E+03
   0.175067E-03   0.708787E+03
   0.178604E-03   0.722470E+03
   0.182212E-03   0.736414E+03
   0.185893E-03   0.750625E+03
   0.189648E-03   0.765108E+03
   0.193479E-03   0.779868E+03
   0.197388E-03   0.794909E+03
   0.201375E-03   0.810237E+03
   0.205443E-03   0.825857E+03
   0.209594E-03   0.841776E+03
   0.213828E-03   0.857997E+03
   0.218147E-03   0.874527E+03
   0.222554E-03   0.891372E+03
   0.227050E-03   0.908536E+03
   0.231637E-03   0.926027E+03
   0.236316E-03   0.943850E+03
   0.241090E-03   0.962010E+03
   0.245960E-03   0.980515E+03
   0.250929E-03   0.999370E+03
   0.255998E-03   0.101858E+04
   0.261170E-03   0.103816E+04
   0.266446E-03   0.105810E+04
   0.271828E-03   0.107842E+04
   0.277319E-03   0.109912E+04
   0.282922E-03   0.112022E+04
   0.288637E-03   0.114170E+04
   0.294468E-03   0.116360E+04
   0.300417E-03   0.118590E+04
   0.306485E-03   0.120862E+04
   0.312677E-03   0.123177E+04
   0.318993E-03   0.125535E+04
   0.325437E-03   0.127937E+04
   0.332012E-03   0.130383E+04
   0.338719E-03   0.132876E+04
   0.345561E-03   0.135414E+04
   0.352542E-03   0.138000E+04
   0.359664E-03   0.140634E+04
   0.366930E-03   0.143316E+04
   0.374342E-03   0.146048E+04
   0.381904E-03   0.148830E+04
   0.389619E-03   0.151664E+04
   0.397490E-03   0.154550E+04
   0.405520E-03   0.157488E+04
   0.413712E-03   0.160481E+04
   0.422070E-03   0.163528E+04
   0.430596E-03   0.166631E+04
   0.439295E-03   0.169791E+04
   0.448169E-03   0.173008E+04
   0.457222E-03   0.176283E+04
   0.466459E-03   0.179618E+04
   0.475882E-03   0.183013E+04
   0.485496E-03   0.186469E+04
   0.495303E-03   0.189988E+04
   0.505309E-03   0.193570E+04
   0.515517E-03   0.197216E+04
   0.525931E-03   0.200928E+04
   0.536556E-03   0.204706E+04
   0.547395E-03   0.208551E+04
   0.558453E-03   0.212465E+04
   0.569734E-03   0.216449E+04
   0.581244E-03   0.220503E+04
   0.592986E-03   0.224628E+04
   0.604965E-03   0.228827E+04
   0.617186E-03   0.233099E+04
   0.629654E-03   0.237447E+04
   0.642374E-03   0.241871E+04
   0.655350E-03   0.246373E+04
   0.668589E-03   0.250953E+04
   0.682096E-03   0.255613E+04
   0.695875E-03   0.260354E+04
   0.709933E-03   0.265178E+04
   0.724274E-03   0.270086E+04
   0.738906E-03   0.275079E+04
   0.753832E-03   0.280158E+04
   0.769061E-03   0.285325E+04
   0.784597E-03   0.290581E+04
   0.800447E-03   0.295927E+04
   0.816617E-03   0.301366E+04
   0.833114E-03   0.306898E+04
   0.849944E-03   0.312525E+04
   0.867114E-03   0.318248E+04
   0.884631E-03   0.324070E+04
   0.902501E-03   0.329991E+04
   0.920733E-03   0.336013E+04
   0.939333E-03   0.342138E+04
   0.958309E-03   0.348368E+04
   0.977668E-03   0.354703E+04
