#    L    TT             EE             TE             PP             TP          
     2   0.112652E+04   0.522292E-01   0.322951E+01   0.988856E+06   0.313451E+05
     3   0.106561E+04   0.861526E-01   0.403279E+01   0.151905E+07   0.383639E+05
     4   0.999733E+03   0.973764E-01   0.417635E+01   0.198939E+07   0.419472E+05
     5   0.945619E+03   0.867805E-01   0.391359E+01   0.240500E+07   0.436182E+05
     6   0.904663E+03   0.644449E-01   0.344975E+01   0.277227E+07   0.441996E+05
     7   0.875253E+03   0.412584E-01   0.291673E+01   0.309835E+07   0.441593E+05
     8   0.854531E+03   0.239357E-01   0.239886E+01   0.338896E+07   0.436929E+05
     9   0.840528E+03   0.140849E-01   0.194670E+01   0.364916E+07   0.429057E+05
    10   0.831976E+03   0.992972E-02   0.158531E+01   0.388243E+07   0.419307E+05
    11   0.827517E+03   0.865393E-02   0.132443E+01   0.409305E+07   0.409285E+05
    12   0.827403E+03   0.810399E-02   0.116413E+01   0.428187E+07   0.399354E+05
    13   0.829230E+03   0.735498E-02   0.108738E+01   0.445329E+07   0.390127E+05
    14   0.832841E+03   0.641901E-02   0.107570E+01   0.460741E+07   0.380582E+05
    15   0.837185E+03   0.565100E-02   0.110933E+01   0.474745E+07   0.371119E+05
    16   0.843857E+03   0.533050E-02   0.116868E+01   0.487393E+07   0.361636E+05
    17   0.852592E+03   0.539956E-02   0.123658E+01   0.498822E+07   0.352323E+05
    18   0.862163E+03   0.571883E-02   0.130120E+01   0.509192E+07   0.343417E+05
    19   0.873273E+03   0.615661E-02   0.136296E+01   0.518567E+07   0.334745E+05
    20   0.884273E+03   0.660215E-02   0.141565E+01   0.526997E+07   0.326111E+05
    21   0.895878E+03   0.710141E-02   0.146130E+01   0.534583E+07   0.317649E+05
    22   0.908130E+03   0.775300E-02   0.149940E+01   0.541428E+07   0.309527E+05
    23   0.920585E+03   0.863724E-02   0.153448E+01   0.547580E+07   0.301713E+05
    24   0.933501E+03   0.981364E-02   0.157142E+01   0.553078E+07   0.294137E+05
    25   0.946992E+03   0.112460E-01   0.160716E+01   0.557978E+07   0.286788E+05
    26   0.960562E+03   0.128914E-01   0.164813E+01   0.562337E+07   0.279679E+05
    27   0.974623E+03   0.147518E-01   0.169398E+01   0.566200E+07   0.272856E+05
    28   0.989012E+03   0.168151E-01   0.173771E+01   0.569601E+07   0.266360E+05
    29   0.100366E+04   0.190684E-01   0.178183E+01   0.572548E+07   0.260166E+05
    30   0.101878E+04   0.215018E-01   0.181660E+01   0.575052E+07   0.254224E+05
    31   0.103372E+04   0.241084E-01   0.184767E+01   0.577163E+07   0.248442E+05
    32   0.104927E+04   0.269126E-01   0.186622E+01   0.578935E+07   0.242747E+05
    33   0.106490E+04   0.298924E-01   0.187448E+01   0.580389E+07   0.237190E+05
    34   0.108061E+04   0.330840E-01   0.187753E+01   0.581539E+07   0.231839E+05
    35   0.109701E+04   0.364650E-01   0.186376E+01   0.582406E+07   0.226711E+05
    36   0.111319E+04   0.400399E-01   0.184033E+01   0.583011E+07   0.221801E+05
    37   0.112965E+04   0.438701E-01   0.180235E+01   0.583371E+07   0.217076E+05
    38   0.114648E+04   0.479844E-01   0.175378E+01   0.583504E+07   0.212497E+05
