#           k/h    P           
   0.100000E-03   0.414678E+03
   0.102020E-03   0.422764E+03
   0.104081E-03   0.431007E+03
   0.106184E-03   0.439410E+03
   0.108329E-03   0.447977E+03
   0.110517E-03   0.456711E+03
   0.112750E-03   0.465615E+03
   0.115027E-03   0.474693E+03
   0.117351E-03   0.483947E+03
   0.119722E-03   0.493381E+03
   0.122140E-03   0.502999E+03
   0.124608E-03   0.512804E+03
   0.127125E-03   0.522799E+03
   0.129693E-03   0.532990E+03
   0.132313E-03   0.543378E+03
   0.134986E-03   0.553969E+03
   0.137713E-03   0.564765E+03
   0.140495E-03   0.575772E+03
   0.143333E-03   0.586992E+03
   0.146228E-03   0.598431E+03
   0.149182E-03   0.610092E+03
   0.152196E-03   0.621980E+03
   0.155271E-03   0.634099E+03
   0.158407E-03   0.646453E+03
   0.161607E-03   0.659048E+03
   0.164872E-03   0.671887E+03
   0.168203E-03   0.684975E+03
   0.171601E-03   0.698318E+03
   0.175067E-03   0.711919E+03
   0.178604E-03   0.725785E+03
   0.182212E-03   0.739920E+03
   0.185893E-03   0.754329E+03
   0.189648E-03   0.769018E+03
   0.193479E-03   0.783991E+03
   0.197388E-03   0.799255E+03
   0.201375E-03   0.814815E+03
   0.205443E-03   0.830676E+03
   0.209594E-03   0.846845E+03
   0.213828E-03   0.863327E+03
   0.218147E-03   0.880128E+03
   0.222554E-03   0.897255E+03
   0.227050E-03   0.914713E+03
   0.231637E-03   0.932508E+03
   0.236316E-03   0.950648E+03
   0.241090E-03   0.969139E+03
   0.245960E-03   0.987988E+03
   0.250929E-03   0.100720E+04
   0.255998E-03   0.102678E+04
   0.261170E-03   0.104675E+04
   0.266446E-03   0.106709E+04
   0.271828E-03   0.108783E+04
   0.277319E-03   0.110897E+04
   0.282922E-03   0.113052E+04
   0.288637E-03   0.115248E+04
   0.294468E-03   0.117487E+04
   0.300417E-03   0.119768E+04
   0.306485E-03   0.122094E+04
   0.312677E-03   0.124464E+04
   0.318993E-03   0.126880E+04
   0.325437E-03   0.129342E+04
   0.332012E-03   0.131851E+04
   0.338719E-03   0.134409E+04
   0.345561E-03   0.137015E+04
   0.352542E-03   0.139672E+04
   0.359664E-03   0.142379E+04
   0.366930E-03   0.145139E+04
   0.374342E-03   0.147951E+04
   0.381904E-03   0.150816E+04
   0.389619E-03   0.153737E+04
   0.397490E-03   0.156713E+04
   0.405520E-03   0.159746E+04
   0.413712E-03   0.162836E+04
   0.422070E-03   0.165986E+04
   0.430596E-03   0.169195E+04
   0.439295E-03   0.172465E+04
   0.448169E-03   0.175798E+04
   0.457222E-03   0.179193E+04
   0.466459E-03   0.182653E+04
   0.475882E-03   0.186178E+04
   0.485496E-03   0.189770E+04
   0.495303E-03   0.193430E+04
   0.505309E-03   0.197159E+04
   0.515517E-03   0.200958E+04
   0.525931E-03   0.204828E+04
   0.536556E-03   0.208771E+04
   0.547395E-03   0.212789E+04
   0.558453E-03   0.216881E+04
   0.569734E-03   0.221050E+04
   0.581244E-03   0.225297E+04
   0.592986E-03   0.229624E+04
   0.604965E-03   0.234030E+04
   0.617186E-03   0.238519E+04
   0.629654E-03   0.243092E+04
   0.642374E-03   0.247749E+04
   0.655350E-03   0.252493E+04
   0.668589E-03   0.257324E+04
   0.682096E-03   0.262245E+04
   0.695875E-03   0.267256E+04
   0.709933E-03   0.272359E+04
   0.724274E-03   0.277556E+04
   0.738906E-03   0.282849E+04
   0.753832E-03   0.288238E+04
   0.769061E-03   0.293726E+04
   0.784597E-03   0.299314E+04
   0.800447E-03   0.305004E+04
   0.816617E-03   0.310796E+04
   0.833114E-03   0.316694E+04
   0.849944E-03   0.322698E+04
   0.867114E-03   0.328811E+04
   0.884631E-03   0.335034E+04
   0.902501E-03   0.341368E+04
   0.920733E-03   0.347816E+04
   0.939333E-03   0.354379E+04
   0.958309E-03   0.361059E+04
   0.977668E-03   0.367858E+04
   0.997418E-03   0.374777E+04
   0.101757E-02   0.381819E+04
   0.103812E-02   0.388984E+04
   0.105910E-02   0.396276E+04
   0.108049E-02   0.403695E+04
   0.110232E-02   0.411244E+04
   0.112459E-02   0.418924E+04
   0.114730E-02   0.426738E+04
   0.117048E-02   0.434686E+04
   0.119413E-02   0.442772E+04
   0.121825E-02   0.450997E+04
   0.124286E-02   0.459362E+04
   0.126797E-02   0.467869E+04
   0.129358E-02   0.476521E+04
   0.131971E-02   0.485320E+04
   0.134637E-02   0.494266E+04
   0.137357E-02   0.503362E+04
   0.140132E-02   0.512610E+04
   0.142963E-02   0.522012E+04
   0.145851E-02   0.531569E+04
   0.148797E-02   0.541283E+04
   0.151803E-02   0.551156E+04
   0.154870E-02   0.561190E+04
   0.157998E-02   0.571387E+04
   0.161190E-02   0.581747E+04
   0.164446E-02   0.592273E+04
   0.167768E-02   0.602967E+04
   0.171158E-02   0.613830E+04
   0.174615E-02   0.624864E+04
   0.178143E-02   0.636070E+04
   0.181741E-02   0.647449E+04
   0.185413E-02   0.659004E+04
   0.189158E-02   0.670735E+04
   0.192980E-02   0.682645E+04
   0.196878E-02   0.694733E+04
   0.200855E-02   0.707003E+04
   0.204913E-02   0.719454E+04
   0.209052E-02   0.732088E+04
   0.213276E-02   0.744906E+04
   0.217584E-02   0.757909E+04
   0.221979E-02   0.771098E+04
   0.226464E-02   0.784474E+04
   0.231039E-02   0.798037E+04
   0.235706E-02   0.811789E+04
   0.240467E-02   0.825730E+04
   0.245325E-02   0.839860E+04
   0.250281E-02   0.854180E+04
   0.255337E-02   0.868690E+04
   0.260495E-02   0.883391E+04
   0.265758E-02   0.898282E+04
   0.271126E-02   0.913364E+04
   0.276603E-02   0.928637E+04
   0.282191E-02   0.944099E+04
   0.287892E-02   0.959752E+04
   0.293708E-02   0.975594E+04
   0.299641E-02   0.991624E+04
   0.305694E-02   0.100784E+05
   0.311870E-02   0.102425E+05
   0.318170E-02   0.104084E+05
   0.324597E-02   0.105762E+05
   0.331155E-02   0.107458E+05
   0.337844E-02   0.109172E+05
   0.344669E-02   0.110904E+05
   0.351632E-02   0.112654E+05
   0.358735E-02   0.114422E+05
   0.365982E-02   0.116206E+05
   0.373376E-02   0.118009E+05
   0.380918E-02   0.119827E+05
   0.388613E-02   0.121663E+05
   0.396464E-02   0.123515E+05
   0.404473E-02   0.125382E+05
   0.412644E-02   0.127265E+05
   0.420980E-02   0.129163E+05
   0.429484E-02   0.131076E+05
   0.438160E-02   0.133003E+05
   0.447012E-02   0.134944E+05
   0.456042E-02   0.136899E+05
   0.465255E-02   0.138866E+05
   0.474653E-02   0.140845E+05
   0.484242E-02   0.142836E+05
   0.494024E-02   0.144839E+05
   0.504004E-02   0.146851E+05
   0.514186E-02   0.148874E+05
   0.524573E-02   0.150905E+05
   0.535170E-02   0.152945E+05
   0.545981E-02   0.154992E+05
   0.557011E-02   0.157046E+05
   0.568263E-02   0.159106E+05
   0.579743E-02   0.161171E+05
   0.591455E-02   0.163240E+05
   0.603403E-02   0.165312E+05
   0.615592E-02   0.167388E+05
   0.628028E-02   0.169464E+05
   0.640715E-02   0.171541E+05
   0.653658E-02   0.173616E+05
   0.666863E-02   0.175688E+05
   0.680335E-02   0.177756E+05
   0.694078E-02   0.179819E+05
   0.708100E-02   0.181875E+05
   0.722404E-02   0.183924E+05
   0.736998E-02   0.185963E+05
