#    L    TT             EE             TE             PP             TP          
     2   0.102506E+04   0.309676E-01   0.260559E+01   0.103252E+07   0.282613E+05
     3   0.971318E+03   0.397420E-01   0.292768E+01   0.158989E+07   0.337992E+05
     4   0.918869E+03   0.344531E-01   0.275080E+01   0.208397E+07   0.363471E+05
     5   0.879514E+03   0.229961E-01   0.234608E+01   0.252013E+07   0.373222E+05
     6   0.852561E+03   0.128610E-01   0.189200E+01   0.290527E+07   0.374534E+05
     7   0.835370E+03   0.694496E-02   0.148803E+01   0.324700E+07   0.371396E+05
     8   0.824984E+03   0.446995E-02   0.117779E+01   0.355131E+07   0.365437E+05
     9   0.820018E+03   0.357370E-02   0.967111E+00   0.382353E+07   0.357446E+05
    10   0.819012E+03   0.303586E-02   0.848202E+00   0.406740E+07   0.348330E+05
    11   0.820566E+03   0.254925E-02   0.803710E+00   0.428744E+07   0.339175E+05
    12   0.825409E+03   0.222794E-02   0.814663E+00   0.448456E+07   0.330166E+05
    13   0.831626E+03   0.214164E-02   0.857197E+00   0.466339E+07   0.321930E+05
    14   0.839038E+03   0.222725E-02   0.910355E+00   0.482407E+07   0.313509E+05
    15   0.846596E+03   0.240431E-02   0.966913E+00   0.497000E+07   0.305087E+05
    16   0.856068E+03   0.265565E-02   0.102832E+01   0.510174E+07   0.296340E+05
    17   0.867304E+03   0.302426E-02   0.109200E+01   0.522071E+07   0.287594E+05
    18   0.879162E+03   0.355328E-02   0.115669E+01   0.532861E+07   0.279307E+05
    19   0.892395E+03   0.424518E-02   0.122551E+01   0.542610E+07   0.271488E+05
    20   0.905388E+03   0.507653E-02   0.129340E+01   0.551371E+07   0.264045E+05
    21   0.918837E+03   0.604142E-02   0.136506E+01   0.559253E+07   0.256908E+05
    22   0.932769E+03   0.715149E-02   0.144092E+01   0.566363E+07   0.250027E+05
    23   0.946799E+03   0.839869E-02   0.151808E+01   0.572750E+07   0.243394E+05
    24   0.961244E+03   0.977983E-02   0.159294E+01   0.578456E+07   0.237012E+05
    25   0.976238E+03   0.112999E-01   0.165786E+01   0.583540E+07   0.230881E+05
    26   0.991287E+03   0.129716E-01   0.171669E+01   0.588061E+07   0.224988E+05
    27   0.100680E+04   0.148060E-01   0.177020E+01   0.592066E+07   0.219289E+05
    28   0.102261E+04   0.167972E-01   0.181357E+01   0.595592E+07   0.213746E+05
    29   0.103863E+04   0.189719E-01   0.185192E+01   0.598646E+07   0.208404E+05
    30   0.105507E+04   0.213586E-01   0.187867E+01   0.601239E+07   0.203309E+05
    31   0.107131E+04   0.239527E-01   0.190454E+01   0.603426E+07   0.198443E+05
    32   0.108815E+04   0.267694E-01   0.192437E+01   0.605261E+07   0.193774E+05
    33   0.110507E+04   0.297690E-01   0.193657E+01   0.606767E+07   0.189277E+05
    34   0.112206E+04   0.329779E-01   0.194217E+01   0.607959E+07   0.184926E+05
    35   0.113968E+04   0.364031E-01   0.193212E+01   0.608857E+07   0.180688E+05
    36   0.115704E+04   0.400734E-01   0.191678E+01   0.609483E+07   0.176548E+05
    37   0.117465E+04   0.440136E-01   0.189025E+01   0.609857E+07   0.172573E+05
    38   0.119264E+04   0.482112E-01   0.185443E+01   0.609997E+07   0.168822E+05
    39   0.121090E+04   0.526558E-01   0.180914E+01   0.609913E+07   0.165263E+05
    40   0.122935E+04   0.573403E-01   0.175265E+01   0.609618E+07   0.161835E+05
    41   0.124791E+04   0.622618E-01   0.168377E+01   0.609123E+07   0.158493E+05
    42   0.126656E+04   0.674332E-01   0.160349E+01   0.608440E+07   0.155228E+05
    43   0.128534E+04   0.728713E-01   0.151293E+01   0.607582E+07   0.152044E+05
    44   0.130428E+04   0.785908E-01   0.141162E+01   0.606562E+07   0.148945E+05
    45   0.132345E+04   0.846034E-01   0.129876E+01   0.605391E+07   0.145934E+05
    46   0.134283E+04   0.909164E-01   0.117399E+01   0.604083E+07   0.143012E+05
    47   0.136239E+04   0.975300E-01   0.103677E+01   0.602646E+07   0.140177E+05
    48   0.138210E+04   0.104436E+00   0.886519E+00   0.601088E+07   0.137425E+05
    49   0.140196E+04   0.111625E+00   0.722702E+00   0.599419E+07   0.134750E+05
    50   0.142202E+04   0.119100E+00   0.544937E+00   0.597646E+07   0.132150E+05
    51   0.144233E+04   0.126863E+00   0.353150E+00   0.595778E+07   0.129621E+05
    52   0.146285E+04   0.134920E+00   0.148289E+00   0.593821E+07   0.127166E+05
    53   0.148350E+04   0.143272E+00  -0.686475E-01   0.591779E+07   0.124788E+05
    54   0.150427E+04   0.151921E+00  -0.297522E+00   0.589660E+07   0.122492E+05
    55   0.152514E+04   0.160871E+00  -0.538568E+00   0.587467E+07   0.120283E+05
    56   0.154624E+04   0.170120E+00  -0.792658E+00   0.585206E+07   0.118160E+05
    57   0.156766E+04   0.179663E+00  -0.106068E+01   0.582880E+07   0.116118E+05
    58   0.158936E+04   0.189500E+00  -0.134283E+01   0.580494E+07   0.114147E+05
    59   0.161125E+04   0.199629E+00  -0.163903E+01   0.578049E+07   0.112235E+05
    60   0.163332E+04   0.210043E+00  -0.194879E+01   0.575549E+07   0.110374E+05
    61   0.165556E+04   0.220734E+00  -0.227163E+01   0.572998E+07   0.108555E+05
    62   0.167799E+04   0.231700E+00  -0.260755E+01   0.570401E+07   0.106773E+05
    63   0.170062E+04   0.242937E+00  -0.295668E+01   0.567761E+07   0.105025E+05
    64   0.172345E+04   0.254444E+00  -0.331914E+01   0.565085E+07   0.103308E+05
    65   0.174652E+04   0.266220E+00  -0.369510E+01   0.562378E+07   0.101618E+05
    66   0.176987E+04   0.278257E+00  -0.408478E+01   0.559644E+07   0.999545E+04
    67   0.179346E+04   0.290550E+00  -0.448764E+01   0.556886E+07   0.983226E+04
    68   0.181727E+04   0.303088E+00  -0.490297E+01   0.554106E+07   0.967296E+04
    69   0.184125E+04   0.315863E+00  -0.533007E+01   0.551307E+07   0.951829E+04
    70   0.186537E+04   0.328869E+00  -0.576845E+01   0.548491E+07   0.936898E+04
    71   0.188961E+04   0.342101E+00  -0.621792E+01   0.545661E+07   0.922553E+04
    72   0.191408E+04   0.355555E+00  -0.667940E+01   0.542817E+07   0.908757E+04
    73   0.193889E+04   0.369227E+00  -0.715383E+01   0.539959E+07   0.895452E+04
    74   0.196405E+04   0.383103E+00  -0.764111E+01   0.537088E+07   0.882578E+04
    75   0.198958E+04   0.397174E+00  -0.814080E+01   0.534204E+07   0.870076E+04
    76   0.201541E+04   0.411423E+00  -0.865235E+01   0.531309E+07   0.857891E+04
    77   0.204143E+04   0.425841E+00  -0.917432E+01   0.528403E+07   0.845982E+04
    78   0.206762E+04   0.440415E+00  -0.970623E+01   0.525490E+07   0.834311E+04
    79   0.209402E+04   0.455135E+00  -0.102479E+02   0.522570E+07   0.822844E+04
    80   0.212066E+04   0.469987E+00  -0.107994E+02   0.519647E+07   0.811542E+04
    81   0.214756E+04   0.484961E+00  -0.113604E+02   0.516721E+07   0.800379E+04
    82   0.217473E+04   0.500048E+00  -0.119306E+02   0.513796E+07   0.789367E+04
    83   0.220214E+04   0.515234E+00  -0.125096E+02   0.510871E+07   0.778529E+04
    84   0.222980E+04   0.530510E+00  -0.130969E+02   0.507949E+07   0.767888E+04
    85   0.225771E+04   0.545863E+00  -0.136922E+02   0.505031E+07   0.757466E+04
    86   0.228584E+04   0.561285E+00  -0.142950E+02   0.502118E+07   0.747282E+04
    87   0.231419E+04   0.576762E+00  -0.149049E+02   0.499211E+07   0.737335E+04
    88   0.234271E+04   0.592280E+00  -0.155212E+02   0.496312E+07   0.727623E+04
    89   0.237144E+04   0.607828E+00  -0.161435E+02   0.493420E+07   0.718141E+04
    90   0.240036E+04   0.623386E+00  -0.167716E+02   0.490536E+07   0.708886E+04
    91   0.242948E+04   0.638943E+00  -0.174050E+02   0.487662E+07   0.699852E+04
    92   0.245882E+04   0.654482E+00  -0.180433E+02   0.484797E+07   0.691034E+04
    93   0.248837E+04   0.669989E+00  -0.186862E+02   0.481943E+07   0.682425E+04
    94   0.251815E+04   0.685452E+00  -0.193333E+02   0.479099E+07   0.674016E+04
    95   0.254815E+04   0.700855E+00  -0.199842E+02   0.476265E+07   0.665802E+04
