#    L    TT             EE             TE             PP             TP          
     2   0.102484E+04   0.494814E-01   0.330195E+01   0.104139E+07   0.280925E+05
     3   0.967768E+03   0.821331E-01   0.411855E+01   0.160359E+07   0.336676E+05
     4   0.910656E+03   0.941510E-01   0.424429E+01   0.210187E+07   0.363438E+05
     5   0.865726E+03   0.854466E-01   0.395455E+01   0.254172E+07   0.374638E+05
     6   0.832845E+03   0.648044E-01   0.346456E+01   0.293003E+07   0.377073E+05
     7   0.810094E+03   0.423856E-01   0.291188E+01   0.327446E+07   0.374593E+05
     8   0.795000E+03   0.249278E-01   0.238158E+01   0.358113E+07   0.368876E+05
     9   0.785855E+03   0.145084E-01   0.191840E+01   0.385544E+07   0.360796E+05
    10   0.781362E+03   0.983950E-02   0.154788E+01   0.410115E+07   0.351316E+05
    11   0.780211E+03   0.834542E-02   0.128049E+01   0.432281E+07   0.341637E+05
    12   0.782734E+03   0.784766E-02   0.111740E+01   0.452135E+07   0.332104E+05
    13   0.786821E+03   0.724538E-02   0.104116E+01   0.470146E+07   0.323498E+05
    14   0.792456E+03   0.639856E-02   0.102684E+01   0.486325E+07   0.314958E+05
    15   0.798526E+03   0.562237E-02   0.105556E+01   0.501017E+07   0.306652E+05
    16   0.806650E+03   0.522533E-02   0.111383E+01   0.514276E+07   0.298208E+05
    17   0.816597E+03   0.521452E-02   0.118511E+01   0.526248E+07   0.289863E+05
    18   0.827181E+03   0.550292E-02   0.125577E+01   0.537104E+07   0.281977E+05
    19   0.839171E+03   0.593399E-02   0.132161E+01   0.546911E+07   0.274463E+05
    20   0.850975E+03   0.635892E-02   0.137294E+01   0.555722E+07   0.267151E+05
    21   0.863274E+03   0.681002E-02   0.141564E+01   0.563645E+07   0.259987E+05
    22   0.876073E+03   0.737841E-02   0.145332E+01   0.570788E+07   0.252963E+05
    23   0.888972E+03   0.813713E-02   0.148864E+01   0.577203E+07   0.246153E+05
    24   0.902279E+03   0.914801E-02   0.152396E+01   0.582932E+07   0.239632E+05
    25   0.916116E+03   0.104152E-01   0.155679E+01   0.588032E+07   0.233405E+05
    26   0.929983E+03   0.119292E-01   0.159482E+01   0.592564E+07   0.227450E+05
    27   0.944280E+03   0.136584E-01   0.163809E+01   0.596577E+07   0.221726E+05
    28   0.958833E+03   0.155560E-01   0.167995E+01   0.600106E+07   0.216200E+05
    29   0.973574E+03   0.176356E-01   0.172405E+01   0.603159E+07   0.210923E+05
    30   0.988713E+03   0.199166E-01   0.176164E+01   0.605747E+07   0.205937E+05
    31   0.100365E+04   0.223722E-01   0.179838E+01   0.607925E+07   0.201183E+05
    32   0.101919E+04   0.250009E-01   0.182451E+01   0.609748E+07   0.196587E+05
    33   0.103480E+04   0.277799E-01   0.183882E+01   0.611240E+07   0.192102E+05
    34   0.105046E+04   0.307537E-01   0.184411E+01   0.612414E+07   0.187701E+05
    35   0.106675E+04   0.339184E-01   0.183367E+01   0.613292E+07   0.183389E+05
    36   0.108279E+04   0.372871E-01   0.181930E+01   0.613897E+07   0.179191E+05
    37   0.109907E+04   0.408803E-01   0.179245E+01   0.614247E+07   0.175183E+05
    38   0.111571E+04   0.446891E-01   0.175261E+01   0.614360E+07   0.171428E+05
    39   0.113260E+04   0.487288E-01   0.170215E+01   0.614248E+07   0.167874E+05
    40   0.114966E+04   0.530233E-01   0.164317E+01   0.613922E+07   0.164444E+05
    41   0.116680E+04   0.575916E-01   0.157739E+01   0.613395E+07   0.161074E+05
    42   0.118402E+04   0.624327E-01   0.150495E+01   0.612679E+07   0.157766E+05
    43   0.120135E+04   0.675402E-01   0.142519E+01   0.611786E+07   0.154538E+05
    44   0.121883E+04   0.729059E-01   0.133586E+01   0.610729E+07   0.151407E+05
    45   0.123652E+04   0.785185E-01   0.123438E+01   0.609521E+07   0.148392E+05
    46   0.125439E+04   0.843682E-01   0.111911E+01   0.608174E+07   0.145502E+05
    47   0.127244E+04   0.904635E-01   0.990272E+00   0.606697E+07   0.142720E+05
    48   0.129062E+04   0.968100E-01   0.848499E+00   0.605098E+07   0.140020E+05
    49   0.130894E+04   0.103413E+00   0.694515E+00   0.603387E+07   0.137377E+05
    50   0.132746E+04   0.110288E+00   0.529181E+00   0.601571E+07   0.134766E+05
    51   0.134622E+04   0.117450E+00   0.353292E+00   0.599659E+07   0.132170E+05
    52   0.136519E+04   0.124899E+00   0.167187E+00   0.597658E+07   0.129609E+05
    53   0.138428E+04   0.132628E+00  -0.291199E-01   0.595571E+07   0.127109E+05
    54   0.140348E+04   0.140634E+00  -0.236473E+00   0.593406E+07   0.124700E+05
    55   0.142278E+04   0.148910E+00  -0.456085E+00   0.591167E+07   0.122409E+05
    56   0.144228E+04   0.157449E+00  -0.689553E+00   0.588859E+07   0.120256E+05
    57   0.146209E+04   0.166252E+00  -0.937428E+00   0.586486E+07   0.118223E+05
    58   0.148216E+04   0.175324E+00  -0.119932E+01   0.584051E+07   0.116286E+05
    59   0.150242E+04   0.184670E+00  -0.147456E+01   0.581558E+07   0.114419E+05
    60   0.152282E+04   0.194290E+00  -0.176204E+01   0.579010E+07   0.112599E+05
    61   0.154339E+04   0.204180E+00  -0.206088E+01   0.576409E+07   0.110803E+05
    62   0.156412E+04   0.214335E+00  -0.237130E+01   0.573762E+07   0.109025E+05
    63   0.158505E+04   0.224747E+00  -0.269381E+01   0.571073E+07   0.107263E+05
    64   0.160616E+04   0.235410E+00  -0.302895E+01   0.568347E+07   0.105514E+05
    65   0.162750E+04   0.246318E+00  -0.337729E+01   0.565590E+07   0.103776E+05
    66   0.164909E+04   0.257462E+00  -0.373928E+01   0.562805E+07   0.102049E+05
