#    L    TT             EE             TE             PP             TP          
     2   0.114103E+04   0.551182E-01   0.338194E+01   0.100569E+07   0.324513E+05
     3   0.106188E+04   0.885922E-01   0.423380E+01   0.154807E+07   0.386045E+05
     4   0.987664E+03   0.978558E-01   0.434392E+01   0.202851E+07   0.414546E+05
     5   0.930247E+03   0.852081E-01   0.401476E+01   0.245211E+07   0.425502E+05
     6   0.888376E+03   0.617606E-01   0.348124E+01   0.282549E+07   0.426729E+05
     7   0.859114E+03   0.386068E-01   0.289222E+01   0.315611E+07   0.422610E+05
     8   0.839178E+03   0.220246E-01   0.233790E+01   0.344997E+07   0.415073E+05
     9   0.826379E+03   0.130159E-01   0.186447E+01   0.371232E+07   0.405125E+05
    10   0.819119E+03   0.940167E-02   0.149687E+01   0.394683E+07   0.393793E+05
    11   0.815798E+03   0.829609E-02   0.124309E+01   0.415793E+07   0.382346E+05
    12   0.816634E+03   0.770586E-02   0.109968E+01   0.434657E+07   0.371151E+05
    13   0.819451E+03   0.689282E-02   0.104391E+01   0.451728E+07   0.361011E+05
    14   0.824108E+03   0.597382E-02   0.104580E+01   0.467020E+07   0.350998E+05
    15   0.829414E+03   0.530584E-02   0.108489E+01   0.480866E+07   0.341263E+05
    16   0.836947E+03   0.508310E-02   0.114758E+01   0.493323E+07   0.331405E+05
    17   0.846479E+03   0.520258E-02   0.121802E+01   0.504531E+07   0.321675E+05
    18   0.856823E+03   0.550586E-02   0.128367E+01   0.514658E+07   0.312454E+05
    19   0.868717E+03   0.588398E-02   0.134204E+01   0.523768E+07   0.303659E+05
    20   0.880525E+03   0.626017E-02   0.138541E+01   0.531916E+07   0.295120E+05
    21   0.892917E+03   0.671737E-02   0.142184E+01   0.539206E+07   0.286789E+05
    22   0.905891E+03   0.737629E-02   0.145671E+01   0.545743E+07   0.278667E+05
    23   0.919041E+03   0.827690E-02   0.149235E+01   0.551577E+07   0.270833E+05
    24   0.932666E+03   0.943764E-02   0.153030E+01   0.556750E+07   0.263363E+05
    25   0.946881E+03   0.108408E-01   0.156737E+01   0.561319E+07   0.256252E+05
    26   0.961179E+03   0.124648E-01   0.161043E+01   0.565341E+07   0.249469E+05
    27   0.975963E+03   0.142854E-01   0.165824E+01   0.568864E+07   0.242958E+05
    28   0.991064E+03   0.162660E-01   0.170297E+01   0.571923E+07   0.236679E+05
    29   0.100641E+04   0.184246E-01   0.174754E+01   0.574526E+07   0.230676E+05
    30   0.102221E+04   0.207821E-01   0.178285E+01   0.576684E+07   0.224985E+05
    31   0.103785E+04   0.233078E-01   0.181485E+01   0.578451E+07   0.219546E+05
    32   0.105413E+04   0.259978E-01   0.183423E+01   0.579879E+07   0.214281E+05
    33   0.107053E+04   0.288382E-01   0.184024E+01   0.580992E+07   0.209145E+05
    34   0.108701E+04   0.318850E-01   0.183622E+01   0.581802E+07   0.204112E+05
    35   0.110414E+04   0.351446E-01   0.181662E+01   0.582331E+07   0.199196E+05
    36   0.112104E+04   0.386361E-01   0.179427E+01   0.582601E+07   0.194429E+05
    37   0.113822E+04   0.423694E-01   0.176060E+01   0.582629E+07   0.189891E+05
    38   0.115579E+04   0.463238E-01   0.171476E+01   0.582434E+07   0.185645E+05
    39   0.117364E+04   0.505137E-01   0.165868E+01   0.582026E+07   0.181633E+05
    40   0.119168E+04   0.549647E-01   0.159395E+01   0.581418E+07   0.177766E+05
    41   0.120982E+04   0.596971E-01   0.152186E+01   0.580620E+07   0.173976E+05
    42   0.122807E+04   0.647082E-01   0.144234E+01   0.579644E+07   0.170259E+05
    43   0.124644E+04   0.699893E-01   0.135461E+01   0.578503E+07   0.166633E+05
    44   0.126498E+04   0.755299E-01   0.125625E+01   0.577209E+07   0.163114E+05
    45   0.128376E+04   0.813164E-01   0.114458E+01   0.575774E+07   0.159718E+05
    46   0.130276E+04   0.873380E-01   0.101789E+01   0.574210E+07   0.156455E+05
    47   0.132196E+04   0.936060E-01   0.876593E+00   0.572526E+07   0.153308E+05
    48   0.134133E+04   0.100131E+00   0.721629E+00   0.570729E+07   0.150253E+05
    49   0.136085E+04   0.106921E+00   0.554006E+00   0.568829E+07   0.147267E+05
    50   0.138059E+04   0.113998E+00   0.374870E+00   0.566833E+07   0.144327E+05
    51   0.140061E+04   0.121378E+00   0.185237E+00   0.564750E+07   0.141418E+05
    52   0.142084E+04   0.129059E+00  -0.146087E-01   0.562584E+07   0.138559E+05
    53   0.144121E+04   0.137031E+00  -0.224774E+00   0.560342E+07   0.135778E+05
    54   0.146170E+04   0.145285E+00  -0.446227E+00   0.558028E+07   0.133103E+05
    55   0.148230E+04   0.153812E+00  -0.680303E+00   0.555648E+07   0.130561E+05
    56   0.150312E+04   0.162602E+00  -0.928712E+00   0.553206E+07   0.128172E+05
