#    L    TT             EE             TE             PP             TP          
     2   0.124545E+04   0.549697E-01   0.321551E+01   0.976341E+06   0.369060E+05
     3   0.113877E+04   0.886937E-01   0.412781E+01   0.151171E+07   0.435611E+05
     4   0.104649E+04   0.979909E-01   0.428266E+01   0.198929E+07   0.466064E+05
     5   0.976786E+03   0.852742E-01   0.398480E+01   0.241297E+07   0.477480E+05
     6   0.926319E+03   0.617502E-01   0.347294E+01   0.278860E+07   0.478529E+05
     7   0.890827E+03   0.385784E-01   0.289592E+01   0.312303E+07   0.473846E+05
     8   0.866064E+03   0.220459E-01   0.234901E+01   0.342182E+07   0.465284E+05
     9   0.849418E+03   0.131134E-01   0.188422E+01   0.368992E+07   0.453971E+05
    10   0.839152E+03   0.955619E-02   0.152294E+01   0.393077E+07   0.441295E+05
    11   0.833487E+03   0.846567E-02   0.127184E+01   0.414863E+07   0.428744E+05
    12   0.832501E+03   0.786072E-02   0.112728E+01   0.434431E+07   0.416458E+05
    13   0.833598E+03   0.704185E-02   0.107136E+01   0.452224E+07   0.405001E+05
    14   0.836691E+03   0.614306E-02   0.108037E+01   0.468248E+07   0.393423E+05
    15   0.840753E+03   0.551700E-02   0.112794E+01   0.482830E+07   0.382226E+05
    16   0.847223E+03   0.535557E-02   0.119423E+01   0.496023E+07   0.371221E+05
    17   0.855795E+03   0.553898E-02   0.126432E+01   0.507962E+07   0.360459E+05
    18   0.865253E+03   0.589497E-02   0.132866E+01   0.518813E+07   0.350088E+05
    19   0.876303E+03   0.632984E-02   0.138915E+01   0.528637E+07   0.340017E+05
    20   0.887299E+03   0.678338E-02   0.144045E+01   0.537486E+07   0.330156E+05
    21   0.898939E+03   0.733142E-02   0.148376E+01   0.545464E+07   0.320632E+05
    22   0.911241E+03   0.808749E-02   0.151821E+01   0.552676E+07   0.311572E+05
    23   0.923748E+03   0.910779E-02   0.155149E+01   0.559170E+07   0.302867E+05
    24   0.936705E+03   0.104237E-01   0.159120E+01   0.564986E+07   0.294397E+05
    25   0.950234E+03   0.119936E-01   0.163164E+01   0.570182E+07   0.286218E+05
    26   0.963848E+03   0.137760E-01   0.167607E+01   0.574816E+07   0.278417E+05
    27   0.977960E+03   0.157771E-01   0.172430E+01   0.578934E+07   0.271000E+05
    28   0.992406E+03   0.179881E-01   0.176985E+01   0.582572E+07   0.263945E+05
    29   0.100714E+04   0.203885E-01   0.181405E+01   0.585738E+07   0.257189E+05
    30   0.102236E+04   0.229636E-01   0.184620E+01   0.588442E+07   0.250661E+05
    31   0.103740E+04   0.257210E-01   0.187360E+01   0.590738E+07   0.244318E+05
    32   0.105302E+04   0.286980E-01   0.188903E+01   0.592681E+07   0.238142E+05
    33   0.106871E+04   0.318575E-01   0.189341E+01   0.594291E+07   0.232192E+05
    34   0.108449E+04   0.352226E-01   0.189022E+01   0.595585E+07   0.226528E+05
