#    L    TT             EE             BB             TE          
     2   0.769481E+03   0.464020E-01   0.147240E-05   0.428156E+01
     3   0.749045E+03   0.771120E-01   0.294535E-05   0.474870E+01
     4   0.731822E+03   0.911950E-01   0.491014E-05   0.464590E+01
     5   0.718823E+03   0.862354E-01   0.736749E-05   0.421833E+01
     6   0.709914E+03   0.686313E-01   0.103183E-04   0.364558E+01
     7   0.705133E+03   0.472534E-01   0.137636E-04   0.304033E+01
     8   0.703771E+03   0.289126E-01   0.177046E-04   0.247153E+01
     9   0.705220E+03   0.166422E-01   0.221427E-04   0.197703E+01
    10   0.709044E+03   0.102405E-01   0.270793E-04   0.157529E+01
    11   0.714598E+03   0.776727E-02   0.325161E-04   0.127277E+01
    12   0.722272E+03   0.707659E-02   0.384547E-04   0.107058E+01
    13   0.730717E+03   0.671540E-02   0.448970E-04   0.954265E+00
    14   0.739742E+03   0.612212E-02   0.518448E-04   0.906558E+00
    15   0.748512E+03   0.536186E-02   0.593000E-04   0.909498E+00
    16   0.758996E+03   0.474381E-02   0.672647E-04   0.946750E+00
    17   0.770937E+03   0.441713E-02   0.757408E-04   0.100251E+01
    18   0.783075E+03   0.443440E-02   0.847304E-04   0.106458E+01
    19   0.796299E+03   0.467596E-02   0.942354E-04   0.112859E+01
    20   0.809147E+03   0.498204E-02   0.104258E-03   0.118338E+01
    21   0.822298E+03   0.528521E-02   0.114800E-03   0.122993E+01
    22   0.835735E+03   0.557921E-02   0.125863E-03   0.126757E+01
    23   0.849074E+03   0.593793E-02   0.137449E-03   0.130042E+01
    24   0.862669E+03   0.644800E-02   0.149560E-03   0.133294E+01
    25   0.876744E+03   0.713590E-02   0.162198E-03   0.136164E+01
    26   0.890881E+03   0.801597E-02   0.175364E-03   0.139322E+01
    27   0.905412E+03   0.908950E-02   0.189059E-03   0.143030E+01
    28   0.920079E+03   0.103306E-01   0.203285E-03   0.146904E+01
    29   0.934800E+03   0.117165E-01   0.218043E-03   0.151327E+01
    30   0.949795E+03   0.132300E-01   0.233334E-03   0.155402E+01
    31   0.964520E+03   0.148644E-01   0.249159E-03   0.159748E+01
    32   0.979826E+03   0.166439E-01   0.265518E-03   0.163487E+01
    33   0.995155E+03   0.185386E-01   0.282412E-03   0.166682E+01
    34   0.101046E+04   0.205761E-01   0.299842E-03   0.169682E+01
    35   0.102645E+04   0.227291E-01   0.317807E-03   0.171328E+01
    36   0.104229E+04   0.249943E-01   0.336307E-03   0.172366E+01
    37   0.105839E+04   0.274098E-01   0.355343E-03   0.172257E+01
    38   0.107469E+04   0.299853E-01   0.374914E-03   0.171328E+01
    39   0.109112E+04   0.327237E-01   0.395020E-03   0.169676E+01
    40   0.110769E+04   0.356288E-01   0.415660E-03   0.167244E+01
    41   0.112438E+04   0.387055E-01   0.436833E-03   0.164011E+01
    42   0.114118E+04   0.419625E-01   0.458538E-03   0.160110E+01
    43   0.115809E+04   0.454093E-01   0.480775E-03   0.155673E+01
    44   0.117516E+04   0.490533E-01   0.503541E-03   0.150670E+01
