#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.769478E+03   0.464005E-01   0.000000E+00   0.428156E+01   0.676707E-07  -0.787960E-03  -0.160183E-04
     3   0.749037E+03   0.771091E-01   0.000000E+00   0.474870E+01   0.808595E-07  -0.494748E-03  -0.193084E-04
     4   0.731810E+03   0.911900E-01   0.000000E+00   0.464590E+01   0.919514E-07  -0.323849E-03  -0.198565E-04
     5   0.718805E+03   0.862281E-01   0.000000E+00   0.421833E+01   0.101461E-06  -0.213139E-03  -0.182305E-04
     6   0.709888E+03   0.686210E-01   0.000000E+00   0.364558E+01   0.109666E-06  -0.135371E-03  -0.150985E-04
     7   0.705098E+03   0.472397E-01   0.000000E+00   0.304033E+01   0.116816E-06  -0.757699E-04  -0.111828E-04
     8   0.703727E+03   0.288949E-01   0.000000E+00   0.247154E+01   0.123080E-06  -0.324264E-04  -0.710725E-05
     9   0.705165E+03   0.166201E-01   0.000000E+00   0.197703E+01   0.128603E-06  -0.448533E-05  -0.333363E-05
    10   0.708977E+03   0.102134E-01   0.000000E+00   0.157530E+01   0.133477E-06   0.140156E-04  -0.198257E-06
    11   0.714518E+03   0.773475E-02   0.000000E+00   0.127278E+01   0.137822E-06   0.305595E-04   0.204041E-05
    12   0.722178E+03   0.703814E-02   0.000000E+00   0.107060E+01   0.141644E-06   0.474583E-04   0.324151E-05
    13   0.730607E+03   0.667050E-02   0.000000E+00   0.954289E+00   0.145072E-06   0.658065E-04   0.347909E-05
    14   0.739616E+03   0.607028E-02   0.000000E+00   0.906591E+00   0.148094E-06   0.806872E-04   0.301066E-05
    15   0.748369E+03   0.530256E-02   0.000000E+00   0.909540E+00   0.150802E-06   0.933910E-04   0.212528E-05
    16   0.758835E+03   0.467656E-02   0.000000E+00   0.946804E+00   0.153201E-06   0.103713E-03   0.101286E-05
    17   0.770757E+03   0.434140E-02   0.000000E+00   0.100258E+01   0.155324E-06   0.112979E-03  -0.186893E-06
    18   0.782875E+03   0.434969E-02   0.000000E+00   0.106467E+01   0.157214E-06   0.122545E-03  -0.132642E-05
    19   0.796078E+03   0.458175E-02   0.000000E+00   0.112869E+01   0.158883E-06   0.131391E-03  -0.219542E-05
    20   0.808904E+03   0.487781E-02   0.000000E+00   0.118350E+01   0.160340E-06   0.138358E-03  -0.262477E-05
    21   0.822032E+03   0.517045E-02   0.000000E+00   0.123008E+01   0.161610E-06   0.144016E-03  -0.266477E-05
    22   0.835445E+03   0.545340E-02   0.000000E+00   0.126774E+01   0.162721E-06   0.149173E-03  -0.242668E-05
    23   0.848761E+03   0.580056E-02   0.000000E+00   0.130063E+01   0.163682E-06   0.153913E-03  -0.205251E-05
    24   0.862331E+03   0.629854E-02   0.000000E+00   0.133319E+01   0.164501E-06   0.158088E-03  -0.166108E-05
    25   0.876380E+03   0.697383E-02   0.000000E+00   0.136192E+01   0.165191E-06   0.161357E-03  -0.125222E-05
    26   0.890490E+03   0.784077E-02   0.000000E+00   0.139355E+01   0.165766E-06   0.163581E-03  -0.818595E-06
    27   0.904995E+03   0.890064E-02   0.000000E+00   0.143068E+01   0.166237E-06   0.165611E-03  -0.441523E-06
    28   0.919634E+03   0.101276E-01   0.000000E+00   0.146947E+01   0.166612E-06   0.168243E-03  -0.212543E-06
    29   0.934327E+03   0.114987E-01   0.000000E+00   0.151376E+01   0.166889E-06   0.171100E-03  -0.177693E-06
    30   0.949293E+03   0.129971E-01   0.000000E+00   0.155457E+01   0.167070E-06   0.173651E-03  -0.343214E-06
    31   0.963989E+03   0.146157E-01   0.000000E+00   0.159809E+01   0.167169E-06   0.175924E-03  -0.602009E-06
    32   0.979266E+03   0.163789E-01   0.000000E+00   0.163555E+01   0.167198E-06   0.178043E-03  -0.836815E-06
    33   0.994564E+03   0.182569E-01   0.000000E+00   0.166758E+01   0.167163E-06   0.179964E-03  -0.100059E-05
    34   0.100984E+04   0.202771E-01   0.000000E+00   0.169765E+01   0.167066E-06   0.181652E-03  -0.107981E-05
    35   0.102580E+04   0.224123E-01   0.000000E+00   0.171420E+01   0.166911E-06   0.183274E-03  -0.112473E-05
    36   0.104161E+04   0.246592E-01   0.000000E+00   0.172467E+01   0.166704E-06   0.184946E-03  -0.118171E-05
    37   0.105767E+04   0.270559E-01   0.000000E+00   0.172368E+01   0.166447E-06   0.186394E-03  -0.121903E-05
    38   0.107394E+04   0.296121E-01   0.000000E+00   0.171448E+01   0.166145E-06   0.187344E-03  -0.119672E-05
    39   0.109034E+04   0.323307E-01   0.000000E+00   0.169807E+01   0.165800E-06   0.187911E-03  -0.111927E-05
    40   0.110688E+04   0.352155E-01   0.000000E+00   0.167386E+01   0.165415E-06   0.188308E-03  -0.100222E-05
    41   0.112353E+04   0.382714E-01   0.000000E+00   0.164164E+01   0.164991E-06   0.188709E-03  -0.860889E-06
    42   0.114029E+04   0.415071E-01   0.000000E+00   0.160275E+01   0.164530E-06   0.189143E-03  -0.709999E-06
    43   0.115717E+04   0.449321E-01   0.000000E+00   0.155850E+01   0.164037E-06   0.189601E-03  -0.564069E-06
    44   0.117420E+04   0.485539E-01   0.000000E+00   0.150860E+01   0.163513E-06   0.190075E-03  -0.437577E-06
    45   0.119144E+04   0.523770E-01   0.000000E+00   0.145245E+01   0.162961E-06   0.190557E-03  -0.344960E-06
    46   0.120882E+04   0.564023E-01   0.000000E+00   0.138972E+01   0.162383E-06   0.191035E-03  -0.296130E-06
    47   0.122635E+04   0.606286E-01   0.000000E+00   0.131932E+01   0.161783E-06   0.191478E-03  -0.283024E-06
    48   0.124400E+04   0.650468E-01   0.000000E+00   0.123991E+01   0.161160E-06   0.191854E-03  -0.293124E-06
    49   0.126176E+04   0.696475E-01   0.000000E+00   0.115027E+01   0.160517E-06   0.192127E-03  -0.313949E-06
    50   0.127970E+04   0.744321E-01   0.000000E+00   0.104927E+01   0.159856E-06   0.192265E-03  -0.333051E-06
    51   0.129787E+04   0.794045E-01   0.000000E+00   0.936341E+00   0.159179E-06   0.192244E-03  -0.341493E-06
    52   0.131622E+04   0.845737E-01   0.000000E+00   0.812799E+00   0.158486E-06   0.192080E-03  -0.344257E-06
    53   0.133468E+04   0.899467E-01   0.000000E+00   0.680223E+00   0.157779E-06   0.191800E-03  -0.349790E-06
    54   0.135322E+04   0.955309E-01   0.000000E+00   0.539331E+00   0.157059E-06   0.191430E-03  -0.366521E-06
    55   0.137184E+04   0.101336E+00   0.000000E+00   0.390476E+00   0.156326E-06   0.190995E-03  -0.402863E-06
    56   0.139063E+04   0.107362E+00   0.000000E+00   0.233206E+00   0.155583E-06   0.190519E-03  -0.463415E-06
    57   0.140970E+04   0.113609E+00   0.000000E+00   0.664288E-01   0.154828E-06   0.190003E-03  -0.537601E-06
    58   0.142902E+04   0.120076E+00   0.000000E+00  -0.110426E+00   0.154064E-06   0.189448E-03  -0.611068E-06
    59   0.144850E+04   0.126764E+00   0.000000E+00  -0.297645E+00   0.153290E-06   0.188853E-03  -0.669493E-06
    60   0.146811E+04   0.133665E+00   0.000000E+00  -0.495096E+00   0.152507E-06   0.188216E-03  -0.698575E-06
    61   0.148788E+04   0.140774E+00   0.000000E+00  -0.702635E+00   0.151716E-06   0.187546E-03  -0.688696E-06
    62   0.150780E+04   0.148091E+00   0.000000E+00  -0.920429E+00   0.150917E-06   0.186894E-03  -0.648892E-06
    63   0.152789E+04   0.155619E+00   0.000000E+00  -0.114873E+01   0.150113E-06   0.186316E-03  -0.592841E-06
    64   0.154814E+04   0.163359E+00   0.000000E+00  -0.138779E+01   0.149303E-06   0.185873E-03  -0.534195E-06
    65   0.156857E+04   0.171316E+00   0.000000E+00  -0.163793E+01   0.148490E-06   0.185623E-03  -0.486592E-06
    66   0.158922E+04   0.179486E+00   0.000000E+00  -0.189945E+01   0.147673E-06   0.185594E-03  -0.460012E-06
    67   0.161007E+04   0.187867E+00   0.000000E+00  -0.217193E+01   0.146854E-06   0.185697E-03  -0.449893E-06
    68   0.163109E+04   0.196456E+00   0.000000E+00  -0.245472E+01   0.146034E-06   0.185810E-03  -0.448052E-06
    69   0.165224E+04   0.205248E+00   0.000000E+00  -0.274722E+01   0.145212E-06   0.185815E-03  -0.446312E-06
    70   0.167350E+04   0.214243E+00   0.000000E+00  -0.304900E+01   0.144389E-06   0.185591E-03  -0.436512E-06
    71   0.169484E+04   0.223440E+00   0.000000E+00  -0.335996E+01   0.143565E-06   0.185051E-03  -0.413380E-06
    72   0.171639E+04   0.232839E+00   0.000000E+00  -0.368104E+01   0.142741E-06   0.184232E-03  -0.383187E-06
    73   0.173825E+04   0.242439E+00   0.000000E+00  -0.401322E+01   0.141916E-06   0.183203E-03  -0.355081E-06
    74   0.176042E+04   0.252231E+00   0.000000E+00  -0.435641E+01   0.141091E-06   0.182034E-03  -0.338195E-06
    75   0.178292E+04   0.262208E+00   0.000000E+00  -0.471021E+01   0.140265E-06   0.180793E-03  -0.341657E-06
    76   0.180568E+04   0.272359E+00   0.000000E+00  -0.507412E+01   0.139439E-06   0.179545E-03  -0.371553E-06
    77   0.182859E+04   0.282682E+00   0.000000E+00  -0.544681E+01   0.138612E-06   0.178331E-03  -0.421855E-06
    78   0.185160E+04   0.293174E+00   0.000000E+00  -0.582799E+01   0.137786E-06   0.177190E-03  -0.483513E-06
    79   0.187477E+04   0.303833E+00   0.000000E+00  -0.621766E+01   0.136960E-06   0.176159E-03  -0.547487E-06
    80   0.189810E+04   0.314656E+00   0.000000E+00  -0.661595E+01   0.136136E-06   0.175277E-03  -0.604744E-06
