#    L    TT             EE             TE             PP             TP          
     2   0.769478E+03   0.464005E-01   0.428156E+01   0.140375E+07  -0.734502E+04
     3   0.749037E+03   0.771091E-01   0.474870E+01   0.212288E+07  -0.550303E+04
     4   0.731810E+03   0.911900E-01   0.464590E+01   0.274670E+07  -0.396830E+04
     5   0.718805E+03   0.862281E-01   0.421833E+01   0.328857E+07  -0.277663E+04
     6   0.709888E+03   0.686210E-01   0.364558E+01   0.376054E+07  -0.183964E+04
     7   0.705098E+03   0.472397E-01   0.304033E+01   0.417436E+07  -0.106203E+04
     8   0.703727E+03   0.288949E-01   0.247154E+01   0.453895E+07  -0.465367E+03
     9   0.705165E+03   0.166201E-01   0.197703E+01   0.486194E+07  -0.655819E+02
    10   0.708977E+03   0.102134E-01   0.157530E+01   0.514865E+07   0.208042E+03
    11   0.714518E+03   0.773475E-02   0.127278E+01   0.540523E+07   0.459293E+03
    12   0.722178E+03   0.703814E-02   0.107060E+01   0.563309E+07   0.720768E+03
    13   0.730607E+03   0.667050E-02   0.954289E+00   0.583831E+07   0.100837E+04
    14   0.739616E+03   0.607028E-02   0.906591E+00   0.602121E+07   0.124591E+04
    15   0.748369E+03   0.530256E-02   0.909540E+00   0.618618E+07   0.145174E+04
    16   0.758835E+03   0.467656E-02   0.946804E+00   0.633398E+07   0.162169E+04
    17   0.770757E+03   0.434140E-02   0.100258E+01   0.646644E+07   0.177577E+04
    18   0.782875E+03   0.434969E-02   0.106467E+01   0.658570E+07   0.193508E+04
    19   0.796078E+03   0.458175E-02   0.112869E+01   0.669263E+07   0.208342E+04
    20   0.808904E+03   0.487781E-02   0.118350E+01   0.678788E+07   0.220215E+04
    21   0.822032E+03   0.517045E-02   0.123008E+01   0.687281E+07   0.230002E+04
    22   0.835445E+03   0.545340E-02   0.126774E+01   0.694873E+07   0.238979E+04
    23   0.848761E+03   0.580056E-02   0.130063E+01   0.701626E+07   0.247273E+04
    24   0.862331E+03   0.629854E-02   0.133319E+01   0.707591E+07   0.254643E+04
    25   0.876380E+03   0.697383E-02   0.136192E+01   0.712839E+07   0.260534E+04
    26   0.890490E+03   0.784077E-02   0.139355E+01   0.717444E+07   0.264712E+04
    27   0.904995E+03   0.890064E-02   0.143068E+01   0.721460E+07   0.268549E+04
    28   0.919634E+03   0.101276E-01   0.146947E+01   0.724932E+07   0.273341E+04
    29   0.934327E+03   0.114987E-01   0.151376E+01   0.727869E+07   0.278478E+04
    30   0.949293E+03   0.129971E-01   0.155457E+01   0.730282E+07   0.283102E+04
    31   0.963989E+03   0.146157E-01   0.159809E+01   0.732236E+07   0.287256E+04
    32   0.979266E+03   0.163789E-01   0.163555E+01   0.733798E+07   0.291142E+04
    33   0.994564E+03   0.182569E-01   0.166758E+01   0.734993E+07   0.294688E+04
    34   0.100984E+04   0.202771E-01   0.169765E+01   0.735838E+07   0.297840E+04
    35   0.102580E+04   0.224123E-01   0.171420E+01   0.736358E+07   0.300868E+04
    36   0.104161E+04   0.246592E-01   0.172467E+01   0.736578E+07   0.303964E+04
    37   0.105767E+04   0.270559E-01   0.172368E+01   0.736520E+07   0.306679E+04
    38   0.107394E+04   0.296121E-01   0.171448E+01   0.736203E+07   0.308563E+04
    39   0.109034E+04   0.323307E-01   0.169807E+01   0.735642E+07   0.309803E+04
    40   0.110688E+04   0.352155E-01   0.167386E+01   0.734850E+07   0.310749E+04
    41   0.112353E+04   0.382714E-01   0.164164E+01   0.733839E+07   0.311689E+04
    42   0.114029E+04   0.415071E-01   0.160275E+01   0.732623E+07   0.312671E+04
    43   0.115717E+04   0.449321E-01   0.155850E+01   0.731216E+07   0.313683E+04
    44   0.117420E+04   0.485539E-01   0.150860E+01   0.729634E+07   0.314711E+04
    45   0.119144E+04   0.523770E-01   0.145245E+01   0.727889E+07   0.315743E+04
    46   0.120882E+04   0.564023E-01   0.138972E+01   0.725996E+07   0.316759E+04
    47   0.122635E+04   0.606286E-01   0.131932E+01   0.723964E+07   0.317710E+04
    48   0.124400E+04   0.650468E-01   0.123991E+01   0.721804E+07   0.318540E+04
    49   0.126176E+04   0.696475E-01   0.115027E+01   0.719525E+07   0.319194E+04
    50   0.127970E+04   0.744321E-01   0.104927E+01   0.717136E+07   0.319615E+04
    51   0.129787E+04   0.794045E-01   0.936341E+00   0.714647E+07   0.319764E+04
    52   0.131622E+04   0.845737E-01   0.812799E+00   0.712064E+07   0.319669E+04
    53   0.133468E+04   0.899467E-01   0.680223E+00   0.709392E+07   0.319373E+04
    54   0.135322E+04   0.955309E-01   0.539331E+00   0.706638E+07   0.318920E+04
    55   0.137184E+04   0.101336E+00   0.390476E+00   0.703807E+07   0.318355E+04
