#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.769478E+03   0.428156E+01  -0.787960E-03   0.428156E+01   0.464005E-01  -0.160183E-04  -0.787960E-03  -0.160183E-04   0.676707E-07
     3   0.749037E+03   0.474870E+01  -0.494748E-03   0.474870E+01   0.771091E-01  -0.193084E-04  -0.494748E-03  -0.193084E-04   0.808595E-07
     4   0.731810E+03   0.464590E+01  -0.323849E-03   0.464590E+01   0.911900E-01  -0.198565E-04  -0.323849E-03  -0.198565E-04   0.919514E-07
     5   0.718805E+03   0.421833E+01  -0.213139E-03   0.421833E+01   0.862281E-01  -0.182305E-04  -0.213139E-03  -0.182305E-04   0.101461E-06
     6   0.709888E+03   0.364558E+01  -0.135371E-03   0.364558E+01   0.686210E-01  -0.150985E-04  -0.135371E-03  -0.150985E-04   0.109666E-06
     7   0.705098E+03   0.304033E+01  -0.757699E-04   0.304033E+01   0.472397E-01  -0.111828E-04  -0.757699E-04  -0.111828E-04   0.116816E-06
     8   0.703727E+03   0.247154E+01  -0.324264E-04   0.247154E+01   0.288949E-01  -0.710725E-05  -0.324264E-04  -0.710725E-05   0.123080E-06
     9   0.705165E+03   0.197703E+01  -0.448533E-05   0.197703E+01   0.166201E-01  -0.333363E-05  -0.448533E-05  -0.333363E-05   0.128603E-06
    10   0.708977E+03   0.157530E+01   0.140156E-04   0.157530E+01   0.102134E-01  -0.198257E-06   0.140156E-04  -0.198257E-06   0.133477E-06
    11   0.714518E+03   0.127278E+01   0.305595E-04   0.127278E+01   0.773475E-02   0.204041E-05   0.305595E-04   0.204041E-05   0.137822E-06
    12   0.722178E+03   0.107060E+01   0.474583E-04   0.107060E+01   0.703814E-02   0.324151E-05   0.474583E-04   0.324151E-05   0.141644E-06
    13   0.730607E+03   0.954289E+00   0.658065E-04   0.954289E+00   0.667050E-02   0.347909E-05   0.658065E-04   0.347909E-05   0.145072E-06
    14   0.739616E+03   0.906591E+00   0.806872E-04   0.906591E+00   0.607028E-02   0.301067E-05   0.806872E-04   0.301067E-05   0.148094E-06
    15   0.748369E+03   0.909540E+00   0.933910E-04   0.909540E+00   0.530256E-02   0.212528E-05   0.933910E-04   0.212528E-05   0.150802E-06
    16   0.758835E+03   0.946804E+00   0.103719E-03   0.946804E+00   0.467656E-02   0.101296E-05   0.103719E-03   0.101296E-05   0.153201E-06
    17   0.770757E+03   0.100258E+01   0.112979E-03   0.100258E+01   0.434140E-02  -0.186893E-06   0.112979E-03  -0.186893E-06   0.155324E-06
    18   0.782875E+03   0.106467E+01   0.122540E-03   0.106467E+01   0.434969E-02  -0.132613E-05   0.122540E-03  -0.132613E-05   0.157214E-06
    19   0.796078E+03   0.112869E+01   0.131391E-03   0.112869E+01   0.458175E-02  -0.219542E-05   0.131391E-03  -0.219542E-05   0.158883E-06
    20   0.808904E+03   0.118350E+01   0.138361E-03   0.118350E+01   0.487782E-02  -0.262501E-05   0.138361E-03  -0.262501E-05   0.160340E-06
    21   0.822032E+03   0.123008E+01   0.144016E-03   0.123008E+01   0.517045E-02  -0.266477E-05   0.144016E-03  -0.266477E-05   0.161610E-06
    22   0.835445E+03   0.126774E+01   0.149173E-03   0.126774E+01   0.545340E-02  -0.242679E-05   0.149173E-03  -0.242679E-05   0.162721E-06
    23   0.848761E+03   0.130063E+01   0.153913E-03   0.130063E+01   0.580056E-02  -0.205251E-05   0.153913E-03  -0.205251E-05   0.163682E-06
    24   0.862331E+03   0.133319E+01   0.158088E-03   0.133319E+01   0.629854E-02  -0.166098E-05   0.158088E-03  -0.166098E-05   0.164501E-06
    25   0.876380E+03   0.136192E+01   0.161357E-03   0.136192E+01   0.697383E-02  -0.125222E-05   0.161357E-03  -0.125222E-05   0.165191E-06
    26   0.890490E+03   0.139355E+01   0.163583E-03   0.139355E+01   0.784077E-02  -0.818687E-06   0.163583E-03  -0.818687E-06   0.165766E-06
    27   0.904995E+03   0.143068E+01   0.165611E-03   0.143068E+01   0.890064E-02  -0.441523E-06   0.165611E-03  -0.441523E-06   0.166237E-06
    28   0.919634E+03   0.146947E+01   0.168242E-03   0.146947E+01   0.101276E-01  -0.212551E-06   0.168242E-03  -0.212551E-06   0.166612E-06
    29   0.934327E+03   0.151376E+01   0.171100E-03   0.151376E+01   0.114987E-01  -0.177693E-06   0.171100E-03  -0.177693E-06   0.166889E-06
    30   0.949294E+03   0.155457E+01   0.173652E-03   0.155457E+01   0.129971E-01  -0.343135E-06   0.173652E-03  -0.343135E-06   0.167070E-06
    31   0.963989E+03   0.159809E+01   0.175924E-03   0.159809E+01   0.146157E-01  -0.602009E-06   0.175924E-03  -0.602009E-06   0.167169E-06
    32   0.979266E+03   0.163555E+01   0.178043E-03   0.163555E+01   0.163789E-01  -0.836819E-06   0.178043E-03  -0.836819E-06   0.167198E-06
    33   0.994564E+03   0.166758E+01   0.179964E-03   0.166758E+01   0.182569E-01  -0.100059E-05   0.179964E-03  -0.100059E-05   0.167163E-06
    34   0.100984E+04   0.169765E+01   0.181652E-03   0.169765E+01   0.202771E-01  -0.107985E-05   0.181652E-03  -0.107985E-05   0.167066E-06
    35   0.102580E+04   0.171420E+01   0.183274E-03   0.171420E+01   0.224123E-01  -0.112473E-05   0.183274E-03  -0.112473E-05   0.166911E-06
    36   0.104161E+04   0.172467E+01   0.184946E-03   0.172467E+01   0.246592E-01  -0.118167E-05   0.184946E-03  -0.118167E-05   0.166704E-06
    37   0.105767E+04   0.172368E+01   0.186394E-03   0.172368E+01   0.270559E-01  -0.121903E-05   0.186394E-03  -0.121903E-05   0.166447E-06
    38   0.107394E+04   0.171448E+01   0.187344E-03   0.171448E+01   0.296121E-01  -0.119675E-05   0.187344E-03  -0.119675E-05   0.166145E-06
    39   0.109034E+04   0.169807E+01   0.187912E-03   0.169807E+01   0.323307E-01  -0.111928E-05   0.187912E-03  -0.111928E-05   0.165800E-06
