#           k/h    P           
   0.100000E-03   0.368900E+03
   0.102020E-03   0.376087E+03
   0.104081E-03   0.383413E+03
   0.106184E-03   0.390881E+03
   0.108329E-03   0.398494E+03
   0.110517E-03   0.406255E+03
   0.112750E-03   0.414166E+03
   0.115027E-03   0.422231E+03
   0.117351E-03   0.430453E+03
   0.119722E-03   0.438834E+03
   0.122140E-03   0.447377E+03
   0.124608E-03   0.456086E+03
   0.127125E-03   0.464964E+03
   0.129693E-03   0.474013E+03
   0.132313E-03   0.483238E+03
   0.134986E-03   0.492642E+03
   0.137713E-03   0.502227E+03
   0.140495E-03   0.511998E+03
   0.143333E-03   0.521958E+03
   0.146228E-03   0.532111E+03
   0.149182E-03   0.542460E+03
   0.152196E-03   0.553009E+03
   0.155271E-03   0.563761E+03
   0.158407E-03   0.574721E+03
   0.161607E-03   0.585893E+03
   0.164872E-03   0.597280E+03
   0.168203E-03   0.608887E+03
   0.171601E-03   0.620718E+03
   0.175067E-03   0.632776E+03
   0.178604E-03   0.645067E+03
   0.182212E-03   0.657594E+03
   0.185893E-03   0.670363E+03
   0.189648E-03   0.683376E+03
   0.193479E-03   0.696640E+03
   0.197388E-03   0.710159E+03
   0.201375E-03   0.723937E+03
   0.205443E-03   0.737979E+03
   0.209594E-03   0.752290E+03
   0.213828E-03   0.766875E+03
   0.218147E-03   0.781740E+03
   0.222554E-03   0.796889E+03
   0.227050E-03   0.812327E+03
   0.231637E-03   0.828060E+03
   0.236316E-03   0.844094E+03
   0.241090E-03   0.860433E+03
   0.245960E-03   0.877083E+03
   0.250929E-03   0.894051E+03
   0.255998E-03   0.911340E+03
   0.261170E-03   0.928959E+03
   0.266446E-03   0.946911E+03
   0.271828E-03   0.965204E+03
   0.277319E-03   0.983844E+03
   0.282922E-03   0.100284E+04
   0.288637E-03   0.102219E+04
   0.294468E-03   0.104190E+04
   0.300417E-03   0.106199E+04
   0.306485E-03   0.108246E+04
   0.312677E-03   0.110331E+04
   0.318993E-03   0.112455E+04
   0.325437E-03   0.114619E+04
   0.332012E-03   0.116824E+04
   0.338719E-03   0.119069E+04
   0.345561E-03   0.121357E+04
   0.352542E-03   0.123688E+04
   0.359664E-03   0.126061E+04
   0.366930E-03   0.128479E+04
   0.374342E-03   0.130942E+04
   0.381904E-03   0.133451E+04
   0.389619E-03   0.136006E+04
   0.397490E-03   0.138608E+04
   0.405520E-03   0.141257E+04
   0.413712E-03   0.143956E+04
   0.422070E-03   0.146704E+04
   0.430596E-03   0.149503E+04
   0.439295E-03   0.152353E+04
   0.448169E-03   0.155255E+04
   0.457222E-03   0.158209E+04
   0.466459E-03   0.161218E+04
   0.475882E-03   0.164281E+04
   0.485496E-03   0.167400E+04
   0.495303E-03   0.170574E+04
   0.505309E-03   0.173807E+04
   0.515517E-03   0.177097E+04
   0.525931E-03   0.180446E+04
   0.536556E-03   0.183856E+04
   0.547395E-03   0.187326E+04
   0.558453E-03   0.190858E+04
   0.569734E-03   0.194453E+04
   0.581244E-03   0.198112E+04
   0.592986E-03   0.201836E+04
   0.604965E-03   0.205626E+04
   0.617186E-03   0.209482E+04
   0.629654E-03   0.213407E+04
   0.642374E-03   0.217400E+04
   0.655350E-03   0.221464E+04
   0.668589E-03   0.225599E+04
   0.682096E-03   0.229805E+04
   0.695875E-03   0.234086E+04
   0.709933E-03   0.238440E+04
   0.724274E-03   0.242871E+04
   0.738906E-03   0.247378E+04
   0.753832E-03   0.251963E+04
   0.769061E-03   0.256628E+04
   0.784597E-03   0.261373E+04
   0.800447E-03   0.266199E+04
   0.816617E-03   0.271109E+04
   0.833114E-03   0.276103E+04
   0.849944E-03   0.281183E+04
   0.867114E-03   0.286350E+04
   0.884631E-03   0.291605E+04
   0.902501E-03   0.296951E+04
   0.920733E-03   0.302387E+04
   0.939333E-03   0.307917E+04
   0.958309E-03   0.313541E+04
   0.977668E-03   0.319260E+04
   0.997418E-03   0.325077E+04
   0.101757E-02   0.330993E+04
   0.103812E-02   0.337010E+04
   0.105910E-02   0.343129E+04
   0.108049E-02   0.349351E+04
