#    L    TT             EE             TE             PP             TP          
     2   0.119477E+04   0.526898E-01   0.301262E+01   0.921725E+06   0.346138E+05
     3   0.111633E+04   0.858692E-01   0.383041E+01   0.142126E+07   0.420627E+05
     4   0.103750E+04   0.953093E-01   0.399531E+01   0.186638E+07   0.458196E+05
     5   0.974061E+03   0.831094E-01   0.375386E+01   0.226106E+07   0.475358E+05
     6   0.926402E+03   0.602244E-01   0.330988E+01   0.261081E+07   0.480965E+05
     7   0.892060E+03   0.376394E-01   0.279468E+01   0.292210E+07   0.479933E+05
     8   0.867541E+03   0.215520E-01   0.229536E+01   0.320013E+07   0.474356E+05
     9   0.850599E+03   0.129024E-01   0.186272E+01   0.344955E+07   0.465497E+05
    10   0.839791E+03   0.949023E-02   0.152000E+01   0.367355E+07   0.454823E+05
    11   0.833554E+03   0.845046E-02   0.127654E+01   0.387613E+07   0.443918E+05
    12   0.831993E+03   0.784284E-02   0.113142E+01   0.405805E+07   0.433020E+05
    13   0.832593E+03   0.699873E-02   0.106940E+01   0.422342E+07   0.422734E+05
    14   0.835198E+03   0.607010E-02   0.107027E+01   0.437232E+07   0.412132E+05
    15   0.838805E+03   0.541551E-02   0.111045E+01   0.450780E+07   0.401726E+05
    16   0.844841E+03   0.522908E-02   0.117057E+01   0.463032E+07   0.391375E+05
    17   0.853008E+03   0.539151E-02   0.123579E+01   0.474118E+07   0.381173E+05
    18   0.862100E+03   0.573095E-02   0.129666E+01   0.484190E+07   0.371294E+05
    19   0.872823E+03   0.615494E-02   0.135531E+01   0.493307E+07   0.361636E+05
    20   0.883526E+03   0.660350E-02   0.140647E+01   0.501516E+07   0.352094E+05
    21   0.894910E+03   0.714770E-02   0.145060E+01   0.508915E+07   0.342815E+05
    22   0.907004E+03   0.789597E-02   0.148592E+01   0.515600E+07   0.333946E+05
    23   0.919342E+03   0.890315E-02   0.151943E+01   0.521618E+07   0.325398E+05
    24   0.932160E+03   0.101998E-01   0.155833E+01   0.527005E+07   0.317059E+05
    25   0.945580E+03   0.117419E-01   0.159751E+01   0.531816E+07   0.308974E+05
    26   0.959114E+03   0.134865E-01   0.164086E+01   0.536103E+07   0.301213E+05
    27   0.973174E+03   0.154428E-01   0.168770E+01   0.539911E+07   0.293800E+05
    28   0.987596E+03   0.176052E-01   0.173109E+01   0.543272E+07   0.286731E+05
    29   0.100232E+04   0.199547E-01   0.177286E+01   0.546193E+07   0.279946E+05
    30   0.101756E+04   0.224764E-01   0.180290E+01   0.548686E+07   0.273377E+05
    31   0.103263E+04   0.251769E-01   0.182846E+01   0.550798E+07   0.266970E+05
    32   0.104830E+04   0.280928E-01   0.184223E+01   0.552581E+07   0.260699E+05
    33   0.106405E+04   0.311912E-01   0.184550E+01   0.554055E+07   0.254628E+05
    34   0.107992E+04   0.344982E-01   0.184205E+01   0.555235E+07   0.248822E+05
    35   0.109648E+04   0.380063E-01   0.182006E+01   0.556138E+07   0.243265E+05
