#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   7.0512668E+06   7.0512668E+06   9.4001209E+06   1.1068644E+04   7.2915946E+05   7.0513812E+06   7.0512668E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   7.0512648E+06   7.0512648E+06   9.3997122E+06   1.1068344E+04   7.2914879E+05   7.0513790E+06   7.0512648E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   7.0512622E+06   7.0512622E+06   9.3991977E+06   1.1067966E+04   7.2913536E+05   7.0513762E+06   7.0512622E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   7.0512590E+06   7.0512590E+06   9.3985500E+06   1.1067491E+04   7.2911846E+05   7.0513728E+06   7.0512590E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   7.0512549E+06   7.0512549E+06   9.3977347E+06   1.1066893E+04   7.2909718E+05   7.0513684E+06   7.0512549E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   7.0512498E+06   7.0512498E+06   9.3967083E+06   1.1066139E+04   7.2907040E+05   7.0513629E+06   7.0512498E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   7.0512434E+06   7.0512434E+06   9.3954163E+06   1.1065191E+04   7.2903668E+05   7.0513560E+06   7.0512434E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   7.0512353E+06   7.0512353E+06   9.3937901E+06   1.1063998E+04   7.2899425E+05   7.0513473E+06   7.0512353E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   7.0512251E+06   7.0512251E+06   9.3917432E+06   1.1062495E+04   7.2894085E+05   7.0513364E+06   7.0512251E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   7.0512123E+06   7.0512123E+06   9.3891669E+06   1.1060604E+04   7.2887365E+05   7.0513226E+06   7.0512123E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   7.0511961E+06   7.0511961E+06   9.3859244E+06   1.1058224E+04   7.2878909E+05   7.0513052E+06   7.0511961E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   7.0511758E+06   7.0511758E+06   9.3818440E+06   1.1055229E+04   7.2868270E+05   7.0512834E+06   7.0511758E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   7.0511502E+06   7.0511502E+06   9.3767094E+06   1.1051459E+04   7.2854887E+05   7.0512558E+06   7.0511502E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   7.0511179E+06   7.0511179E+06   9.3702491E+06   1.1046715E+04   7.2838055E+05   7.0512212E+06   7.0511179E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   7.0510774E+06   7.0510774E+06   9.3621222E+06   1.1040746E+04   7.2816892E+05   7.0511776E+06   7.0510774E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   7.0510263E+06   7.0510263E+06   9.3519006E+06   1.1033237E+04   7.2790290E+05   7.0511228E+06   7.0510263E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   7.0509620E+06   7.0509620E+06   9.3390475E+06   1.1023792E+04   7.2756867E+05   7.0510537E+06   7.0509620E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   7.0508811E+06   7.0508811E+06   9.3228904E+06   1.1011914E+04   7.2714895E+05   7.0509668E+06   7.0508811E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   7.0507793E+06   7.0507793E+06   9.3025878E+06   1.0996983E+04   7.2662219E+05   7.0508575E+06   7.0507793E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   7.0506512E+06   7.0506512E+06   9.2770884E+06   1.0978218E+04   7.2596166E+05   7.0507199E+06   7.0506512E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   7.0504901E+06   7.0504901E+06   9.2450816E+06   1.0954646E+04   7.2513421E+05   7.0505468E+06   7.0504901E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
